SA2 - Residence,SA2 - Work place,Count
Braidwood,Braidwood,931
Queanbeyan Region,Braidwood,19
Queanbeyan West - Jerrabomberra,Braidwood,5
Batemans Bay,Braidwood,3
Batemans Bay - South,Braidwood,9
Eurobodalla Hinterland,Braidwood,8
Goulburn,Braidwood,13
Scone Region,Braidwood,3
Thirroul - Austinmer - Coalcliff,Braidwood,3
Bulahdelah - Stroud,Braidwood,6
Ulladulla Region,Braidwood,9
Braidwood,Karabar,3
Karabar,Karabar,292
Queanbeyan,Karabar,86
Queanbeyan - East,Karabar,34
Queanbeyan Region,Karabar,74
Queanbeyan West - Jerrabomberra,Karabar,95
Cooma,Karabar,4
Goulburn,Karabar,15
Goulburn Region,Karabar,8
Yass,Karabar,6
Yass Region,Karabar,7
Ulladulla Region,Karabar,5
Braidwood,Queanbeyan,41
Karabar,Queanbeyan,632
Queanbeyan,Queanbeyan,1062
Queanbeyan - East,Queanbeyan,382
Queanbeyan Region,Queanbeyan,477
Queanbeyan West - Jerrabomberra,Queanbeyan,561
Bombala,Queanbeyan,3
Cooma,Queanbeyan,14
Cooma Region,Queanbeyan,10
Jindabyne - Berridale,Queanbeyan,7
Batemans Bay,Queanbeyan,4
Batemans Bay - South,Queanbeyan,6
Bega - Tathra,Queanbeyan,3
Moruya - Tuross Head,Queanbeyan,4
Narooma - Bermagui,Queanbeyan,10
Goulburn,Queanbeyan,58
Goulburn Region,Queanbeyan,18
Yass,Queanbeyan,18
Yass Region,Queanbeyan,43
Kiama,Queanbeyan,3
Kiama Hinterland - Gerringong,Queanbeyan,3
Cootamundra,Queanbeyan,3
Junee,Queanbeyan,3
Nowra,Queanbeyan,3
Ulladulla,Queanbeyan,3
Ulladulla Region,Queanbeyan,3
Marrickville,Queanbeyan,3
Canterbury (South) - Campsie,Queanbeyan,3
Prestons - Edmondson Park,Queanbeyan,4
Braidwood,Queanbeyan - East,19
Karabar,Queanbeyan - East,257
Queanbeyan,Queanbeyan - East,334
Queanbeyan - East,Queanbeyan - East,295
Queanbeyan Region,Queanbeyan - East,304
Queanbeyan West - Jerrabomberra,Queanbeyan - East,278
Cooma,Queanbeyan - East,13
Cooma Region,Queanbeyan - East,5
Batemans Bay - South,Queanbeyan - East,3
Goulburn,Queanbeyan - East,23
Goulburn Region,Queanbeyan - East,13
Yass,Queanbeyan - East,10
Yass Region,Queanbeyan - East,42
St Clair,Queanbeyan - East,3
No Usual Address (NSW),Queanbeyan - East,4
Braidwood,Queanbeyan Region,73
Karabar,Queanbeyan Region,50
Queanbeyan,Queanbeyan Region,66
Queanbeyan - East,Queanbeyan Region,44
Queanbeyan Region,Queanbeyan Region,1534
Queanbeyan West - Jerrabomberra,Queanbeyan Region,136
Cooma,Queanbeyan Region,6
Cooma Region,Queanbeyan Region,15
Jindabyne - Berridale,Queanbeyan Region,3
Merimbula - Tura Beach,Queanbeyan Region,4
Narooma - Bermagui,Queanbeyan Region,5
Goulburn,Queanbeyan Region,64
Goulburn Region,Queanbeyan Region,38
Yass,Queanbeyan Region,4
Yass Region,Queanbeyan Region,34
Coonabarabran,Queanbeyan Region,14
Maitland - West,Queanbeyan Region,4
Nowra,Queanbeyan Region,5
Ulladulla,Queanbeyan Region,5
No Usual Address (NSW),Queanbeyan Region,3
Braidwood,Queanbeyan West - Jerrabomberra,9
Karabar,Queanbeyan West - Jerrabomberra,148
Queanbeyan,Queanbeyan West - Jerrabomberra,166
Queanbeyan - East,Queanbeyan West - Jerrabomberra,68
Queanbeyan Region,Queanbeyan West - Jerrabomberra,171
Queanbeyan West - Jerrabomberra,Queanbeyan West - Jerrabomberra,613
Cooma,Queanbeyan West - Jerrabomberra,7
Jindabyne - Berridale,Queanbeyan West - Jerrabomberra,3
Batemans Bay,Queanbeyan West - Jerrabomberra,3
Goulburn,Queanbeyan West - Jerrabomberra,14
Goulburn Region,Queanbeyan West - Jerrabomberra,7
Yass,Queanbeyan West - Jerrabomberra,5
Yass Region,Queanbeyan West - Jerrabomberra,14
Albury - North,Queanbeyan West - Jerrabomberra,4
Bombala,Bombala,879
Cooma,Bombala,9
Cooma Region,Bombala,17
Jindabyne - Berridale,Bombala,10
Bega - Tathra,Bombala,3
Bega-Eden Hinterland,Bombala,19
Merimbula - Tura Beach,Bombala,21
Yass Region,Bombala,4
Casino Region,Bombala,8
Queanbeyan Region,Cooma,8
Queanbeyan West - Jerrabomberra,Cooma,4
Bombala,Cooma,25
Cooma,Cooma,2338
Cooma Region,Cooma,614
Jindabyne - Berridale,Cooma,321
Bega - Tathra,Cooma,6
Bega-Eden Hinterland,Cooma,11
Merimbula - Tura Beach,Cooma,6
Albury Region,Cooma,3
Tumbarumba,Cooma,5
No Usual Address (NSW),Cooma,3
Bombala,Cooma Region,18
Cooma,Cooma Region,57
Cooma Region,Cooma Region,524
Jindabyne - Berridale,Cooma Region,19
Moruya - Tuross Head,Cooma Region,4
Gorokan - Kanwal - Charmhaven,Cooma Region,4
Glenwood,Cooma Region,3
Karabar,Jindabyne - Berridale,3
Queanbeyan,Jindabyne - Berridale,3
Queanbeyan Region,Jindabyne - Berridale,3
Bombala,Jindabyne - Berridale,3
Cooma,Jindabyne - Berridale,86
Cooma Region,Jindabyne - Berridale,44
Jindabyne - Berridale,Jindabyne - Berridale,3029
Batemans Bay,Jindabyne - Berridale,3
Batemans Bay - South,Jindabyne - Berridale,16
Bega - Tathra,Jindabyne - Berridale,24
Bega-Eden Hinterland,Jindabyne - Berridale,13
Broulee - Tomakin,Jindabyne - Berridale,6
Eden,Jindabyne - Berridale,3
Eurobodalla Hinterland,Jindabyne - Berridale,4
Merimbula - Tura Beach,Jindabyne - Berridale,25
Moruya - Tuross Head,Jindabyne - Berridale,4
Narooma - Bermagui,Jindabyne - Berridale,8
Avoca Beach - Copacabana,Jindabyne - Berridale,4
Erina - Green Point,Jindabyne - Berridale,11
Gosford - Springfield,Jindabyne - Berridale,8
Kariong,Jindabyne - Berridale,3
Terrigal - North Avoca,Jindabyne - Berridale,3
Umina - Booker Bay - Patonga,Jindabyne - Berridale,6
Wamberal - Forresters Beach,Jindabyne - Berridale,6
Bateau Bay - Killarney Vale,Jindabyne - Berridale,4
Budgewoi - Buff Point - Halekulani,Jindabyne - Berridale,4
Chittaway Bay - Tumbi Umbi,Jindabyne - Berridale,5
Gorokan - Kanwal - Charmhaven,Jindabyne - Berridale,4
Lake Munmorah - Mannering Park,Jindabyne - Berridale,3
Summerland Point - Gwandalan,Jindabyne - Berridale,3
Warnervale - Wadalba,Jindabyne - Berridale,3
Bellingen,Jindabyne - Berridale,4
Sawtell - Boambee,Jindabyne - Berridale,3
Woolgoolga - Arrawarra,Jindabyne - Berridale,8
Dubbo - South,Jindabyne - Berridale,3
Maitland - East,Jindabyne - Berridale,5
Anna Bay,Jindabyne - Berridale,4
Lemon Tree Passage - Tanilba Bay,Jindabyne - Berridale,3
Nelson Bay Peninsula,Jindabyne - Berridale,7
Williamtown - Medowie - Karuah,Jindabyne - Berridale,5
Kiama,Jindabyne - Berridale,7
Kiama Downs - Minnamurra,Jindabyne - Berridale,3
Shellharbour - Flinders,Jindabyne - Berridale,4
Warilla,Jindabyne - Berridale,5
Figtree - Keiraville,Jindabyne - Berridale,10
Helensburgh,Jindabyne - Berridale,6
Thirroul - Austinmer - Coalcliff,Jindabyne - Berridale,4
Woonona - Bulli - Russell Vale,Jindabyne - Berridale,3
Forster,Jindabyne - Berridale,3
Laurieton - Bonny Hills,Jindabyne - Berridale,3
Port Macquarie - East,Jindabyne - Berridale,5
Albury - South,Jindabyne - Berridale,4
Albury Region,Jindabyne - Berridale,4
Quirindi,Jindabyne - Berridale,4
Tamworth Region,Jindabyne - Berridale,5
Belmont - Bennetts Green,Jindabyne - Berridale,5
Glendale - Cardiff - Hillsborough,Jindabyne - Berridale,8
Swansea - Caves Beach,Jindabyne - Berridale,3
Valentine - Eleebana,Jindabyne - Berridale,3
Wangi Wangi - Rathmines,Jindabyne - Berridale,3
Adamstown - Kotara,Jindabyne - Berridale,7
Lambton - New Lambton,Jindabyne - Berridale,5
Newcastle - Cooks Hill,Jindabyne - Berridale,7
Wickham - Carrington - Tighes Hill,Jindabyne - Berridale,3
Ballina,Jindabyne - Berridale,5
Ballina Region,Jindabyne - Berridale,4
Bangalow,Jindabyne - Berridale,4
Brunswick Heads - Ocean Shores,Jindabyne - Berridale,3
Byron Bay,Jindabyne - Berridale,8
Mullumbimby,Jindabyne - Berridale,3
Goonellabah,Jindabyne - Berridale,4
Lismore Region,Jindabyne - Berridale,4
Kingscliff - Fingal Head,Jindabyne - Berridale,8
Pottsville,Jindabyne - Berridale,3
Tumbarumba,Jindabyne - Berridale,3
Tumut Region,Jindabyne - Berridale,4
Wagga Wagga Region,Jindabyne - Berridale,5
Berry - Kangaroo Valley,Jindabyne - Berridale,6
North Nowra - Bomaderry,Jindabyne - Berridale,6
Nowra,Jindabyne - Berridale,4
St Georges Basin - Erowal Bay,Jindabyne - Berridale,8
Tomerong - Wandandian - Woollamia,Jindabyne - Berridale,3
Ulladulla,Jindabyne - Berridale,3
Ulladulla Region,Jindabyne - Berridale,13
Southern Highlands,Jindabyne - Berridale,3
Cherrybrook,Jindabyne - Berridale,5
Dural - Kenthurst - Wisemans Ferry,Jindabyne - Berridale,3
Kurrajong Heights - Ebenezer,Jindabyne - Berridale,3
Pitt Town - McGraths Hill,Jindabyne - Berridale,4
Lalor Park - Kings Langley,Jindabyne - Berridale,4
Blacktown (South),Jindabyne - Berridale,6
Botany,Jindabyne - Berridale,5
Glebe - Forest Lodge,Jindabyne - Berridale,4
Maroubra - North,Jindabyne - Berridale,3
Mortdale - Penshurst,Jindabyne - Berridale,3
South Hurstville - Blakehurst,Jindabyne - Berridale,4
Sans Souci - Ramsgate,Jindabyne - Berridale,5
Drummoyne - Rodd Point,Jindabyne - Berridale,4
Chatswood (West) - Lane Cove North,Jindabyne - Berridale,3
Asquith - Mount Colah,Jindabyne - Berridale,4
Wahroonga (East) - Warrawee,Jindabyne - Berridale,6
Crows Nest - Waverton,Jindabyne - Berridale,4
Mosman,Jindabyne - Berridale,4
Manly - Fairlight,Jindabyne - Berridale,5
Avalon - Palm Beach,Jindabyne - Berridale,4
Newport - Bilgola,Jindabyne - Berridale,5
Warriewood - Mona Vale,Jindabyne - Berridale,3
Beacon Hill - Narraweena,Jindabyne - Berridale,3
Dee Why - North Curl Curl,Jindabyne - Berridale,3
Forestville - Killarney Heights,Jindabyne - Berridale,5
Freshwater - Brookvale,Jindabyne - Berridale,3
Manly Vale - Allambie Heights,Jindabyne - Berridale,7
Narrabeen - Collaroy,Jindabyne - Berridale,3
Elderslie - Harrington Park,Jindabyne - Berridale,3
Mount Annan - Currans Hill,Jindabyne - Berridale,5
Ingleburn - Denham Court,Jindabyne - Berridale,3
Blaxland - Warrimoo - Lapstone,Jindabyne - Berridale,3
Lawson - Hazelbrook - Linden,Jindabyne - Berridale,7
Springwood - Winmalee,Jindabyne - Berridale,3
Jamisontown - South Penrith,Jindabyne - Berridale,4
Richmond - Clarendon,Jindabyne - Berridale,4
St Clair,Jindabyne - Berridale,3
Epping - North Epping,Jindabyne - Berridale,3
Gymea - Grays Point,Jindabyne - Berridale,3
Cronulla - Kurnell - Bundeena,Jindabyne - Berridale,9
Lilli Pilli - Port Hacking - Dolans Bay,Jindabyne - Berridale,4
Woolaware - Burraneer,Jindabyne - Berridale,8
Engadine,Jindabyne - Berridale,4
No Usual Address (NSW),Jindabyne - Berridale,146
Braidwood,Batemans Bay,12
Queanbeyan Region,Batemans Bay,5
Batemans Bay,Batemans Bay,1670
Batemans Bay - South,Batemans Bay,1289
Bega-Eden Hinterland,Batemans Bay,12
Broulee - Tomakin,Batemans Bay,279
Eurobodalla Hinterland,Batemans Bay,301
Moruya - Tuross Head,Batemans Bay,289
Narooma - Bermagui,Batemans Bay,37
Goulburn Region,Batemans Bay,5
Shellharbour - Flinders,Batemans Bay,4
Cootamundra,Batemans Bay,3
Culburra Beach,Batemans Bay,4
Nowra,Batemans Bay,3
St Georges Basin - Erowal Bay,Batemans Bay,3
Ulladulla,Batemans Bay,102
Ulladulla Region,Batemans Bay,71
Hurstville,Batemans Bay,3
Cobbitty - Leppington,Batemans Bay,4
No Usual Address (NSW),Batemans Bay,8
Batemans Bay,Batemans Bay - South,219
Batemans Bay - South,Batemans Bay - South,695
Broulee - Tomakin,Batemans Bay - South,47
Eurobodalla Hinterland,Batemans Bay - South,47
Moruya - Tuross Head,Batemans Bay - South,51
Narooma - Bermagui,Batemans Bay - South,10
The Entrance,Batemans Bay - South,4
Toukley - Norah Head,Batemans Bay - South,5
Armidale,Batemans Bay - South,4
Ulladulla,Batemans Bay - South,19
Ulladulla Region,Batemans Bay - South,13
Southern Highlands,Batemans Bay - South,6
Willoughby - Castle Cove - Northbridge,Batemans Bay - South,6
Bombala,Bega - Tathra,8
Cooma,Bega - Tathra,9
Jindabyne - Berridale,Bega - Tathra,3
Bega - Tathra,Bega - Tathra,2756
Bega-Eden Hinterland,Bega - Tathra,1322
Eden,Bega - Tathra,69
Eurobodalla Hinterland,Bega - Tathra,7
Merimbula - Tura Beach,Bega - Tathra,764
Moruya - Tuross Head,Bega - Tathra,5
Narooma - Bermagui,Bega - Tathra,70
Goulburn,Bega - Tathra,4
Balgownie - Fairy Meadow,Bega - Tathra,6
Ulladulla Region,Bega - Tathra,4
Lane Cove - Greenwich,Bega - Tathra,3
Kingswood - Werrington,Bega - Tathra,6
No Usual Address (NSW),Bega - Tathra,8
Bombala,Bega-Eden Hinterland,4
Bega - Tathra,Bega-Eden Hinterland,92
Bega-Eden Hinterland,Bega-Eden Hinterland,1136
Eden,Bega-Eden Hinterland,30
Eurobodalla Hinterland,Bega-Eden Hinterland,4
Merimbula - Tura Beach,Bega-Eden Hinterland,52
Narooma - Bermagui,Bega-Eden Hinterland,38
Yass,Bega-Eden Hinterland,4
Narrabri,Bega-Eden Hinterland,4
Batemans Bay,Broulee - Tomakin,46
Batemans Bay - South,Broulee - Tomakin,109
Broulee - Tomakin,Broulee - Tomakin,367
Eurobodalla Hinterland,Broulee - Tomakin,34
Moruya - Tuross Head,Broulee - Tomakin,104
Narooma - Bermagui,Broulee - Tomakin,11
Ulladulla,Broulee - Tomakin,8
Bombala,Eden,3
Bega - Tathra,Eden,34
Bega-Eden Hinterland,Eden,224
Eden,Eden,789
Merimbula - Tura Beach,Eden,242
Toronto - Awaba,Eden,6
Tumut,Eden,4
No Usual Address (NSW),Eden,3
Batemans Bay,Eurobodalla Hinterland,67
Batemans Bay - South,Eurobodalla Hinterland,80
Bega-Eden Hinterland,Eurobodalla Hinterland,5
Broulee - Tomakin,Eurobodalla Hinterland,46
Eurobodalla Hinterland,Eurobodalla Hinterland,376
Moruya - Tuross Head,Eurobodalla Hinterland,84
Narooma - Bermagui,Eurobodalla Hinterland,42
Coonabarabran,Eurobodalla Hinterland,4
Port Macquarie - East,Eurobodalla Hinterland,3
Ulladulla,Eurobodalla Hinterland,10
Ulladulla Region,Eurobodalla Hinterland,5
Chatswood (West) - Lane Cove North,Eurobodalla Hinterland,4
No Usual Address (NSW),Eurobodalla Hinterland,3
Bombala,Merimbula - Tura Beach,9
Batemans Bay,Merimbula - Tura Beach,3
Bega - Tathra,Merimbula - Tura Beach,278
Bega-Eden Hinterland,Merimbula - Tura Beach,487
Eden,Merimbula - Tura Beach,163
Merimbula - Tura Beach,Merimbula - Tura Beach,2574
Narooma - Bermagui,Merimbula - Tura Beach,6
Hoxton Park - Carnes Hill - Horningsea Park,Merimbula - Tura Beach,4
No Usual Address (NSW),Merimbula - Tura Beach,7
Braidwood,Moruya - Tuross Head,4
Queanbeyan - East,Moruya - Tuross Head,6
Cooma,Moruya - Tuross Head,5
Batemans Bay,Moruya - Tuross Head,203
Batemans Bay - South,Moruya - Tuross Head,299
Bega-Eden Hinterland,Moruya - Tuross Head,7
Broulee - Tomakin,Moruya - Tuross Head,338
Eurobodalla Hinterland,Moruya - Tuross Head,316
Merimbula - Tura Beach,Moruya - Tuross Head,5
Moruya - Tuross Head,Moruya - Tuross Head,1895
Narooma - Bermagui,Moruya - Tuross Head,181
Morisset - Cooranbong,Moruya - Tuross Head,5
North Nowra - Bomaderry,Moruya - Tuross Head,4
Tomerong - Wandandian - Woollamia,Moruya - Tuross Head,3
Ulladulla,Moruya - Tuross Head,11
Ulladulla Region,Moruya - Tuross Head,11
No Usual Address (NSW),Moruya - Tuross Head,4
Batemans Bay,Narooma - Bermagui,4
Batemans Bay - South,Narooma - Bermagui,9
Bega - Tathra,Narooma - Bermagui,9
Bega-Eden Hinterland,Narooma - Bermagui,122
Broulee - Tomakin,Narooma - Bermagui,7
Deua - Wadbilliga,Narooma - Bermagui,3
Eurobodalla Hinterland,Narooma - Bermagui,112
Moruya - Tuross Head,Narooma - Bermagui,94
Narooma - Bermagui,Narooma - Bermagui,2059
Braidwood,Goulburn,32
Karabar,Goulburn,7
Queanbeyan,Goulburn,6
Queanbeyan - East,Goulburn,3
Queanbeyan Region,Goulburn,31
Queanbeyan West - Jerrabomberra,Goulburn,3
Batemans Bay,Goulburn,4
Batemans Bay - South,Goulburn,3
Bega - Tathra,Goulburn,3
Goulburn,Goulburn,7489
Goulburn Region,Goulburn,1636
Yass,Goulburn,12
Yass Region,Goulburn,49
Orange - North,Goulburn,3
Broken Hill,Goulburn,6
Dungog,Goulburn,4
Dapto - Avondale,Goulburn,3
Horsley - Kembla Grange,Goulburn,3
Port Kembla - Warrawong,Goulburn,3
Albion Park - Macquarie Pass,Goulburn,6
Shellharbour - Flinders,Goulburn,9
Shellharbour - Oak Flats,Goulburn,6
Warilla,Goulburn,5
Balgownie - Fairy Meadow,Goulburn,5
Woonona - Bulli - Russell Vale,Goulburn,3
Wollongong - East,Goulburn,3
Wollongong - West,Goulburn,3
Tamworth - North,Goulburn,4
Bolton Point - Teralba,Goulburn,4
Cootamundra,Goulburn,4
Wagga Wagga - East,Goulburn,5
Wagga Wagga Region,Goulburn,5
North Nowra - Bomaderry,Goulburn,5
Nowra,Goulburn,3
St Georges Basin - Erowal Bay,Goulburn,4
Ulladulla,Goulburn,3
Bowral,Goulburn,32
Hill Top - Colo Vale,Goulburn,16
Mittagong,Goulburn,23
Moss Vale - Berrima,Goulburn,70
Robertson - Fitzroy Falls,Goulburn,3
Southern Highlands,Goulburn,70
West Pennant Hills,Goulburn,4
Kellyville,Goulburn,5
Blacktown (North) - Marayong,Goulburn,6
Parklea - Kellyville Ridge,Goulburn,5
Riverstone - Marsden Park,Goulburn,5
Mount Druitt - Whalan,Goulburn,3
Potts Point - Woolloomooloo,Goulburn,5
Redfern - Chippendale,Goulburn,3
Lakemba,Goulburn,3
Hurstville,Goulburn,5
Mortdale - Penshurst,Goulburn,4
Sans Souci - Ramsgate,Goulburn,3
Five Dock - Abbotsford,Goulburn,4
Homebush,Goulburn,3
Strathfield,Goulburn,4
Lane Cove - Greenwich,Goulburn,5
Camden - Ellis Lane,Goulburn,3
Mount Annan - Currans Hill,Goulburn,7
Campbelltown - Woodbine,Goulburn,3
Claymore - Eagle Vale - Raby,Goulburn,5
Leumeah - Minto Heights,Goulburn,3
Rosemeadow - Glen Alpine,Goulburn,5
Bargo,Goulburn,8
Picton - Tahmoor - Buxton,Goulburn,5
Glenmore Park - Regentville,Goulburn,6
Jamisontown - South Penrith,Goulburn,4
St Clair,Goulburn,3
Homebush Bay - Silverwater,Goulburn,3
Chester Hill - Sefton,Goulburn,4
Cobbitty - Leppington,Goulburn,4
Cabramatta West - Mount Pritchard,Goulburn,4
Smithfield - Wetherill Park,Goulburn,4
No Usual Address (NSW),Goulburn,8
Braidwood,Goulburn Region,6
Queanbeyan Region,Goulburn Region,6
Goulburn,Goulburn Region,524
Goulburn Region,Goulburn Region,2581
Yass,Goulburn Region,4
Yass Region,Goulburn Region,23
Young,Goulburn Region,3
Young Region,Goulburn Region,4
Kincumber - Picketts Valley,Goulburn Region,3
Ourimbah - Fountaindale,Goulburn Region,4
Oberon,Goulburn Region,5
Lithgow Region,Goulburn Region,4
Dapto - Avondale,Goulburn Region,7
Woonona - Bulli - Russell Vale,Goulburn Region,6
Tweed Heads,Goulburn Region,3
Berry - Kangaroo Valley,Goulburn Region,5
St Georges Basin - Erowal Bay,Goulburn Region,3
Ulladulla Region,Goulburn Region,3
Bowral,Goulburn Region,11
Mittagong,Goulburn Region,6
Moss Vale - Berrima,Goulburn Region,21
Robertson - Fitzroy Falls,Goulburn Region,7
Southern Highlands,Goulburn Region,30
Seven Hills - Toongabbie,Goulburn Region,4
Sydney - Haymarket - The Rocks,Goulburn Region,3
Double Bay - Bellevue Hill,Goulburn Region,3
Gordon - Killara,Goulburn Region,3
Crows Nest - Waverton,Goulburn Region,4
Leumeah - Minto Heights,Goulburn Region,8
Picton - Tahmoor - Buxton,Goulburn Region,3
Cobbitty - Leppington,Goulburn Region,3
Canley Vale - Canley Heights,Goulburn Region,3
Engadine,Goulburn Region,3
Queanbeyan West - Jerrabomberra,Yass,6
Broulee - Tomakin,Yass,4
Goulburn,Yass,24
Goulburn Region,Yass,15
Yass,Yass,1473
Yass Region,Yass,503
Young,Yass,5
Young Region,Yass,42
Grenfell,Yass,6
Wagga Wagga Region,Yass,3
Karabar,Yass Region,8
Queanbeyan,Yass Region,6
Queanbeyan - East,Yass Region,7
Queanbeyan Region,Yass Region,30
Queanbeyan West - Jerrabomberra,Yass Region,6
Cooma Region,Yass Region,3
Goulburn,Yass Region,25
Goulburn Region,Yass Region,45
Yass,Yass Region,90
Yass Region,Yass Region,1543
Young,Yass Region,4
Young Region,Yass Region,41
Wellington,Yass Region,4
Tocumwal - Finley - Jerilderie,Yass Region,5
Tumut,Yass Region,6
Tumut Region,Yass Region,4
Cootamundra,Yass Region,6
Gundagai,Yass Region,14
Bowral,Yass Region,4
Lalor Park - Kings Langley,Yass Region,3
Mascot - Eastlakes,Yass Region,3
Petersham - Stanmore,Yass Region,7
Glebe - Forest Lodge,Yass Region,7
Newtown - Camperdown - Darlington,Yass Region,6
Potts Point - Woolloomooloo,Yass Region,5
Waterloo - Beaconsfield,Yass Region,3
Randwick - North,Yass Region,4
Yagoona - Birrong,Yass Region,4
Mortdale - Penshurst,Yass Region,7
South Hurstville - Blakehurst,Yass Region,3
Kingsgrove (South) - Bardwell Park,Yass Region,4
Rockdale - Banksia,Yass Region,4
Concord - Mortlake - Cabarita,Yass Region,3
Five Dock - Abbotsford,Yass Region,7
Leichhardt - Annandale,Yass Region,6
Lilyfield - Rozelle,Yass Region,3
Ashfield,Yass Region,3
Chatswood (West) - Lane Cove North,Yass Region,4
Turramurra,Yass Region,3
Wahroonga (East) - Warrawee,Yass Region,5
Crows Nest - Waverton,Yass Region,3
Narrabeen - Collaroy,Yass Region,3
Glenmore Park - Regentville,Yass Region,3
Auburn - North,Yass Region,3
Oatlands - Dundas Valley,Yass Region,3
St Johns Park - Wakeley,Yass Region,3
Lurnea - Cartwright,Yass Region,3
Cronulla - Kurnell - Bundeena,Yass Region,5
Oyster Bay - Como - Jannali,Yass Region,5
Goulburn,Young,3
Yass,Young,6
Yass Region,Young,14
Young,Young,3442
Young Region,Young,590
Cowra,Young,14
Cowra Region,Young,15
Grenfell,Young,72
West Wyalong,Young,6
Albury - East,Young,4
Tumut,Young,5
Cootamundra,Young,90
Temora,Young,23
Wagga Wagga - West,Young,3
Wagga Wagga Region,Young,3
Turramurra,Young,3
No Usual Address (NSW),Young,4
Bombala,Young Region,5
Goulburn,Young Region,6
Goulburn Region,Young Region,8
Yass,Young Region,13
Yass Region,Young Region,62
Young,Young Region,224
Young Region,Young Region,1854
Cowra,Young Region,31
Cowra Region,Young Region,11
Forbes,Young Region,3
Grenfell,Young Region,26
Shellharbour - Oak Flats,Young Region,4
Albury Region,Young Region,3
Cootamundra,Young Region,54
Gundagai,Young Region,4
Temora,Young Region,10
Mount Druitt - Whalan,Young Region,4
Concord West - North Strathfield,Young Region,3
Blackheath - Megalong Valley,Young Region,3
No Usual Address (NSW),Young Region,5
Avoca Beach - Copacabana,Avoca Beach - Copacabana,695
Box Head - MacMasters Beach,Avoca Beach - Copacabana,43
Erina - Green Point,Avoca Beach - Copacabana,21
Gosford - Springfield,Avoca Beach - Copacabana,19
Kariong,Avoca Beach - Copacabana,5
Kincumber - Picketts Valley,Avoca Beach - Copacabana,49
Narara,Avoca Beach - Copacabana,5
Niagara Park - Lisarow,Avoca Beach - Copacabana,3
Point Clare - Koolewong,Avoca Beach - Copacabana,9
Saratoga - Davistown,Avoca Beach - Copacabana,31
Terrigal - North Avoca,Avoca Beach - Copacabana,62
Umina - Booker Bay - Patonga,Avoca Beach - Copacabana,5
Wamberal - Forresters Beach,Avoca Beach - Copacabana,25
Wyoming,Avoca Beach - Copacabana,13
Bateau Bay - Killarney Vale,Avoca Beach - Copacabana,10
Blue Haven - San Remo,Avoca Beach - Copacabana,4
Chittaway Bay - Tumbi Umbi,Avoca Beach - Copacabana,11
Ourimbah - Fountaindale,Avoca Beach - Copacabana,3
The Entrance,Avoca Beach - Copacabana,16
Toukley - Norah Head,Avoca Beach - Copacabana,3
Wyong,Avoca Beach - Copacabana,4
Potts Point - Woolloomooloo,Avoca Beach - Copacabana,4
Kogarah Bay - Carlton - Allawah,Avoca Beach - Copacabana,5
Mosman,Avoca Beach - Copacabana,4
Chipping Norton - Moorebank,Avoca Beach - Copacabana,3
Menai - Lucas Heights - Woronora,Avoca Beach - Copacabana,6
Avoca Beach - Copacabana,Box Head - MacMasters Beach,35
Box Head - MacMasters Beach,Box Head - MacMasters Beach,886
Calga - Kulnura,Box Head - MacMasters Beach,4
Erina - Green Point,Box Head - MacMasters Beach,21
Gosford - Springfield,Box Head - MacMasters Beach,22
Kariong,Box Head - MacMasters Beach,4
Kincumber - Picketts Valley,Box Head - MacMasters Beach,35
Narara,Box Head - MacMasters Beach,9
Niagara Park - Lisarow,Box Head - MacMasters Beach,9
Point Clare - Koolewong,Box Head - MacMasters Beach,7
Saratoga - Davistown,Box Head - MacMasters Beach,23
Terrigal - North Avoca,Box Head - MacMasters Beach,38
Umina - Booker Bay - Patonga,Box Head - MacMasters Beach,80
Wamberal - Forresters Beach,Box Head - MacMasters Beach,19
Woy Woy - Blackwall,Box Head - MacMasters Beach,42
Wyoming,Box Head - MacMasters Beach,12
Bateau Bay - Killarney Vale,Box Head - MacMasters Beach,16
Blue Haven - San Remo,Box Head - MacMasters Beach,3
Chittaway Bay - Tumbi Umbi,Box Head - MacMasters Beach,11
Gorokan - Kanwal - Charmhaven,Box Head - MacMasters Beach,6
Lake Munmorah - Mannering Park,Box Head - MacMasters Beach,4
The Entrance,Box Head - MacMasters Beach,7
Toukley - Norah Head,Box Head - MacMasters Beach,3
Maitland - East,Box Head - MacMasters Beach,4
Nelson Bay Peninsula,Box Head - MacMasters Beach,3
Swansea - Caves Beach,Box Head - MacMasters Beach,4
Chatswood (West) - Lane Cove North,Box Head - MacMasters Beach,3
Bayview - Elanora Heights,Box Head - MacMasters Beach,4
Freshwater - Brookvale,Box Head - MacMasters Beach,3
Campbelltown - Woodbine,Box Head - MacMasters Beach,5
Rosemeadow - Glen Alpine,Box Head - MacMasters Beach,4
Epping - North Epping,Box Head - MacMasters Beach,3
Avoca Beach - Copacabana,Calga - Kulnura,59
Box Head - MacMasters Beach,Calga - Kulnura,81
Calga - Kulnura,Calga - Kulnura,935
Erina - Green Point,Calga - Kulnura,124
Gosford - Springfield,Calga - Kulnura,244
Kariong,Calga - Kulnura,154
Kincumber - Picketts Valley,Calga - Kulnura,67
Narara,Calga - Kulnura,133
Niagara Park - Lisarow,Calga - Kulnura,123
Point Clare - Koolewong,Calga - Kulnura,50
Saratoga - Davistown,Calga - Kulnura,74
