SA2 - Residence,Method of Travel to Work,Count
Goulburn,Train,7
Goulburn,Bus,35
Goulburn,Tram,4
Goulburn,Taxi,44
Goulburn,"Car, as driver",6307
Goulburn,"Car, as passenger",786
Goulburn,Truck,130
Goulburn,Motorbike/scooter,47
Goulburn,Bicycle,43
Goulburn,Other,24
Goulburn,"Bus, car as driver",3
Goulburn,"Bus, car as passenger",5
Goulburn,"Car as driver, car as passenger",33
Goulburn,"Car as driver, truck",4
Goulburn,"Car as driver, motorbike/scooter",4
Goulburn,"Car as driver, other",4
Goulburn,"Car as driver, car as passenger, truck",3
Goulburn,Walked only,409
Goulburn,Worked at home,242
Goulburn,Did not go to work,1087
Goulburn,Not stated,143
Goulburn,Not applicable,12118
Goulburn Region,Train,13
Goulburn Region,Bus,16
Goulburn Region,Taxi,3
Goulburn Region,"Car, as driver",3254
Goulburn Region,"Car, as passenger",267
Goulburn Region,Truck,182
Goulburn Region,Motorbike/scooter,42
Goulburn Region,Bicycle,5
Goulburn Region,Other,44
Goulburn Region,"Bus, car as driver",3
Goulburn Region,"Bus, car as passenger",3
Goulburn Region,"Car as driver, car as passenger",16
Goulburn Region,"Car as driver, truck",3
Goulburn Region,"Car as driver, motorbike/scooter",3
Goulburn Region,"Car as driver, other",3
Goulburn Region,"Truck, motorbike/scooter",3
Goulburn Region,"Truck, other",3
Goulburn Region,Walked only,217
Goulburn Region,Worked at home,726
Goulburn Region,Did not go to work,529
Goulburn Region,Not stated,89
Goulburn Region,Not applicable,6184
Yass,Bus,51
Yass,Taxi,7
Yass,"Car, as driver",1914
Yass,"Car, as passenger",241
Yass,Truck,86
Yass,Motorbike/scooter,9
Yass,Bicycle,7
Yass,Other,17
Yass,"Bus, car as driver",3
Yass,"Bus, car as passenger",3
Yass,"Car as driver, car as passenger",17
Yass,"Car as driver, truck",5
Yass,"Car as driver, bicycle",3
Yass,"Car as driver, other",3
Yass,Walked only,141
Yass,Worked at home,137
Yass,Did not go to work,332
Yass,Not stated,40
Yass,Not applicable,3305
Yass Region,Train,3
Yass Region,Bus,33
Yass Region,Taxi,4
Yass Region,"Car, as driver",3402
Yass Region,"Car, as passenger",350
Yass Region,Truck,153
Yass Region,Motorbike/scooter,40
Yass Region,Bicycle,7
Yass Region,Other,44
Yass Region,"Bus, car as driver",18
Yass Region,"Bus, car as passenger",15
Yass Region,"Car as driver, car as passenger",24
Yass Region,"Car as driver, truck",12
Yass Region,"Car as driver, motorbike/scooter",3
Yass Region,"Car as driver, bicycle",3
Yass Region,"Car as driver, other",5
Yass Region,"Taxi, car as driver, other",3
Yass Region,Walked only,194
Yass Region,Worked at home,606
Yass Region,Did not go to work,593
Yass Region,Not stated,96
Yass Region,Not applicable,4787
Young,Train,3
Young,Bus,12
Young,Taxi,4
Young,"Car, as driver",2782
Young,"Car, as passenger",263
Young,Truck,107
Young,Motorbike/scooter,17
Young,Bicycle,15
Young,Other,19
Young,"Bus, car as passenger",4
Young,"Car as driver, car as passenger",14
Young,"Car as driver, truck",5
Young,Walked only,223
Young,Worked at home,172
Young,Did not go to work,431
Young,Not stated,65
Young,Not applicable,6143
Young Region,Bus,9
Young Region,Taxi,6
Young Region,"Car, as driver",1642
Young Region,"Car, as passenger",160
Young Region,Truck,102
Young Region,Motorbike/scooter,14
Young Region,Bicycle,7
Young Region,Other,40
Young Region,"Bus, car as driver",8
Young Region,"Car as driver, car as passenger",6
Young Region,"Car as driver, truck",3
Young Region,"Car as driver, motorbike/scooter",4
Young Region,"Truck, motorbike/scooter",7
Young Region,Walked only,214
Young Region,Worked at home,531
Young Region,Did not go to work,284
Young Region,Not stated,58
Young Region,Not applicable,4292
Braidwood,Bus,4
Braidwood,"Car, as driver",839
Braidwood,"Car, as passenger",84
Braidwood,Truck,39
Braidwood,Motorbike/scooter,11
Braidwood,Bicycle,12
Braidwood,Other,12
Braidwood,"Car as driver, car as passenger",6
Braidwood,"Car as driver, truck",3
Braidwood,Walked only,125
Braidwood,Worked at home,212
Braidwood,Did not go to work,173
Braidwood,Not stated,35
Braidwood,Not applicable,1799
Karabar,Train,5
Karabar,Bus,49
Karabar,Ferry,3
Karabar,Taxi,11
Karabar,"Car, as driver",3343
Karabar,"Car, as passenger",341
Karabar,Truck,58
Karabar,Motorbike/scooter,39
Karabar,Bicycle,27
Karabar,Other,17
Karabar,"Bus, car as driver",3
Karabar,"Bus, car as passenger",7
Karabar,"Taxi, car as passenger",3
Karabar,"Car as driver, car as passenger",7
Karabar,"Car as driver, truck",3
Karabar,"Car as driver, motorbike/scooter",4
Karabar,"Car as driver, bicycle",4
Karabar,"Car as driver, other",4
Karabar,"Car as passenger, other",3
Karabar,"Bus, taxi, car as passenger",3
Karabar,Walked only,71
Karabar,Worked at home,81
Karabar,Did not go to work,391
Karabar,Not stated,73
Karabar,Not applicable,4054
Queanbeyan,Train,8
Queanbeyan,Bus,129
Queanbeyan,Taxi,23
Queanbeyan,"Car, as driver",3722
Queanbeyan,"Car, as passenger",416
Queanbeyan,Truck,57
Queanbeyan,Motorbike/scooter,65
Queanbeyan,Bicycle,56
Queanbeyan,Other,21
Queanbeyan,"Bus, car as driver",8
Queanbeyan,"Bus, car as passenger",6
Queanbeyan,"Bus, bicycle",3
Queanbeyan,"Taxi, car as driver",3
Queanbeyan,"Taxi, car as passenger",3
Queanbeyan,"Car as driver, car as passenger",20
Queanbeyan,"Car as driver, bicycle",3
Queanbeyan,"Car as driver, other",6
Queanbeyan,"Taxi, car as driver, car as passenger",3
Queanbeyan,Walked only,212
Queanbeyan,Worked at home,85
Queanbeyan,Did not go to work,501
Queanbeyan,Not stated,76
Queanbeyan,Not applicable,4803
Queanbeyan - East,Bus,51
Queanbeyan - East,Taxi,6
Queanbeyan - East,"Car, as driver",1865
Queanbeyan - East,"Car, as passenger",193
Queanbeyan - East,Truck,39
Queanbeyan - East,Motorbike/scooter,19
Queanbeyan - East,Bicycle,16
Queanbeyan - East,Other,29
Queanbeyan - East,"Bus, car as driver",3
Queanbeyan - East,"Bus, car as passenger",7
Queanbeyan - East,"Car as driver, car as passenger",12
Queanbeyan - East,"Car as driver, truck",3
Queanbeyan - East,"Car as driver, motorbike/scooter",3
Queanbeyan - East,"Car as driver, bicycle",3
Queanbeyan - East,Walked only,116
Queanbeyan - East,Worked at home,62
Queanbeyan - East,Did not go to work,245
Queanbeyan - East,Not stated,34
Queanbeyan - East,Not applicable,1929
Queanbeyan Region,Train,3
Queanbeyan Region,Bus,22
Queanbeyan Region,Ferry,3
Queanbeyan Region,Taxi,4
Queanbeyan Region,"Car, as driver",5419
Queanbeyan Region,"Car, as passenger",442
Queanbeyan Region,Truck,161
Queanbeyan Region,Motorbike/scooter,50
Queanbeyan Region,Bicycle,15
Queanbeyan Region,Other,35
Queanbeyan Region,"Train, bus",3
Queanbeyan Region,"Train, car as driver",3
Queanbeyan Region,"Bus, car as driver",6
Queanbeyan Region,"Bus, car as passenger",11
Queanbeyan Region,"Taxi, other",4
Queanbeyan Region,"Car as driver, car as passenger",34
Queanbeyan Region,"Car as driver, truck",10
Queanbeyan Region,"Car as driver, motorbike/scooter",3
Queanbeyan Region,"Car as driver, bicycle",13
Queanbeyan Region,"Car as driver, other",15
Queanbeyan Region,Walked only,163
Queanbeyan Region,Worked at home,442
Queanbeyan Region,Did not go to work,820
Queanbeyan Region,Not stated,120
Queanbeyan Region,Not applicable,6292
Queanbeyan West - Jerrabomberra,Bus,46
Queanbeyan West - Jerrabomberra,Taxi,17
Queanbeyan West - Jerrabomberra,"Car, as driver",5375
Queanbeyan West - Jerrabomberra,"Car, as passenger",495
Queanbeyan West - Jerrabomberra,Truck,56
Queanbeyan West - Jerrabomberra,Motorbike/scooter,64
Queanbeyan West - Jerrabomberra,Bicycle,53
Queanbeyan West - Jerrabomberra,Other,37
Queanbeyan West - Jerrabomberra,"Bus, car as driver",9
Queanbeyan West - Jerrabomberra,"Bus, car as passenger",9
Queanbeyan West - Jerrabomberra,"Car as driver, car as passenger",23
Queanbeyan West - Jerrabomberra,"Car as driver, truck",5
Queanbeyan West - Jerrabomberra,"Car as driver, motorbike/scooter",10
Queanbeyan West - Jerrabomberra,"Car as driver, bicycle",8
Queanbeyan West - Jerrabomberra,"Car as passenger, other",3
Queanbeyan West - Jerrabomberra,Walked only,84
Queanbeyan West - Jerrabomberra,Worked at home,184
Queanbeyan West - Jerrabomberra,Did not go to work,711
Queanbeyan West - Jerrabomberra,Not stated,64
Queanbeyan West - Jerrabomberra,Not applicable,5313
Bombala,Bus,4
Bombala,"Car, as driver",638
Bombala,"Car, as passenger",49
Bombala,Truck,38
Bombala,Motorbike/scooter,9
Bombala,Bicycle,9
Bombala,Other,28
Bombala,"Car as driver, car as passenger",4
Bombala,Walked only,76
Bombala,Worked at home,129
Bombala,Did not go to work,98
Bombala,Not stated,19
Bombala,Not applicable,1322
Cooma,Bus,8
Cooma,Taxi,9
Cooma,"Car, as driver",1851
Cooma,"Car, as passenger",221
Cooma,Truck,42
Cooma,Motorbike/scooter,14
Cooma,Bicycle,17
Cooma,Other,25
Cooma,"Car as driver, car as passenger",7
Cooma,"Car as passenger, truck",3
Cooma,Walked only,254
Cooma,Worked at home,109
Cooma,Did not go to work,326
Cooma,Not stated,42
Cooma,Not applicable,3731
Cooma Region,Bus,9
Cooma Region,"Car, as driver",922
Cooma Region,"Car, as passenger",96
Cooma Region,Truck,33
Cooma Region,Motorbike/scooter,8
Cooma Region,Other,24
Cooma Region,"Car as driver, car as passenger",3
Cooma Region,"Car as driver, truck",3
Cooma Region,"Truck, motorbike/scooter",3
Cooma Region,Walked only,73
Cooma Region,Worked at home,217
Cooma Region,Did not go to work,145
Cooma Region,Not stated,21
Cooma Region,Not applicable,1607
Jindabyne - Berridale,Train,11
Jindabyne - Berridale,Bus,15
Jindabyne - Berridale,"Car, as driver",1831
Jindabyne - Berridale,"Car, as passenger",215
Jindabyne - Berridale,Truck,20
Jindabyne - Berridale,Motorbike/scooter,12
Jindabyne - Berridale,Bicycle,8
Jindabyne - Berridale,Other,67
Jindabyne - Berridale,"Train, bus",3
Jindabyne - Berridale,"Train, taxi",3
Jindabyne - Berridale,"Train, car as driver",40
Jindabyne - Berridale,"Train, car as passenger",15
Jindabyne - Berridale,"Tram, car as driver",3
Jindabyne - Berridale,"Car as driver, car as passenger",15
Jindabyne - Berridale,"Car as driver, other",7
Jindabyne - Berridale,"Car as passenger, other",3
Jindabyne - Berridale,"Train, car as driver, car as passenger",3
Jindabyne - Berridale,"Train, car as driver, other",4
Jindabyne - Berridale,Walked only,375
Jindabyne - Berridale,Worked at home,302
Jindabyne - Berridale,Did not go to work,431
Jindabyne - Berridale,Not stated,53
Jindabyne - Berridale,Not applicable,3227
Batemans Bay,Train,3
Batemans Bay,Bus,13
Batemans Bay,Taxi,6
Batemans Bay,"Car, as driver",1653
Batemans Bay,"Car, as passenger",164
Batemans Bay,Truck,53
Batemans Bay,Motorbike/scooter,18
Batemans Bay,Bicycle,19
Batemans Bay,Other,13
Batemans Bay,"Car as driver, car as passenger",13
Batemans Bay,"Car as driver, other",3
Batemans Bay,Walked only,108
Batemans Bay,Worked at home,125
Batemans Bay,Did not go to work,295
