SA2 - Residence,Method of Travel to Work,Count
Batemans Bay,Not stated,51
Batemans Bay,Not applicable,4954
Batemans Bay - South,Bus,24
Batemans Bay - South,Taxi,3
Batemans Bay - South,"Car, as driver",1790
Batemans Bay - South,"Car, as passenger",169
Batemans Bay - South,Truck,52
Batemans Bay - South,Motorbike/scooter,11
Batemans Bay - South,Bicycle,20
Batemans Bay - South,Other,7
Batemans Bay - South,"Bus, car as driver",3
Batemans Bay - South,"Bus, car as passenger",6
Batemans Bay - South,"Car as driver, car as passenger",7
Batemans Bay - South,Walked only,65
Batemans Bay - South,Worked at home,152
Batemans Bay - South,Did not go to work,349
Batemans Bay - South,Not stated,54
Batemans Bay - South,Not applicable,5506
Bega - Tathra,Bus,12
Bega - Tathra,Taxi,4
Bega - Tathra,"Car, as driver",2162
Bega - Tathra,"Car, as passenger",212
Bega - Tathra,Truck,67
Bega - Tathra,Motorbike/scooter,22
Bega - Tathra,Bicycle,30
Bega - Tathra,Other,11
Bega - Tathra,"Bus, car as passenger",3
Bega - Tathra,"Car as driver, car as passenger",9
Bega - Tathra,"Car as driver, truck",5
Bega - Tathra,"Car as driver, motorbike/scooter",3
Bega - Tathra,"Car as driver, bicycle",5
Bega - Tathra,"Car as driver, other",3
Bega - Tathra,Walked only,255
Bega - Tathra,Worked at home,173
Bega - Tathra,Did not go to work,401
Bega - Tathra,Not stated,45
Bega - Tathra,Not applicable,4603
Bega-Eden Hinterland,Train,3
Bega-Eden Hinterland,Bus,20
Bega-Eden Hinterland,Ferry,3
Bega-Eden Hinterland,Taxi,3
Bega-Eden Hinterland,"Car, as driver",2312
Bega-Eden Hinterland,"Car, as passenger",140
Bega-Eden Hinterland,Truck,82
Bega-Eden Hinterland,Motorbike/scooter,38
Bega-Eden Hinterland,Bicycle,7
Bega-Eden Hinterland,Other,41
Bega-Eden Hinterland,"Bus, car as passenger",3
Bega-Eden Hinterland,"Car as driver, car as passenger",15
Bega-Eden Hinterland,"Car as driver, motorbike/scooter",3
Bega-Eden Hinterland,"Car as driver, bicycle",3
Bega-Eden Hinterland,"Car as driver, other",3
Bega-Eden Hinterland,Walked only,143
Bega-Eden Hinterland,Worked at home,453
Bega-Eden Hinterland,Did not go to work,450
Bega-Eden Hinterland,Not stated,57
Bega-Eden Hinterland,Not applicable,4990
Broulee - Tomakin,Bus,7
Broulee - Tomakin,"Car, as driver",678
Broulee - Tomakin,"Car, as passenger",42
Broulee - Tomakin,Truck,27
Broulee - Tomakin,Motorbike/scooter,3
Broulee - Tomakin,Bicycle,24
Broulee - Tomakin,Other,6
Broulee - Tomakin,"Car as driver, car as passenger",4
Broulee - Tomakin,Walked only,39
Broulee - Tomakin,Worked at home,65
Broulee - Tomakin,Did not go to work,109
Broulee - Tomakin,Not stated,16
Broulee - Tomakin,Not applicable,1790
Deua - Wadbilliga,"Car, as driver",15
Deua - Wadbilliga,Walked only,3
Deua - Wadbilliga,Worked at home,8
Deua - Wadbilliga,Did not go to work,3
Deua - Wadbilliga,Not applicable,25
Eden,Bus,23
Eden,"Car, as driver",724
Eden,"Car, as passenger",95
Eden,Truck,33
Eden,Motorbike/scooter,3
Eden,Bicycle,3
Eden,Other,21
Eden,"Car as driver, car as passenger",3
Eden,"Car as driver, other",3
Eden,Walked only,91
Eden,Worked at home,48
Eden,Did not go to work,160
Eden,Not stated,36
Eden,Not applicable,1949
Eurobodalla Hinterland,Bus,9
Eurobodalla Hinterland,"Car, as driver",830
Eurobodalla Hinterland,"Car, as passenger",70
Eurobodalla Hinterland,Truck,25
Eurobodalla Hinterland,Motorbike/scooter,5
Eurobodalla Hinterland,Other,6
Eurobodalla Hinterland,"Car as driver, car as passenger",3
Eurobodalla Hinterland,"Car as driver, motorbike/scooter",3
Eurobodalla Hinterland,Walked only,58
Eurobodalla Hinterland,Worked at home,137
Eurobodalla Hinterland,Did not go to work,163
Eurobodalla Hinterland,Not stated,36
Eurobodalla Hinterland,Not applicable,1867
Merimbula - Tura Beach,Train,3
Merimbula - Tura Beach,Bus,22
Merimbula - Tura Beach,Taxi,4
Merimbula - Tura Beach,"Car, as driver",2430
Merimbula - Tura Beach,"Car, as passenger",236
Merimbula - Tura Beach,Truck,53
Merimbula - Tura Beach,Motorbike/scooter,15
Merimbula - Tura Beach,Bicycle,18
Merimbula - Tura Beach,Other,32
Merimbula - Tura Beach,"Bus, car as driver",3
Merimbula - Tura Beach,"Car as driver, car as passenger",10
Merimbula - Tura Beach,"Car as driver, truck",5
Merimbula - Tura Beach,"Car as driver, bicycle",3
Merimbula - Tura Beach,"Car as driver, other",3
Merimbula - Tura Beach,Walked only,209
Merimbula - Tura Beach,Worked at home,289
Merimbula - Tura Beach,Did not go to work,481
Merimbula - Tura Beach,Not stated,47
Merimbula - Tura Beach,Not applicable,5912
Moruya - Tuross Head,Bus,13
Moruya - Tuross Head,"Car, as driver",1795
Moruya - Tuross Head,"Car, as passenger",160
Moruya - Tuross Head,Truck,61
Moruya - Tuross Head,Motorbike/scooter,17
Moruya - Tuross Head,Bicycle,26
Moruya - Tuross Head,Other,25
Moruya - Tuross Head,"Car as driver, car as passenger",5
Moruya - Tuross Head,"Car as driver, motorbike/scooter",3
Moruya - Tuross Head,"Car as passenger, other",5
Moruya - Tuross Head,Walked only,110
Moruya - Tuross Head,Worked at home,148
Moruya - Tuross Head,Did not go to work,356
Moruya - Tuross Head,Not stated,49
Moruya - Tuross Head,Not applicable,4847
Narooma - Bermagui,Bus,13
Narooma - Bermagui,"Car, as driver",1675
Narooma - Bermagui,"Car, as passenger",166
Narooma - Bermagui,Truck,45
Narooma - Bermagui,Motorbike/scooter,19
Narooma - Bermagui,Bicycle,13
Narooma - Bermagui,Other,31
Narooma - Bermagui,"Car as driver, car as passenger",8
Narooma - Bermagui,"Car as driver, truck",3
Narooma - Bermagui,"Car as driver, bicycle",3
Narooma - Bermagui,"Car as driver, other",3
Narooma - Bermagui,Walked only,179
Narooma - Bermagui,Worked at home,256
Narooma - Bermagui,Did not go to work,366
Narooma - Bermagui,Not stated,69
Narooma - Bermagui,Not applicable,5784
Avoca Beach - Copacabana,Train,52
Avoca Beach - Copacabana,Bus,16
Avoca Beach - Copacabana,Taxi,3
Avoca Beach - Copacabana,"Car, as driver",2213
Avoca Beach - Copacabana,"Car, as passenger",150
Avoca Beach - Copacabana,Truck,36
Avoca Beach - Copacabana,Motorbike/scooter,15
Avoca Beach - Copacabana,Bicycle,4
Avoca Beach - Copacabana,Other,17
Avoca Beach - Copacabana,"Train, bus",6
Avoca Beach - Copacabana,"Train, car as driver",104
Avoca Beach - Copacabana,"Train, car as passenger",9
Avoca Beach - Copacabana,"Car as driver, car as passenger",6
Avoca Beach - Copacabana,"Car as driver, motorbike/scooter",3
Avoca Beach - Copacabana,"Train, bus, car as driver",11
Avoca Beach - Copacabana,"Train, car as driver, car as passenger",3
Avoca Beach - Copacabana,Walked only,49
Avoca Beach - Copacabana,Worked at home,255
Avoca Beach - Copacabana,Did not go to work,389
Avoca Beach - Copacabana,Not stated,63
Avoca Beach - Copacabana,Not applicable,3578
Box Head - MacMasters Beach,Train,200
Box Head - MacMasters Beach,Bus,30
Box Head - MacMasters Beach,Taxi,3
Box Head - MacMasters Beach,"Car, as driver",2617
Box Head - MacMasters Beach,"Car, as passenger",159
Box Head - MacMasters Beach,Truck,59
Box Head - MacMasters Beach,Motorbike/scooter,20
Box Head - MacMasters Beach,Bicycle,4
Box Head - MacMasters Beach,Other,24
Box Head - MacMasters Beach,"Train, bus",31
Box Head - MacMasters Beach,"Train, car as driver",155
Box Head - MacMasters Beach,"Train, car as passenger",32
Box Head - MacMasters Beach,"Train, bicycle",3
Box Head - MacMasters Beach,"Ferry, car as driver",9
Box Head - MacMasters Beach,"Car as driver, car as passenger",16
Box Head - MacMasters Beach,"Car as driver, truck",3
Box Head - MacMasters Beach,"Car as driver, motorbike/scooter",4
Box Head - MacMasters Beach,"Car as driver, bicycle",3
Box Head - MacMasters Beach,"Train, bus, tram",4
Box Head - MacMasters Beach,"Train, bus, car as driver",14
Box Head - MacMasters Beach,"Train, bus, car as passenger",3
Box Head - MacMasters Beach,"Ferry, car as driver, car as passenger",3
Box Head - MacMasters Beach,Walked only,59
Box Head - MacMasters Beach,Worked at home,380
Box Head - MacMasters Beach,Did not go to work,554
Box Head - MacMasters Beach,Not stated,79
Box Head - MacMasters Beach,Not applicable,5842
Calga - Kulnura,Train,18
Calga - Kulnura,Bus,12
Calga - Kulnura,Ferry,3
Calga - Kulnura,"Car, as driver",1126
Calga - Kulnura,"Car, as passenger",68
Calga - Kulnura,Truck,45
Calga - Kulnura,Motorbike/scooter,15
Calga - Kulnura,Bicycle,7
Calga - Kulnura,Other,27
Calga - Kulnura,"Train, car as driver",27
Calga - Kulnura,"Train, car as passenger",10
Calga - Kulnura,"Train, other",3
Calga - Kulnura,"Ferry, car as driver",3
Calga - Kulnura,"Car as driver, car as passenger",5
Calga - Kulnura,"Car as driver, other",11
Calga - Kulnura,"Train, bus, ferry",4
Calga - Kulnura,Walked only,164
Calga - Kulnura,Worked at home,364
Calga - Kulnura,Did not go to work,194
Calga - Kulnura,Not stated,40
Calga - Kulnura,Not applicable,2261
Erina - Green Point,Train,134
Erina - Green Point,Bus,49
Erina - Green Point,Tram,3
Erina - Green Point,Taxi,4
Erina - Green Point,"Car, as driver",3467
Erina - Green Point,"Car, as passenger",280
Erina - Green Point,Truck,51
Erina - Green Point,Motorbike/scooter,29
Erina - Green Point,Bicycle,17
Erina - Green Point,Other,26
Erina - Green Point,"Train, bus",71
Erina - Green Point,"Train, car as driver",110
Erina - Green Point,"Train, car as passenger",19
Erina - Green Point,"Bus, car as passenger",10
Erina - Green Point,"Car as driver, car as passenger",17
Erina - Green Point,"Car as driver, other",3
Erina - Green Point,"Train, bus, car as driver",9
Erina - Green Point,"Train, bus, car as passenger",3
Erina - Green Point,Walked only,118
Erina - Green Point,Worked at home,327
Erina - Green Point,Did not go to work,700
Erina - Green Point,Not stated,100
Erina - Green Point,Not applicable,8028
Gosford - Springfield,Train,695
Gosford - Springfield,Bus,156
Gosford - Springfield,Tram,3
Gosford - Springfield,Taxi,17
Gosford - Springfield,"Car, as driver",4539
Gosford - Springfield,"Car, as passenger",481
Gosford - Springfield,Truck,64
Gosford - Springfield,Motorbike/scooter,49
Gosford - Springfield,Bicycle,36
Gosford - Springfield,Other,33
Gosford - Springfield,"Train, bus",137
Gosford - Springfield,"Train, tram",4
Gosford - Springfield,"Train, taxi",3
Gosford - Springfield,"Train, car as driver",130
Gosford - Springfield,"Train, car as passenger",55
Gosford - Springfield,"Train, motorbike/scooter",5
Gosford - Springfield,"Train, bicycle",4
Gosford - Springfield,"Train, other",5
Gosford - Springfield,"Bus, taxi",3
Gosford - Springfield,"Bus, car as passenger",15
Gosford - Springfield,"Car as driver, car as passenger",32
Gosford - Springfield,"Car as driver, truck",8
Gosford - Springfield,"Car as driver, other",7
Gosford - Springfield,"Train, bus, ferry",3
Gosford - Springfield,"Train, bus, tram",4
Gosford - Springfield,"Train, bus, taxi",7
Gosford - Springfield,"Train, bus, car as driver",18
Gosford - Springfield,"Train, bus, car as passenger",18
Gosford - Springfield,"Train, bus, other",3
Gosford - Springfield,"Train, car as driver, car as passenger",8
Gosford - Springfield,"Train, car as driver, other",4
Gosford - Springfield,Walked only,343
Gosford - Springfield,Worked at home,303
Gosford - Springfield,Did not go to work,899
Gosford - Springfield,Not stated,103
Gosford - Springfield,Not applicable,9862
Kariong,Train,60
Kariong,Bus,38
Kariong,Taxi,3
Kariong,"Car, as driver",2034
Kariong,"Car, as passenger",180
Kariong,Truck,38
Kariong,Motorbike/scooter,17
Kariong,Bicycle,3
Kariong,Other,10
Kariong,"Train, bus",26
Kariong,"Train, car as driver",78
Kariong,"Train, car as passenger",14
Kariong,"Bus, car as passenger",9
Kariong,"Ferry, car as passenger",3
Kariong,"Car as driver, car as passenger",11
Kariong,"Car as driver, truck",3
Kariong,"Train, bus, car as driver",7
Kariong,"Train, bus, car as passenger",10
Kariong,"Train, car as driver, car as passenger",3
Kariong,"Train, car as passenger, other",3
Kariong,Walked only,28
Kariong,Worked at home,123
Kariong,Did not go to work,393
Kariong,Not stated,52
Kariong,Not applicable,3304
Kincumber - Picketts Valley,Train,44
Kincumber - Picketts Valley,Bus,40
Kincumber - Picketts Valley,"Car, as driver",1892
Kincumber - Picketts Valley,"Car, as passenger",140
Kincumber - Picketts Valley,Truck,46
Kincumber - Picketts Valley,Motorbike/scooter,10
Kincumber - Picketts Valley,Bicycle,7
Kincumber - Picketts Valley,Other,16
Kincumber - Picketts Valley,"Train, bus",17
Kincumber - Picketts Valley,"Train, car as driver",75
Kincumber - Picketts Valley,"Train, car as passenger",8
Kincumber - Picketts Valley,"Bus, car as passenger",3
Kincumber - Picketts Valley,"Car as driver, car as passenger",5
Kincumber - Picketts Valley,"Train, bus, car as driver",10
Kincumber - Picketts Valley,"Train, bus, car as passenger",4
Kincumber - Picketts Valley,Walked only,55
Kincumber - Picketts Valley,Worked at home,110
Kincumber - Picketts Valley,Did not go to work,359
Kincumber - Picketts Valley,Not stated,64
Kincumber - Picketts Valley,Not applicable,4197
Narara,Train,237
Narara,Bus,33
Narara,Taxi,3
Narara,"Car, as driver",1929
Narara,"Car, as passenger",169
Narara,Truck,31
Narara,Motorbike/scooter,18
Narara,Bicycle,6
Narara,Other,9
Narara,"Train, bus",34
Narara,"Train, tram",3
Narara,"Train, car as driver",60
Narara,"Train, car as passenger",21
Narara,"Train, bicycle",6
Narara,"Train, other",3
Narara,"Bus, taxi",3
Narara,"Bus, car as passenger",10
Narara,"Taxi, car as passenger",3
Narara,"Car as driver, car as passenger",8
Narara,"Car as driver, truck",3
Narara,"Car as driver, motorbike/scooter",4
Narara,"Car as driver, other",3
Narara,"Train, bus, taxi",3
Narara,"Train, bus, car as driver",9
Narara,"Train, bus, car as passenger",3
Narara,Walked only,21
Narara,Worked at home,122
Narara,Did not go to work,396
Narara,Not stated,62
Narara,Not applicable,3290
Niagara Park - Lisarow,Train,281
Niagara Park - Lisarow,Bus,16
Niagara Park - Lisarow,Tram,4
Niagara Park - Lisarow,"Car, as driver",2358
Niagara Park - Lisarow,"Car, as passenger",188
Niagara Park - Lisarow,Truck,55
Niagara Park - Lisarow,Motorbike/scooter,13
Niagara Park - Lisarow,Bicycle,11
Niagara Park - Lisarow,Other,11
Niagara Park - Lisarow,"Train, bus",21
Niagara Park - Lisarow,"Train, car as driver",72
Niagara Park - Lisarow,"Train, car as passenger",16
Niagara Park - Lisarow,"Train, other",7
Niagara Park - Lisarow,"Car as driver, car as passenger",8
Niagara Park - Lisarow,"Car as driver, truck",3
Niagara Park - Lisarow,"Car as driver, other",3
Niagara Park - Lisarow,"Train, bus, car as driver",5
Niagara Park - Lisarow,"Train, car as driver, car as passenger",3
Niagara Park - Lisarow,"Train, car as driver, other",3
Niagara Park - Lisarow,Walked only,71
Niagara Park - Lisarow,Worked at home,182
Niagara Park - Lisarow,Did not go to work,529
Niagara Park - Lisarow,Not stated,61
Niagara Park - Lisarow,Not applicable,4125
Point Clare - Koolewong,Train,340
Point Clare - Koolewong,Bus,27
Point Clare - Koolewong,Taxi,3
Point Clare - Koolewong,"Car, as driver",1427
Point Clare - Koolewong,"Car, as passenger",102
Point Clare - Koolewong,Truck,26
Point Clare - Koolewong,Motorbike/scooter,12
Point Clare - Koolewong,Bicycle,10
Point Clare - Koolewong,Other,14
Point Clare - Koolewong,"Train, bus",31
Point Clare - Koolewong,"Train, tram",3
Point Clare - Koolewong,"Train, car as driver",40
Point Clare - Koolewong,"Train, car as passenger",15
Point Clare - Koolewong,"Train, bicycle",3
Point Clare - Koolewong,"Bus, taxi",3
Point Clare - Koolewong,"Bus, car as passenger",3
Point Clare - Koolewong,"Train, bus, car as driver",6
Point Clare - Koolewong,"Train, bus, car as passenger",5
Point Clare - Koolewong,Walked only,39
Point Clare - Koolewong,Worked at home,137
Point Clare - Koolewong,Did not go to work,343
Point Clare - Koolewong,Not stated,38
Point Clare - Koolewong,Not applicable,3657
Saratoga - Davistown,Train,36
Saratoga - Davistown,Bus,39
Saratoga - Davistown,Taxi,3
Saratoga - Davistown,"Car, as driver",1983
Saratoga - Davistown,"Car, as passenger",158
Saratoga - Davistown,Truck,44
Saratoga - Davistown,Motorbike/scooter,5
Saratoga - Davistown,Bicycle,7
Saratoga - Davistown,Other,10
Saratoga - Davistown,"Train, bus",8
Saratoga - Davistown,"Train, ferry",7
Saratoga - Davistown,"Train, car as driver",41
