SA2 - Residence,Method of Travel to Work,Count
Queanbeyan,Train,3
Queanbeyan Region,Train,4
Queanbeyan West - Jerrabomberra,Train,3
Cooma,Train,3
Jindabyne - Berridale,Train,22
Batemans Bay - South,Train,3
Merimbula - Tura Beach,Train,4
Narooma - Bermagui,Train,3
Goulburn,Train,16
Goulburn Region,Train,5
Young,Train,4
Young Region,Train,3
Avoca Beach - Copacabana,Train,75
Box Head - MacMasters Beach,Train,243
Calga - Kulnura,Train,30
Erina - Green Point,Train,178
Gosford - Springfield,Train,666
Kariong,Train,69
Kincumber - Picketts Valley,Train,72
Narara,Train,243
Niagara Park - Lisarow,Train,258
Point Clare - Koolewong,Train,392
Saratoga - Davistown,Train,56
Terrigal - North Avoca,Train,184
Umina - Booker Bay - Patonga,Train,700
Wamberal - Forresters Beach,Train,75
Woy Woy - Blackwall,Train,654
Wyoming,Train,259
Bateau Bay - Killarney Vale,Train,105
Blue Haven - San Remo,Train,56
Budgewoi - Buff Point - Halekulani,Train,28
Chittaway Bay - Tumbi Umbi,Train,150
Gorokan - Kanwal - Charmhaven,Train,127
Jilliby - Yarramalong,Train,27
Lake Munmorah - Mannering Park,Train,29
Ourimbah - Fountaindale,Train,102
Summerland Point - Gwandalan,Train,9
The Entrance,Train,63
Toukley - Norah Head,Train,33
Tuggerah - Kangy Angy,Train,123
Warnervale - Wadalba,Train,177
Wyong,Train,163
Bathurst,Train,15
Bathurst - East,Train,4
Bathurst Region,Train,4
Cowra,Train,3
Lithgow,Train,42
Lithgow Region,Train,18
Mudgee,Train,3
Mudgee Region - West,Train,10
Blayney,Train,7
Orange,Train,12
Orange - North,Train,5
Orange Region,Train,3
Grafton,Train,4
Maclean - Yamba - Iluka,Train,6
Coramba - Nana Glen - Bucca,Train,3
Korora - Emerald Beach,Train,4
Sawtell - Boambee,Train,4
Broken Hill,Train,3
Dubbo - South,Train,4
Wellington,Train,3
Branxton - Greta - Pokolbin,Train,4
Cessnock,Train,4
Cessnock Region,Train,12
Dungog,Train,7
Kurri Kurri - Abermain,Train,10
Singleton,Train,3
Singleton Region,Train,3
Maitland,Train,19
Maitland - East,Train,84
Maitland - North,Train,14
Maitland - West,Train,34
Thornton - Millers Forest,Train,32
Lemon Tree Passage - Tanilba Bay,Train,6
Nelson Bay Peninsula,Train,8
Raymond Terrace,Train,9
Seaham - Woodville,Train,6
Williamtown - Medowie - Karuah,Train,4
Muswellbrook,Train,9
Scone,Train,6
Scone Region,Train,5
Dapto - Avondale,Train,189
Horsley - Kembla Grange,Train,77
Unanderra - Mount Kembla,Train,136
Berkeley - Lake Heights - Cringila,Train,71
Port Kembla - Warrawong,Train,48
Windang - Primbee,Train,16
Albion Park - Macquarie Pass,Train,59
Albion Park Rail,Train,58
Kiama,Train,54
Kiama Downs - Minnamurra,Train,41
Kiama Hinterland - Gerringong,Train,23
Shellharbour - Flinders,Train,116
Shellharbour - Oak Flats,Train,46
Warilla,Train,72
Balgownie - Fairy Meadow,Train,228
Corrimal - Tarrawanna - Bellambi,Train,211
Figtree - Keiraville,Train,202
Helensburgh,Train,434
Thirroul - Austinmer - Coalcliff,Train,469
Woonona - Bulli - Russell Vale,Train,369
Wollongong - East,Train,239
Wollongong - West,Train,304
Bulahdelah - Stroud,Train,5
Forster,Train,8
Macksville - Scotts Head,Train,6
Nambucca Heads,Train,7
Port Macquarie - East,Train,7
Gloucester,Train,3
Old Bar - Manning Point - Red Head,Train,5
Taree,Train,6
Taree Region,Train,8
Albury - North,Train,4
Albury - South,Train,6
Albury Region,Train,5
Lavington,Train,5
Corowa Region,Train,4
Moama,Train,3
Tocumwal - Finley - Jerilderie,Train,4
Armidale,Train,3
Armidale Region - South,Train,3
Tamworth - East,Train,6
Tamworth - North,Train,3
Belmont - Bennetts Green,Train,6
Charlestown - Dudley,Train,30
Glendale - Cardiff - Hillsborough,Train,58
Mount Hutton - Windale,Train,10
Redhead,Train,3
Swansea - Caves Beach,Train,14
Valentine - Eleebana,Train,16
Warners Bay - Boolaroo,Train,24
Bolton Point - Teralba,Train,37
Bonnells Bay - Silverwater,Train,57
Edgeworth - Cameron Park,Train,12
Morisset - Cooranbong,Train,107
Toronto - Awaba,Train,48
Wangi Wangi - Rathmines,Train,35
West Wallsend - Barnsley - Killingworth,Train,5
Adamstown - Kotara,Train,47
Beresfield - Hexham,Train,34
Hamilton - Broadmeadow,Train,63
Lambton - New Lambton,Train,39
Maryland - Fletcher - Minmi,Train,14
Mayfield - Warabrook,Train,48
Merewether - The Junction,Train,24
Newcastle - Cooks Hill,Train,47
Shortland - Jesmond,Train,19
Stockton - Fullerton Cove,Train,8
Wallsend - Elermore Vale,Train,20
Waratah - North Lambton,Train,38
Wickham - Carrington - Tighes Hill,Train,27
Ballina,Train,7
Ballina Region,Train,5
Bangalow,Train,3
Byron Bay,Train,5
Kyogle,Train,8
Lismore Region,Train,5
Kingscliff - Fingal Head,Train,6
Murwillumbah,Train,4
Murwillumbah Region,Train,3
Pottsville,Train,6
Tweed Heads,Train,9
Griffith (NSW),Train,7
Griffith Region,Train,3
Tumbarumba,Train,3
Tumut,Train,4
Tumut Region,Train,7
Junee,Train,3
Wagga Wagga - East,Train,6
Wagga Wagga - South,Train,4
Wagga Wagga Region,Train,3
Berry - Kangaroo Valley,Train,20
Callala Bay - Currarong,Train,5
Culburra Beach,Train,6
Huskisson - Vincentia,Train,6
North Nowra - Bomaderry,Train,20
Nowra,Train,16
St Georges Basin - Erowal Bay,Train,4
Sussex Inlet - Berrara,Train,4
Tomerong - Wandandian - Woollamia,Train,3
Ulladulla,Train,5
Bowral,Train,90
Hill Top - Colo Vale,Train,25
Mittagong,Train,59
Moss Vale - Berrima,Train,45
Robertson - Fitzroy Falls,Train,4
Southern Highlands,Train,32
Baulkham Hills (East),Train,83
Baulkham Hills (West) - Bella Vista,Train,213
Glenhaven,Train,29
West Pennant Hills,Train,137
Castle Hill - Central,Train,27
Castle Hill - East,Train,53
Castle Hill - North,Train,36
Castle Hill - South,Train,17
Castle Hill - West,Train,17
Cherrybrook,Train,292
Kellyville,Train,108
Dural - Kenthurst - Wisemans Ferry,Train,103
Galston - Laughtondale,Train,49
Bilpin - Colo - St Albans,Train,3
Kurrajong Heights - Ebenezer,Train,161
Pitt Town - McGraths Hill,Train,139
Rouse Hill - Beaumont Hills,Train,130
Blacktown (East) - Kings Park,Train,1158
Blacktown (North) - Marayong,Train,822
Doonside - Woodcroft,Train,1534
Lalor Park - Kings Langley,Train,885
Seven Hills - Toongabbie,Train,1471
Blacktown (South),Train,401
Blacktown (West),Train,715
Glenwood,Train,162
Parklea - Kellyville Ridge,Train,616
Riverstone - Marsden Park,Train,709
Acacia Gardens,Train,122
Quakers Hill,Train,1557
Bidwill - Hebersham - Emerton,Train,290
Glendenning - Dean Park,Train,224
Hassall Grove - Plumpton,Train,728
Lethbridge Park - Tregear,Train,488
Mount Druitt - Whalan,Train,1068
Rooty Hill - Minchinbury,Train,1197
Botany,Train,59
Mascot - Eastlakes,Train,2115
Pagewood - Hillsdale - Daceyville,Train,43
Marrickville,Train,3304
Petersham - Stanmore,Train,3233
Sydenham - Tempe - St Peters,Train,1404
Darlinghurst,Train,1077
Erskineville - Alexandria,Train,3570
Glebe - Forest Lodge,Train,210
Newtown - Camperdown - Darlington,Train,3831
Potts Point - Woolloomooloo,Train,2943
Pyrmont - Ultimo,Train,840
Redfern - Chippendale,Train,2614
Surry Hills,Train,1841
Sydney - Haymarket - The Rocks,Train,2656
Waterloo - Beaconsfield,Train,2226
Bondi - Tamarama - Bronte,Train,808
Bondi Beach - North Bondi,Train,306
Bondi Junction - Waverly,Train,2227
Double Bay - Bellevue Hill,Train,1972
Dover Heights,Train,91
Paddington - Moore Park,Train,519
Rose Bay - Vaucluse - Watsons Bay,Train,71
Woollahra,Train,864
Coogee - Clovelly,Train,123
Malabar - La Perouse - Chifley,Train,24
Kensington (NSW),Train,71
Kingsford,Train,37
Maroubra - North,Train,24
Maroubra - South,Train,19
Maroubra - West,Train,26
Randwick - North,Train,134
Randwick - South,Train,55
Bass Hill - Georges Hall,Train,359
Chullora,Train,84
Condell Park,Train,283
Greenacre - Mount Lewis,Train,473
Padstow,Train,1235
Panania - Milperra - Picnic Point,Train,1615
Revesby,Train,1233
Yagoona - Birrong,Train,864
Bankstown - North,Train,964
Bankstown - South,Train,717
Belmore - Belfield,Train,1138
Canterbury (South) - Campsie,Train,2874
Kingsgrove (North) - Earlwood,Train,1396
Punchbowl,Train,965
Roselands,Train,643
Lakemba,Train,1108
Wiley Park,Train,751
Hurstville,Train,3088
Mortdale - Penshurst,Train,3165
Narwee - Beverly Hills,Train,1435
Oatley - Hurstville Grove,Train,1489
Peakhurst - Lugarno,Train,868
Riverwood,Train,1136
South Hurstville - Blakehurst,Train,2111
Arncliffe - Bardwell Valley,Train,3969
Bexley,Train,2534
Kingsgrove (South) - Bardwell Park,Train,1259
Kogarah,Train,1693
Kogarah Bay - Carlton - Allawah,Train,1961
Monterey - Brighton-le-Sands - Kyeemagh,Train,417
Rockdale - Banksia,Train,3241
Sans Souci - Ramsgate,Train,337
Concord - Mortlake - Cabarita,Train,899
Concord West - North Strathfield,Train,4118
Drummoyne - Rodd Point,Train,42
Five Dock - Abbotsford,Train,129
Balmain,Train,40
Leichhardt - Annandale,Train,538
Lilyfield - Rozelle,Train,57
Ashfield,Train,4194
Burwood - Croydon,Train,3707
Canterbury (North) - Ashbury,Train,1237
Croydon Park - Enfield,Train,824
Dulwich Hill - Lewisham,Train,1956
Haberfield - Summer Hill,Train,1620
Homebush,Train,2700
Strathfield,Train,3754
Strathfield South,Train,115
Chatswood (East) - Artarmon,Train,4440
Chatswood (West) - Lane Cove North,Train,1515
Lane Cove - Greenwich,Train,749
St Leonards - Naremburn,Train,1767
Willoughby - Castle Cove - Northbridge,Train,186
Asquith - Mount Colah,Train,1366
Berowra - Brooklyn - Cowan,Train,790
Normanhurst - Thornleigh - Westleigh,Train,1769
Hornsby - East,Train,2196
Hornsby - West,Train,1221
Waitara - Wahroonga (West),Train,1677
Gordon - Killara,Train,2523
Lindfield - Roseville,Train,2366
Pymble,Train,1356
St Ives,Train,711
Turramurra,Train,1463
Wahroonga (East) - Warrawee,Train,1557
Cremorne - Cammeray,Train,100
Crows Nest - Waverton,Train,2715
Mosman,Train,77
Neutral Bay - Kirribilli,Train,1482
North Sydney - Lavender Bay,Train,1893
Balgowlah - Clontarf - Seaforth,Train,23
Manly - Fairlight,Train,33
Avalon - Palm Beach,Train,18
Bayview - Elanora Heights,Train,13
Newport - Bilgola,Train,12
Warriewood - Mona Vale,Train,26
Beacon Hill - Narraweena,Train,4
Dee Why - North Curl Curl,Train,15
Forestville - Killarney Heights,Train,50
Frenchs Forest - Belrose,Train,48
Freshwater - Brookvale,Train,15
Manly Vale - Allambie Heights,Train,17
Narrabeen - Collaroy,Train,12
Terrey Hills - Duffys Forest,Train,14
Camden - Ellis Lane,Train,97
Elderslie - Harrington Park,Train,232
Mount Annan - Currans Hill,Train,480
Bradbury - Wedderburn,Train,371
Campbelltown - Woodbine,Train,984
Claymore - Eagle Vale - Raby,Train,551
Ingleburn - Denham Court,Train,1449
Leumeah - Minto Heights,Train,780
Macquarie Fields - Glenfield,Train,1829
Minto - St Andrews,Train,1083
Rosemeadow - Glen Alpine,Train,592
Bargo,Train,34
Douglas Park - Appin,Train,98
Picton - Tahmoor - Buxton,Train,159
The Oaks - Oakdale,Train,35
Blackheath - Megalong Valley,Train,118
Blaxland - Warrimoo - Lapstone,Train,911
Katoomba - Leura,Train,400
Lawson - Hazelbrook - Linden,Train,493
Springwood - Winmalee,Train,716
Wentworth Falls,Train,164
Cambridge Park,Train,427
Castlereagh - Cranebrook,Train,609
Emu Plains - Leonay,Train,476
Glenmore Park - Regentville,Train,447
Jamisontown - South Penrith,Train,374
Kingswood - Werrington,Train,905
Mulgoa - Luddenham - Orchard Hills,Train,133
Penrith,Train,587
Warragamba - Silverdale,Train,19
Richmond - Clarendon,Train,247
Windsor - Bligh Park,Train,265
Yarramundi - Londonderry,Train,58
Erskine Park,Train,143
St Clair,Train,396
Colyton - Oxley Park,Train,252
St Marys - North St Marys,Train,552
Homebush Bay - Silverwater,Train,725
Auburn - Central,Train,1420
Auburn - North,Train,1429
Auburn - South,Train,378
Berala,Train,834
Lidcombe,Train,2542
Regents Park,Train,376
Carlingford,Train,855
Ermington - Rydalmere,Train,492
Oatlands - Dundas Valley,Train,478
Chester Hill - Sefton,Train,643
Fairfield - East,Train,566
Granville - Clyde,Train,1696
Greystanes - Pemulwuy,Train,552
Guildford - South Granville,Train,639
Guildford West - Merrylands West,Train,758
Merrylands - Holroyd,Train,1338
North Parramatta,Train,1186
North Rocks,Train,45
Northmead,Train,1575
Parramatta - Rosehill,Train,4425
Toongabbie - Constitution Hill,Train,1469
Winston Hills,Train,61
Pendle Hill - Girraween,Train,1181
Wentworthville - Westmead,Train,1712
Epping - North Epping,Train,3077
Pennant Hills - Cheltenham,Train,1980
Eastwood - Denistone,Train,2226
Gladesville - Huntleys Point,Train,28
Hunters Hill - Woolwich,Train,14
Macquarie Park - Marsfield,Train,1145
North Ryde - East Ryde,Train,248
West Ryde - Meadowbank,Train,2855
Putney,Train,40
Ryde,Train,691
Ashcroft - Busby - Miller,Train,137
Austral - Greendale,Train,114
Cobbitty - Leppington,Train,334
Cecil Hills,Train,82
Green Valley,Train,200
Hinchinbrook,Train,215
Hoxton Park - Carnes Hill - Horningsea Park,Train,255
West Hoxton - Middleton Grange,Train,284
Bonnyrigg Heights - Bonnyrigg,Train,260
Bossley Park - Abbotsbury,Train,243
Cabramatta - Lansvale,Train,1141
Cabramatta West - Mount Pritchard,Train,308
Canley Vale - Canley Heights,Train,910
Edensor Park,Train,181
Fairfield,Train,780
Fairfield - West,Train,439
Greenfield Park - Prairiewood,Train,138
Horsley Park - Kemps Creek,Train,32
Smithfield - Wetherill Park,Train,284
St Johns Park - Wakeley,Train,247
Casula,Train,484
Chipping Norton - Moorebank,Train,557
Holsworthy - Wattle Grove,Train,1282
Liverpool,Train,991
Lurnea - Cartwright,Train,149
Prestons - Edmondson Park,Train,561
Warwick Farm,Train,329
Gymea - Grays Point,Train,1175
Miranda - Yowie Bay,Train,1078
Sylvania - Taren Point,Train,301
Caringbah,Train,820
Caringbah South,Train,521
Cronulla - Kurnell - Bundeena,Train,1530
Lilli Pilli - Port Hacking - Dolans Bay,Train,100
Woolaware - Burraneer,Train,412
Heathcote - Waterfall,Train,372
Illawong - Alfords Point,Train,321
Menai - Lucas Heights - Woronora,Train,624
Oyster Bay - Como - Jannali,Train,1901
Sutherland - Kirrawee,Train,2309
Engadine,Train,824
Loftus - Yarrawarrah,Train,506
Woronora Heights,Train,127
Migratory - Offshore - Shipping (NSW),Train,3
No Usual Address (NSW),Train,275
Braidwood,Bus,10
Karabar,Bus,36
Queanbeyan,Bus,112
Queanbeyan - East,Bus,38
Queanbeyan Region,Bus,38
Queanbeyan West - Jerrabomberra,Bus,38
Bombala,Bus,6
Cooma,Bus,5
Cooma Region,Bus,6
Jindabyne - Berridale,Bus,29
Batemans Bay,Bus,4
Batemans Bay - South,Bus,26
Bega - Tathra,Bus,10
Bega-Eden Hinterland,Bus,20
Eden,Bus,3
Eurobodalla Hinterland,Bus,7
Merimbula - Tura Beach,Bus,14
Moruya - Tuross Head,Bus,20
Narooma - Bermagui,Bus,12
Goulburn,Bus,50
Goulburn Region,Bus,8
Yass,Bus,34
Yass Region,Bus,40
Young,Bus,4
Young Region,Bus,9
Avoca Beach - Copacabana,Bus,18
Box Head - MacMasters Beach,Bus,21
Calga - Kulnura,Bus,5
Erina - Green Point,Bus,36
Gosford - Springfield,Bus,156
Kariong,Bus,29
Kincumber - Picketts Valley,Bus,24
Narara,Bus,30
Niagara Park - Lisarow,Bus,18
Point Clare - Koolewong,Bus,33
Saratoga - Davistown,Bus,30
Terrigal - North Avoca,Bus,62
Umina - Booker Bay - Patonga,Bus,134
Wamberal - Forresters Beach,Bus,43
Woy Woy - Blackwall,Bus,57
Wyoming,Bus,72
Bateau Bay - Killarney Vale,Bus,127
Blue Haven - San Remo,Bus,37
Budgewoi - Buff Point - Halekulani,Bus,32
Chittaway Bay - Tumbi Umbi,Bus,47
Gorokan - Kanwal - Charmhaven,Bus,107
Lake Munmorah - Mannering Park,Bus,24
Ourimbah - Fountaindale,Bus,13
Summerland Point - Gwandalan,Bus,19
The Entrance,Bus,142
Toukley - Norah Head,Bus,28
Tuggerah - Kangy Angy,Bus,17
Warnervale - Wadalba,Bus,53
Wyong,Bus,23
Bathurst,Bus,31
Bathurst - East,Bus,19
Bathurst Region,Bus,9
Oberon,Bus,4
Condobolin,Bus,25
Cowra,Bus,3
Cowra Region,Bus,3
Forbes,Bus,23
Grenfell,Bus,6
Parkes (NSW),Bus,12
Parkes Region,Bus,4
West Wyalong,Bus,59
Lithgow,Bus,11
Lithgow Region,Bus,9
Mudgee,Bus,6
Mudgee Region - East,Bus,3
Mudgee Region - West,Bus,3
Blayney,Bus,14
Orange,Bus,43
Orange - North,Bus,33
Orange Region,Bus,10
Grafton,Bus,21
Grafton Region,Bus,21
Maclean - Yamba - Iluka,Bus,22
Coffs Harbour - North,Bus,39
Coffs Harbour - South,Bus,24
Coramba - Nana Glen - Bucca,Bus,4
Dorrigo,Bus,10
Korora - Emerald Beach,Bus,9
Sawtell - Boambee,Bus,31
Woolgoolga - Arrawarra,Bus,20
Bourke - Brewarrina,Bus,7
Cobar,Bus,12
Coonamble,Bus,10
Nyngan - Warren,Bus,59
Walgett - Lightning Ridge,Bus,12
Broken Hill,Bus,33
Coonabarabran,Bus,15
Dubbo - East,Bus,19
Dubbo - South,Bus,30
Dubbo - West,Bus,18
Dubbo Region,Bus,11
Gilgandra,Bus,4
Narromine,Bus,4
Wellington,Bus,7
Branxton - Greta - Pokolbin,Bus,16
Cessnock,Bus,26
Cessnock Region,Bus,8
Dungog,Bus,9
Kurri Kurri - Abermain,Bus,34
Singleton,Bus,23
Maitland,Bus,10
Maitland - East,Bus,56
Maitland - North,Bus,12
Maitland - West,Bus,63
Thornton - Millers Forest,Bus,14
Anna Bay,Bus,32
Lemon Tree Passage - Tanilba Bay,Bus,18
Nelson Bay Peninsula,Bus,71
Raymond Terrace,Bus,53
Seaham - Woodville,Bus,6
Tea Gardens - Hawks Nest,Bus,4
Williamtown - Medowie - Karuah,Bus,33
Muswellbrook,Bus,12
Muswellbrook Region,Bus,6
Scone,Bus,3
Scone Region,Bus,17
Dapto - Avondale,Bus,103
Horsley - Kembla Grange,Bus,41
Unanderra - Mount Kembla,Bus,82
Berkeley - Lake Heights - Cringila,Bus,88
Port Kembla - Warrawong,Bus,53
Windang - Primbee,Bus,28
Albion Park - Macquarie Pass,Bus,33
Albion Park Rail,Bus,18
Kiama,Bus,11
Kiama Downs - Minnamurra,Bus,6
Kiama Hinterland - Gerringong,Bus,11
Shellharbour - Flinders,Bus,57
Shellharbour - Oak Flats,Bus,36
Warilla,Bus,103
Balgownie - Fairy Meadow,Bus,249
Corrimal - Tarrawanna - Bellambi,Bus,95
Figtree - Keiraville,Bus,176
Helensburgh,Bus,4
Thirroul - Austinmer - Coalcliff,Bus,62
Woonona - Bulli - Russell Vale,Bus,96
Wollongong - East,Bus,260
Wollongong - West,Bus,248
Bulahdelah - Stroud,Bus,12
Forster,Bus,21
Forster-Tuncurry Region,Bus,7
Tuncurry,Bus,9
Kempsey,Bus,18
Kempsey Region,Bus,13
Macksville - Scotts Head,Bus,13
Nambucca Heads,Bus,10
Nambucca Heads Region,Bus,8
South West Rocks,Bus,7
Laurieton - Bonny Hills,Bus,22
Port Macquarie - East,Bus,43
Port Macquarie - West,Bus,36
Port Macquarie Region,Bus,9
Wauchope,Bus,7
Gloucester,Bus,8
Old Bar - Manning Point - Red Head,Bus,23
Taree,Bus,30
Taree Region,Bus,18
Wingham,Bus,12
Albury - East,Bus,23
Albury - North,Bus,32
Albury - South,Bus,24
Albury Region,Bus,18
Lavington,Bus,47
Hay,Bus,3
Wentworth - Buronga,Bus,16
Wentworth-Balranald Region,Bus,9
Corowa,Bus,7
Corowa Region,Bus,5
Deniliquin,Bus,4
Deniliquin Region,Bus,19
Moama,Bus,6
Tocumwal - Finley - Jerilderie,Bus,12
Armidale,Bus,46
Armidale Region - North,Bus,4
Glen Innes,Bus,11
Inverell,Bus,10
Inverell Region - East,Bus,8
Inverell Region - West,Bus,10
Tenterfield,Bus,11
Moree,Bus,3
Moree Region,Bus,4
Narrabri,Bus,40
Narrabri Region,Bus,7
Gunnedah,Bus,73
Gunnedah Region,Bus,22
Quirindi,Bus,8
Tamworth - East,Bus,42
Tamworth - North,Bus,23
Tamworth - West,Bus,7
Tamworth Region,Bus,27
Belmont - Bennetts Green,Bus,84
Belmont South - Blacksmiths,Bus,46
Charlestown - Dudley,Bus,173
Glendale - Cardiff - Hillsborough,Bus,140
Mount Hutton - Windale,Bus,45
Redhead,Bus,20
Swansea - Caves Beach,Bus,52
Valentine - Eleebana,Bus,32
Warners Bay - Boolaroo,Bus,46
Bolton Point - Teralba,Bus,20
Bonnells Bay - Silverwater,Bus,17
Edgeworth - Cameron Park,Bus,43
Morisset - Cooranbong,Bus,9
Toronto - Awaba,Bus,44
Wangi Wangi - Rathmines,Bus,11
West Wallsend - Barnsley - Killingworth,Bus,14
Adamstown - Kotara,Bus,151
Beresfield - Hexham,Bus,18
Hamilton - Broadmeadow,Bus,209
Lambton - New Lambton,Bus,161
Maryland - Fletcher - Minmi,Bus,64
Mayfield - Warabrook,Bus,192
Merewether - The Junction,Bus,69
Newcastle - Cooks Hill,Bus,193
Shortland - Jesmond,Bus,169
Stockton - Fullerton Cove,Bus,14
Wallsend - Elermore Vale,Bus,165
Waratah - North Lambton,Bus,143
Wickham - Carrington - Tighes Hill,Bus,136
Ballina,Bus,42
Ballina Region,Bus,35
Bangalow,Bus,10
Brunswick Heads - Ocean Shores,Bus,23
Byron Bay,Bus,19
Evans Head,Bus,10
Lennox Head - Skennars Head,Bus,18
Mullumbimby,Bus,17
Casino,Bus,12
Casino Region,Bus,11
Goonellabah,Bus,29
Kyogle,Bus,15
Lismore,Bus,29
Lismore Region,Bus,37
Kingscliff - Fingal Head,Bus,53
Murwillumbah,Bus,11
Murwillumbah Region,Bus,15
Pottsville,Bus,47
Tweed Heads,Bus,87
Banora Point,Bus,51
Terranora - North Tumblegum,Bus,7
Tweed Heads South,Bus,40
Griffith (NSW),Bus,12
Griffith Region,Bus,20
Leeton,Bus,10
Narrandera,Bus,9
Tumbarumba,Bus,6
Tumut,Bus,5
Tumut Region,Bus,3
Cootamundra,Bus,9
Gundagai,Bus,3
Junee,Bus,8
Temora,Bus,14
Wagga Wagga - East,Bus,28
Wagga Wagga - North,Bus,4
Wagga Wagga - South,Bus,35
Wagga Wagga - West,Bus,25
Wagga Wagga Region,Bus,17
Berry - Kangaroo Valley,Bus,9
Callala Bay - Currarong,Bus,5
Culburra Beach,Bus,9
Huskisson - Vincentia,Bus,5
North Nowra - Bomaderry,Bus,28
Nowra,Bus,17
St Georges Basin - Erowal Bay,Bus,17
Sussex Inlet - Berrara,Bus,7
Tomerong - Wandandian - Woollamia,Bus,4
Ulladulla,Bus,14
Ulladulla Region,Bus,4
Bowral,Bus,26
Hill Top - Colo Vale,Bus,17
Mittagong,Bus,15
Moss Vale - Berrima,Bus,19
Southern Highlands,Bus,21
Baulkham Hills (East),Bus,1837
Baulkham Hills (West) - Bella Vista,Bus,1036
Glenhaven,Bus,138
West Pennant Hills,Bus,905
Castle Hill - Central,Bus,572
Castle Hill - East,Bus,249
Castle Hill - North,Bus,621
Castle Hill - South,Bus,650
Castle Hill - West,Bus,330
Cherrybrook,Bus,1327
Kellyville,Bus,1200
Dural - Kenthurst - Wisemans Ferry,Bus,288
Galston - Laughtondale,Bus,19
Bilpin - Colo - St Albans,Bus,4
Kurrajong Heights - Ebenezer,Bus,27
Pitt Town - McGraths Hill,Bus,31
Rouse Hill - Beaumont Hills,Bus,1008
Blacktown (East) - Kings Park,Bus,284
Blacktown (North) - Marayong,Bus,182
Doonside - Woodcroft,Bus,197
Lalor Park - Kings Langley,Bus,496
Seven Hills - Toongabbie,Bus,185
Blacktown (South),Bus,112
Blacktown (West),Bus,183
Glenwood,Bus,1135
Parklea - Kellyville Ridge,Bus,1559
Riverstone - Marsden Park,Bus,111
Acacia Gardens,Bus,119
Quakers Hill,Bus,205
Bidwill - Hebersham - Emerton,Bus,120
Glendenning - Dean Park,Bus,94
Hassall Grove - Plumpton,Bus,140
Lethbridge Park - Tregear,Bus,106
Mount Druitt - Whalan,Bus,103
Rooty Hill - Minchinbury,Bus,74
Botany,Bus,475
Mascot - Eastlakes,Bus,1220
Pagewood - Hillsdale - Daceyville,Bus,769
Marrickville,Bus,1065
Petersham - Stanmore,Bus,997
Sydenham - Tempe - St Peters,Bus,193
Darlinghurst,Bus,807
Erskineville - Alexandria,Bus,442
Glebe - Forest Lodge,Bus,2196
Newtown - Camperdown - Darlington,Bus,1458
Potts Point - Woolloomooloo,Bus,732
Pyrmont - Ultimo,Bus,1243
Redfern - Chippendale,Bus,1333
Surry Hills,Bus,1257
Sydney - Haymarket - The Rocks,Bus,1621
Waterloo - Beaconsfield,Bus,3223
Bondi - Tamarama - Bronte,Bus,867
Bondi Beach - North Bondi,Bus,1101
Bondi Junction - Waverly,Bus,665
Double Bay - Bellevue Hill,Bus,532
Dover Heights,Bus,326
Paddington - Moore Park,Bus,1902
Rose Bay - Vaucluse - Watsons Bay,Bus,290
Woollahra,Bus,333
Coogee - Clovelly,Bus,3315
Malabar - La Perouse - Chifley,Bus,1242
Kensington (NSW),Bus,1686
Kingsford,Bus,1643
Maroubra - North,Bus,869
Maroubra - South,Bus,937
Maroubra - West,Bus,1193
Randwick - North,Bus,2159
Randwick - South,Bus,1789
Bass Hill - Georges Hall,Bus,110
Condell Park,Bus,48
Greenacre - Mount Lewis,Bus,141
Padstow,Bus,131
Panania - Milperra - Picnic Point,Bus,77
Revesby,Bus,95
Yagoona - Birrong,Bus,121
Bankstown - North,Bus,134
Bankstown - South,Bus,126
Belmore - Belfield,Bus,140
Canterbury (South) - Campsie,Bus,603
Kingsgrove (North) - Earlwood,Bus,346
Punchbowl,Bus,90
Roselands,Bus,82
Lakemba,Bus,67
Wiley Park,Bus,20
Hurstville,Bus,187
Mortdale - Penshurst,Bus,178
Narwee - Beverly Hills,Bus,72
Oatley - Hurstville Grove,Bus,40
Peakhurst - Lugarno,Bus,84
Riverwood,Bus,92
South Hurstville - Blakehurst,Bus,169
Arncliffe - Bardwell Valley,Bus,140
Bexley,Bus,207
Kingsgrove (South) - Bardwell Park,Bus,114
Kogarah,Bus,85
Kogarah Bay - Carlton - Allawah,Bus,70
Monterey - Brighton-le-Sands - Kyeemagh,Bus,204
Rockdale - Banksia,Bus,342
Sans Souci - Ramsgate,Bus,203
Concord - Mortlake - Cabarita,Bus,241
Concord West - North Strathfield,Bus,162
Drummoyne - Rodd Point,Bus,1699
Five Dock - Abbotsford,Bus,1318
Balmain,Bus,1531
Leichhardt - Annandale,Bus,2396
Lilyfield - Rozelle,Bus,1696
Ashfield,Bus,453
Burwood - Croydon,Bus,320
Canterbury (North) - Ashbury,Bus,180
Croydon Park - Enfield,Bus,332
Dulwich Hill - Lewisham,Bus,547
Haberfield - Summer Hill,Bus,372
Homebush,Bus,105
Strathfield,Bus,351
Strathfield South,Bus,62
Chatswood (East) - Artarmon,Bus,753
Chatswood (West) - Lane Cove North,Bus,1670
Lane Cove - Greenwich,Bus,2300
St Leonards - Naremburn,Bus,658
Willoughby - Castle Cove - Northbridge,Bus,2430
Asquith - Mount Colah,Bus,83
