SA2 - Residence,SA2 - Work place,Count
Braidwood,Braidwood,1114
Braidwood,Karabar,11
Braidwood,Queanbeyan,45
Braidwood,Queanbeyan - East,31
Braidwood,Queanbeyan West - Jerrabomberra,15
Braidwood,Googong,3
Braidwood,Queanbeyan Surrounds,72
Braidwood,Bombala,3
Braidwood,Batemans Bay,17
Braidwood,Eden,4
Braidwood,Eurobodalla Hinterland,3
Braidwood,Moruya - Tuross Head,3
Braidwood,Goulburn,33
Braidwood,Goulburn Surrounds,5
Braidwood,Young,4
Braidwood,Wagga Wagga Surrounds,4
Braidwood,Nowra,15
Braidwood,Moss Vale - Berrima,3
Braidwood,Blacktown - South,3
Braidwood,Surry Hills,5
Braidwood,Camperdown - Darlington,7
Braidwood,Sydney (North) - Millers Point,4
Braidwood,Ultimo,6
Braidwood,Gladesville - Huntleys Point,3
Braidwood,POW No Fixed Address (NSW),155
Karabar,Braidwood,5
Karabar,Karabar,303
Karabar,Queanbeyan,497
Karabar,Queanbeyan - East,266
Karabar,Queanbeyan West - Jerrabomberra,152
Karabar,Googong,13
Karabar,Queanbeyan Surrounds,53
Karabar,Cooma,3
Karabar,Goulburn,3
Karabar,Yass Surrounds,15
Karabar,Griffith (NSW),3
Karabar,Tumut,3
Karabar,Wagga Wagga - West,3
Karabar,Sydney (North) - Millers Point,7
Karabar,North Sydney - Lavender Bay,4
Karabar,Austral - Greendale,3
Karabar,POW No Fixed Address (NSW),173
Queanbeyan,Karabar,85
Queanbeyan,Queanbeyan,1111
Queanbeyan,Queanbeyan - East,324
Queanbeyan,Queanbeyan West - Jerrabomberra,180
Queanbeyan,Googong,41
Queanbeyan,Queanbeyan Surrounds,76
Queanbeyan,Cooma,9
Queanbeyan,Batemans Bay,4
Queanbeyan,Eurobodalla Hinterland,3
Queanbeyan,Goulburn,11
Queanbeyan,Goulburn Surrounds,7
Queanbeyan,Yass Surrounds,12
Queanbeyan,Muswellbrook,4
Queanbeyan,Marrickville - North,4
Queanbeyan,Sydney (North) - Millers Point,5
Queanbeyan,Wentworth Point - Sydney Olympic Park,3
Queanbeyan,Parramatta - North,3
Queanbeyan,POW No Fixed Address (NSW),239
Queanbeyan - East,Karabar,53
Queanbeyan - East,Queanbeyan,385
Queanbeyan - East,Queanbeyan - East,339
Queanbeyan - East,Queanbeyan West - Jerrabomberra,64
Queanbeyan - East,Googong,21
Queanbeyan - East,Queanbeyan Surrounds,49
Queanbeyan - East,Cooma,3
Queanbeyan - East,Goulburn,4
Queanbeyan - East,Yass Surrounds,3
Queanbeyan - East,Albury - East,3
Queanbeyan - East,Tumut Surrounds,4
Queanbeyan - East,Sydney (North) - Millers Point,8
Queanbeyan - East,North Sydney - Lavender Bay,3
Queanbeyan - East,Macquarie Park - Marsfield,3
Queanbeyan - East,POW No Fixed Address (NSW),107
Queanbeyan West - Jerrabomberra,Braidwood,5
Queanbeyan West - Jerrabomberra,Karabar,82
Queanbeyan West - Jerrabomberra,Queanbeyan,495
Queanbeyan West - Jerrabomberra,Queanbeyan - East,301
Queanbeyan West - Jerrabomberra,Queanbeyan West - Jerrabomberra,772
Queanbeyan West - Jerrabomberra,Googong,31
Queanbeyan West - Jerrabomberra,Queanbeyan Surrounds,116
Queanbeyan West - Jerrabomberra,Cooma Surrounds,4
Queanbeyan West - Jerrabomberra,Goulburn,13
Queanbeyan West - Jerrabomberra,Yass,8
Queanbeyan West - Jerrabomberra,Yass Surrounds,8
Queanbeyan West - Jerrabomberra,Bathurst - South,5
Queanbeyan West - Jerrabomberra,Williamtown - Medowie - Karuah,3
Queanbeyan West - Jerrabomberra,Tumut Surrounds,4
Queanbeyan West - Jerrabomberra,Wagga Wagga - West,3
Queanbeyan West - Jerrabomberra,Darlinghurst,4
Queanbeyan West - Jerrabomberra,Sydney (North) - Millers Point,15
Queanbeyan West - Jerrabomberra,Sydney (South) - Haymarket,6
Queanbeyan West - Jerrabomberra,Paddington - Moore Park,3
Queanbeyan West - Jerrabomberra,North Sydney - Lavender Bay,3
Queanbeyan West - Jerrabomberra,Campbelltown - Woodbine,4
Queanbeyan West - Jerrabomberra,Penrith,4
Queanbeyan West - Jerrabomberra,Silverwater - Newington,5
Queanbeyan West - Jerrabomberra,Gladesville - Huntleys Point,3
Queanbeyan West - Jerrabomberra,POW No Fixed Address (NSW),223
Googong,Braidwood,4
Googong,Karabar,41
Googong,Queanbeyan,213
Googong,Queanbeyan - East,101
Googong,Queanbeyan West - Jerrabomberra,104
Googong,Googong,256
Googong,Queanbeyan Surrounds,54
Googong,Goulburn,7
Googong,Yass,5
Googong,Yass Surrounds,5
Googong,Baulkham Hills (West) - Bella Vista,6
Googong,Sydney (North) - Millers Point,6
Googong,North Sydney - Lavender Bay,7
Googong,Wentworth Point - Sydney Olympic Park,4
Googong,POW No Fixed Address (NSW),141
Queanbeyan Surrounds,Braidwood,27
Queanbeyan Surrounds,Karabar,60
Queanbeyan Surrounds,Queanbeyan,442
Queanbeyan Surrounds,Queanbeyan - East,290
Queanbeyan Surrounds,Queanbeyan West - Jerrabomberra,156
Queanbeyan Surrounds,Googong,44
Queanbeyan Surrounds,Queanbeyan Surrounds,1715
Queanbeyan Surrounds,Bombala,5
Queanbeyan Surrounds,Cooma,14
Queanbeyan Surrounds,Cooma Surrounds,4
Queanbeyan Surrounds,Jindabyne - Berridale,3
Queanbeyan Surrounds,Bega - Tathra,4
Queanbeyan Surrounds,Goulburn,37
Queanbeyan Surrounds,Goulburn Surrounds,8
Queanbeyan Surrounds,Yass,5
Queanbeyan Surrounds,Yass Surrounds,36
Queanbeyan Surrounds,Young Surrounds,3
Queanbeyan Surrounds,Bathurst - South,6
Queanbeyan Surrounds,Muswellbrook Surrounds,5
Queanbeyan Surrounds,Tumbarumba,3
Queanbeyan Surrounds,Tumut Surrounds,3
Queanbeyan Surrounds,Temora,5
Queanbeyan Surrounds,Wagga Wagga Surrounds,3
Queanbeyan Surrounds,Mascot,4
Queanbeyan Surrounds,Potts Point - Woolloomooloo,5
Queanbeyan Surrounds,Surry Hills,5
Queanbeyan Surrounds,Chippendale,3
Queanbeyan Surrounds,Pyrmont,4
Queanbeyan Surrounds,Redfern,3
Queanbeyan Surrounds,Sydney (North) - Millers Point,11
Queanbeyan Surrounds,Sydney (South) - Haymarket,3
Queanbeyan Surrounds,Kensington (NSW),3
Queanbeyan Surrounds,Leichhardt,3
Queanbeyan Surrounds,Lane Cove,4
Queanbeyan Surrounds,North Sydney - Lavender Bay,3
Queanbeyan Surrounds,Currans Hill,5
Queanbeyan Surrounds,Parramatta - North,8
Queanbeyan Surrounds,Macquarie Park - Marsfield,7
Queanbeyan Surrounds,POW No Fixed Address (NSW),508
Bombala,Bombala,915
Bombala,Cooma,42
Bombala,Cooma Surrounds,7
Bombala,Jindabyne - Berridale,9
Bombala,Bega - Tathra,4
Bombala,Bega-Eden Hinterland,6
Bombala,Merimbula - Tura Beach,4
Bombala,POW No Fixed Address (NSW),65
Cooma,Queanbeyan,10
Cooma,Queanbeyan - East,12
Cooma,Queanbeyan West - Jerrabomberra,6
Cooma,Queanbeyan Surrounds,3
Cooma,Bombala,15
Cooma,Cooma,2491
Cooma,Cooma Surrounds,47
Cooma,Jindabyne - Berridale,72
Cooma,Bega - Tathra,5
Cooma,West Wyalong,3
Cooma,Tumbarumba,5
Cooma,Tumut Surrounds,7
Cooma,Bowral,3
Cooma,Hill Top - Colo Vale,5
Cooma,Sydney (North) - Millers Point,6
Cooma,North Sydney - Lavender Bay,4
Cooma,Parramatta - North,9
Cooma,POW No Fixed Address (NSW),133
Cooma Surrounds,Karabar,4
Cooma Surrounds,Queanbeyan,12
Cooma Surrounds,Queanbeyan - East,11
Cooma Surrounds,Queanbeyan West - Jerrabomberra,3
Cooma Surrounds,Queanbeyan Surrounds,11
Cooma Surrounds,Bombala,14
Cooma Surrounds,Cooma,695
Cooma Surrounds,Cooma Surrounds,543
Cooma Surrounds,Jindabyne - Berridale,39
Cooma Surrounds,Cobar,3
Cooma Surrounds,Griffith Surrounds,3
Cooma Surrounds,Tumut Surrounds,9
Cooma Surrounds,Cootamundra,3
Cooma Surrounds,Port Botany Industrial,5
Cooma Surrounds,Sydney (North) - Millers Point,6
Cooma Surrounds,St Leonards - Naremburn,4
Cooma Surrounds,Ingleburn,4
Cooma Surrounds,POW No Fixed Address (NSW),114
Jindabyne - Berridale,Queanbeyan,9
Jindabyne - Berridale,Queanbeyan - East,4
Jindabyne - Berridale,Queanbeyan Surrounds,3
Jindabyne - Berridale,Bombala,5
Jindabyne - Berridale,Cooma,453
Jindabyne - Berridale,Cooma Surrounds,23
Jindabyne - Berridale,Jindabyne - Berridale,3591
Jindabyne - Berridale,Merimbula - Tura Beach,4
Jindabyne - Berridale,Goulburn,3
Jindabyne - Berridale,Cowra,4
Jindabyne - Berridale,Dubbo - South,6
Jindabyne - Berridale,Port Macquarie - West,5
Jindabyne - Berridale,Newcastle - Cooks Hill,6
Jindabyne - Berridale,Mullumbimby,4
Jindabyne - Berridale,Casino Surrounds,4
Jindabyne - Berridale,Kyogle,4
Jindabyne - Berridale,Tumut Surrounds,13
Jindabyne - Berridale,Nowra,5
Jindabyne - Berridale,Bowral,3
Jindabyne - Berridale,Blacktown (East) - Kings Park,5
Jindabyne - Berridale,Sydney Airport,3
Jindabyne - Berridale,Potts Point - Woolloomooloo,5
Jindabyne - Berridale,Surry Hills,4
Jindabyne - Berridale,Redfern,4
Jindabyne - Berridale,Sydney (North) - Millers Point,29
Jindabyne - Berridale,Kensington (NSW),4
Jindabyne - Berridale,Ashfield - South,4
Jindabyne - Berridale,North Sydney - Lavender Bay,4
Jindabyne - Berridale,Newport - Bilgola,3
Jindabyne - Berridale,Freshwater - Brookvale,5
Jindabyne - Berridale,Frenchs Forest - Oxford Falls,3
Jindabyne - Berridale,Mulgoa - Luddenham - Orchard Hills,3
Jindabyne - Berridale,Parramatta - North,4
Jindabyne - Berridale,Macquarie Park - Marsfield,4
Jindabyne - Berridale,POW No Fixed Address (NSW),246
Batemans Bay,Braidwood,8
Batemans Bay,Queanbeyan,8
Batemans Bay,Queanbeyan - East,3
Batemans Bay,Queanbeyan Surrounds,5
Batemans Bay,Batemans Bay,1921
Batemans Bay,Batemans Bay - South,278
Batemans Bay,Bega - Tathra,3
Batemans Bay,Broulee - Tomakin,99
Batemans Bay,Eurobodalla Hinterland,84
Batemans Bay,Moruya - Tuross Head,240
Batemans Bay,Narooma - Bermagui,9
Batemans Bay,Goulburn,3
Batemans Bay,Grenfell,6
Batemans Bay,Wollongong - East,3
Batemans Bay,Albury - South,4
Batemans Bay,Albury Surrounds,4
Batemans Bay,Nowra,4
Batemans Bay,Ulladulla,29
Batemans Bay,Ulladulla Surrounds,6
Batemans Bay,Blacktown (East) - Kings Park,3
Batemans Bay,Sydney (North) - Millers Point,9
Batemans Bay,Sydney (South) - Haymarket,5
Batemans Bay,Cremorne - Cammeray,4
Batemans Bay,North Sydney - Lavender Bay,4
Batemans Bay,Campbelltown - Woodbine,4
Batemans Bay,Picton - Tahmoor - Buxton,4
Batemans Bay,Ryde - North,3
Batemans Bay,Heathcote - Waterfall,4
Batemans Bay,POW No Fixed Address (NSW),201
Batemans Bay - South,Braidwood,14
Batemans Bay - South,Queanbeyan,3
Batemans Bay - South,Queanbeyan - East,3
Batemans Bay - South,Queanbeyan West - Jerrabomberra,4
Batemans Bay - South,Jindabyne - Berridale,3
Batemans Bay - South,Batemans Bay,1363
Batemans Bay - South,Batemans Bay - South,807
Batemans Bay - South,Bega - Tathra,6
Batemans Bay - South,Bega-Eden Hinterland,4
Batemans Bay - South,Broulee - Tomakin,163
Batemans Bay - South,Eurobodalla Hinterland,75
Batemans Bay - South,Merimbula - Tura Beach,4
Batemans Bay - South,Moruya - Tuross Head,385
Batemans Bay - South,Narooma - Bermagui,11
Batemans Bay - South,Warilla,5
Batemans Bay - South,Wollongong - East,7
Batemans Bay - South,Nowra,5
Batemans Bay - South,Ulladulla,14
Batemans Bay - South,Prospect Reservoir,6
Batemans Bay - South,Sydney Airport,3
Batemans Bay - South,Potts Point - Woolloomooloo,3
Batemans Bay - South,Sydney (North) - Millers Point,11
Batemans Bay - South,Sydney (South) - Haymarket,4
Batemans Bay - South,Kogarah,3
Batemans Bay - South,Silverwater - Newington,3
Batemans Bay - South,POW No Fixed Address (NSW),220
Bega - Tathra,Queanbeyan,3
Bega - Tathra,Bombala,4
Bega - Tathra,Cooma,5
Bega - Tathra,Jindabyne - Berridale,15
Bega - Tathra,Batemans Bay,4
Bega - Tathra,Bega - Tathra,2992
Bega - Tathra,Bega-Eden Hinterland,119
Bega - Tathra,Eden,29
Bega - Tathra,Merimbula - Tura Beach,294
Bega - Tathra,Moruya - Tuross Head,3
Bega - Tathra,Narooma - Bermagui,25
Bega - Tathra,Griffith Surrounds,3
Bega - Tathra,Sydney (North) - Millers Point,7
Bega - Tathra,Ultimo,3
Bega - Tathra,Strathfield - East,5
Bega - Tathra,North Sydney - Lavender Bay,5
Bega - Tathra,Macquarie Park - Marsfield,3
Bega - Tathra,Wetherill Park Industrial,3
Bega - Tathra,POW No Fixed Address (NSW),225
Bega-Eden Hinterland,Queanbeyan - East,3
Bega-Eden Hinterland,Bombala,23
Bega-Eden Hinterland,Cooma,20
Bega-Eden Hinterland,Cooma Surrounds,6
Bega-Eden Hinterland,Jindabyne - Berridale,6
Bega-Eden Hinterland,Batemans Bay,8
Bega-Eden Hinterland,Bega - Tathra,1327
Bega-Eden Hinterland,Bega-Eden Hinterland,1320
Bega-Eden Hinterland,Eden,235
Bega-Eden Hinterland,Eurobodalla Hinterland,5
Bega-Eden Hinterland,Merimbula - Tura Beach,620
Bega-Eden Hinterland,Moruya - Tuross Head,13
Bega-Eden Hinterland,Narooma - Bermagui,149
Bega-Eden Hinterland,Kariong,3
Bega-Eden Hinterland,Tumut Surrounds,4
Bega-Eden Hinterland,Nowra,3
Bega-Eden Hinterland,Redfern,3
Bega-Eden Hinterland,Sydney (North) - Millers Point,4
Bega-Eden Hinterland,Lurnea - Cartwright,6
Bega-Eden Hinterland,POW No Fixed Address (NSW),338
Broulee - Tomakin,Braidwood,5
Broulee - Tomakin,Jindabyne - Berridale,3
Broulee - Tomakin,Batemans Bay,324
Broulee - Tomakin,Batemans Bay - South,86
Broulee - Tomakin,Bega - Tathra,3
Broulee - Tomakin,Broulee - Tomakin,424
Broulee - Tomakin,Eurobodalla Hinterland,54
Broulee - Tomakin,Moruya - Tuross Head,383
Broulee - Tomakin,Narooma - Bermagui,17
Broulee - Tomakin,Goulburn,3
Broulee - Tomakin,Yass,4
Broulee - Tomakin,Nowra,3
Broulee - Tomakin,Ulladulla,5
