SA2 - Residence,SA2 - Work place,Count
Broulee - Tomakin,Mascot,4
Broulee - Tomakin,Sydney (North) - Millers Point,10
Broulee - Tomakin,Macquarie Park - Marsfield,3
Broulee - Tomakin,Wetherill Park Industrial,3
Broulee - Tomakin,POW No Fixed Address (NSW),135
Deua - Wadbilliga,Eurobodalla Hinterland,3
Deua - Wadbilliga,Moruya - Tuross Head,3
Deua - Wadbilliga,Narooma - Bermagui,4
Eden,Cooma,5
Eden,Cooma Surrounds,3
Eden,Bega - Tathra,85
Eden,Bega-Eden Hinterland,32
Eden,Eden,788
Eden,Merimbula - Tura Beach,178
Eden,Inverell Surrounds - East,3
Eden,POW No Fixed Address (NSW),82
Eurobodalla Hinterland,Braidwood,5
Eurobodalla Hinterland,Googong,4
Eurobodalla Hinterland,Jindabyne - Berridale,6
Eurobodalla Hinterland,Batemans Bay,356
Eurobodalla Hinterland,Batemans Bay - South,59
Eurobodalla Hinterland,Bega - Tathra,3
Eurobodalla Hinterland,Broulee - Tomakin,47
Eurobodalla Hinterland,Eurobodalla Hinterland,403
Eurobodalla Hinterland,Moruya - Tuross Head,303
Eurobodalla Hinterland,Narooma - Bermagui,109
Eurobodalla Hinterland,Cootamundra,3
Eurobodalla Hinterland,Nowra,4
Eurobodalla Hinterland,Ulladulla,5
Eurobodalla Hinterland,Ulladulla Surrounds,8
Eurobodalla Hinterland,POW No Fixed Address (NSW),119
Merimbula - Tura Beach,Queanbeyan,3
Merimbula - Tura Beach,Bombala,24
Merimbula - Tura Beach,Cooma,18
Merimbula - Tura Beach,Jindabyne - Berridale,20
Merimbula - Tura Beach,Bega - Tathra,910
Merimbula - Tura Beach,Bega-Eden Hinterland,86
Merimbula - Tura Beach,Eden,275
Merimbula - Tura Beach,Merimbula - Tura Beach,2876
Merimbula - Tura Beach,Moruya - Tuross Head,4
Merimbula - Tura Beach,Narooma - Bermagui,6
Merimbula - Tura Beach,Goulburn,3
Merimbula - Tura Beach,Young Surrounds,3
Merimbula - Tura Beach,Woonona - Bulli - Russell Vale,4
Merimbula - Tura Beach,Tumut Surrounds,3
Merimbula - Tura Beach,Berry - Kangaroo Valley,5
Merimbula - Tura Beach,Sydney (North) - Millers Point,22
Merimbula - Tura Beach,St Leonards - Naremburn,4
Merimbula - Tura Beach,North Sydney - Lavender Bay,3
Merimbula - Tura Beach,POW No Fixed Address (NSW),328
Moruya - Tuross Head,Cooma Surrounds,8
Moruya - Tuross Head,Jindabyne - Berridale,8
Moruya - Tuross Head,Batemans Bay,340
Moruya - Tuross Head,Batemans Bay - South,58
Moruya - Tuross Head,Bega - Tathra,3
Moruya - Tuross Head,Broulee - Tomakin,157
Moruya - Tuross Head,Eurobodalla Hinterland,97
Moruya - Tuross Head,Moruya - Tuross Head,2116
Moruya - Tuross Head,Narooma - Bermagui,99
Moruya - Tuross Head,Goulburn,5
Moruya - Tuross Head,Yass Surrounds,3
Moruya - Tuross Head,Orange Surrounds,3
Moruya - Tuross Head,Wollongong - East,4
Moruya - Tuross Head,Nowra,5
Moruya - Tuross Head,Ulladulla,5
Moruya - Tuross Head,Surry Hills,4
Moruya - Tuross Head,Sydney (North) - Millers Point,11
Moruya - Tuross Head,North Sydney - Lavender Bay,4
Moruya - Tuross Head,North Narrabeen - Warriewood (South),3
Moruya - Tuross Head,Dee Why (South) - North Curl Curl,3
Moruya - Tuross Head,POW No Fixed Address (NSW),242
Narooma - Bermagui,Queanbeyan West - Jerrabomberra,4
Narooma - Bermagui,Cooma,9
Narooma - Bermagui,Jindabyne - Berridale,8
Narooma - Bermagui,Batemans Bay,31
Narooma - Bermagui,Bega - Tathra,97
Narooma - Bermagui,Bega-Eden Hinterland,60
Narooma - Bermagui,Broulee - Tomakin,14
Narooma - Bermagui,Eurobodalla Hinterland,44
Narooma - Bermagui,Merimbula - Tura Beach,7
Narooma - Bermagui,Moruya - Tuross Head,236
Narooma - Bermagui,Narooma - Bermagui,2432
Narooma - Bermagui,Helensburgh,3
Narooma - Bermagui,Wollongong - East,4
Narooma - Bermagui,Griffith (NSW),3
Narooma - Bermagui,Griffith Surrounds,3
Narooma - Bermagui,Ulladulla,4
Narooma - Bermagui,Sydney (North) - Millers Point,9
Narooma - Bermagui,North Sydney - Lavender Bay,4
Narooma - Bermagui,Lawson - Hazelbrook - Linden,3
Narooma - Bermagui,POW No Fixed Address (NSW),286
Goulburn,Braidwood,26
Goulburn,Karabar,5
Goulburn,Queanbeyan,56
Goulburn,Queanbeyan - East,23
Goulburn,Queanbeyan West - Jerrabomberra,13
Goulburn,Queanbeyan Surrounds,79
Goulburn,Goulburn,8264
Goulburn,Goulburn Surrounds,617
Goulburn,Yass,10
Goulburn,Yass Surrounds,40
Goulburn,Young,4
Goulburn,Young Surrounds,11
Goulburn,Cowra,3
Goulburn,West Wyalong,5
Goulburn,Blayney,3
Goulburn,Orange,4
Goulburn,Cobar,3
Goulburn,Dubbo - East,8
Goulburn,Dubbo - South,4
Goulburn,Raymond Terrace,4
Goulburn,Dapto - Avondale,4
Goulburn,Unanderra - Mount Kembla,4
Goulburn,Wollongong - East,9
Goulburn,Albury - East,5
Goulburn,Newcastle - Cooks Hill,3
Goulburn,Griffith (NSW),3
Goulburn,Wagga Wagga - West,4
Goulburn,Berry - Kangaroo Valley,3
Goulburn,Nowra,5
Goulburn,Bowral,36
Goulburn,Mittagong,25
Goulburn,Moss Vale - Berrima,98
Goulburn,Robertson - Fitzroy Falls,3
Goulburn,Southern Highlands,18
Goulburn,Baulkham Hills (West) - Bella Vista,5
Goulburn,Prospect Reservoir,4
Goulburn,Mascot,3
Goulburn,Petersham - Stanmore,5
Goulburn,Sydenham - Tempe - St Peters,3
Goulburn,Darlinghurst,4
Goulburn,Potts Point - Woolloomooloo,4
Goulburn,Pyrmont,3
Goulburn,Sydney (North) - Millers Point,25
Goulburn,Sydney (South) - Haymarket,9
Goulburn,Bankstown - South,3
Goulburn,Lindfield - Roseville,3
Goulburn,North Sydney - Lavender Bay,4
Goulburn,Currans Hill,9
Goulburn,Elderslie - Narellan,3
Goulburn,Campbelltown - Woodbine,5
Goulburn,Minto - St Andrews,4
Goulburn,Ingleburn,7
Goulburn,Windsor - Bligh Park,3
Goulburn,Silverwater - Newington,4
Goulburn,Fairfield - East,4
Goulburn,North Parramatta,5
Goulburn,Parramatta - North,6
Goulburn,Macquarie Park - Marsfield,3
Goulburn,Holsworthy - Wattle Grove,4
Goulburn,POW No Fixed Address (NSW),430
Goulburn Surrounds,Braidwood,13
Goulburn Surrounds,Queanbeyan,28
Goulburn Surrounds,Queanbeyan - East,15
Goulburn Surrounds,Queanbeyan West - Jerrabomberra,10
Goulburn Surrounds,Googong,5
Goulburn Surrounds,Queanbeyan Surrounds,30
Goulburn Surrounds,Jindabyne - Berridale,3
Goulburn Surrounds,Goulburn,1759
Goulburn Surrounds,Goulburn Surrounds,2996
Goulburn Surrounds,Yass,21
Goulburn Surrounds,Yass Surrounds,27
Goulburn Surrounds,Young Surrounds,9
Goulburn Surrounds,Bathurst Surrounds,4
Goulburn Surrounds,Bathurst - South,4
Goulburn Surrounds,West Wyalong,4
Goulburn Surrounds,Orange,4
Goulburn Surrounds,Orange Surrounds,3
Goulburn Surrounds,Coonabarabran,3
Goulburn Surrounds,Dubbo - East,4
Goulburn Surrounds,Raymond Terrace,3
Goulburn Surrounds,Port Kembla Industrial,5
Goulburn Surrounds,Unanderra - Mount Kembla,5
Goulburn Surrounds,Port Kembla - Warrawong,3
Goulburn Surrounds,Shellharbour - Flinders,3
Goulburn Surrounds,Figtree - Keiraville,3
Goulburn Surrounds,Wollongong - East,9
Goulburn Surrounds,Albury - East,6
Goulburn Surrounds,Tweed Heads,5
Goulburn Surrounds,Wagga Wagga - West,3
Goulburn Surrounds,Nowra,4
Goulburn Surrounds,Bowral,63
Goulburn Surrounds,Mittagong,41
Goulburn Surrounds,Moss Vale - Berrima,127
Goulburn Surrounds,Robertson - Fitzroy Falls,9
Goulburn Surrounds,Southern Highlands,40
Goulburn Surrounds,Baulkham Hills (West) - Bella Vista,3
Goulburn Surrounds,Seven Hills - Prospect,3
Goulburn Surrounds,Prospect Reservoir,7
Goulburn Surrounds,Banksmeadow,8
Goulburn Surrounds,Mascot,4
Goulburn Surrounds,Marrickville - North,3
Goulburn Surrounds,Darlinghurst,3
Goulburn Surrounds,Surry Hills,11
Goulburn Surrounds,Redfern,3
Goulburn Surrounds,Sydney (North) - Millers Point,30
Goulburn Surrounds,Sydney (South) - Haymarket,3
Goulburn Surrounds,Ultimo,4
Goulburn Surrounds,Bondi Junction - Waverly,8
Goulburn Surrounds,Double Bay - Darling Point,3
Goulburn Surrounds,Randwick - South,3
Goulburn Surrounds,Chullora,3
Goulburn Surrounds,Condell Park,3
Goulburn Surrounds,Homebush,3
Goulburn Surrounds,St Leonards - Naremburn,5
Goulburn Surrounds,Chatswood - East,5
Goulburn Surrounds,North Sydney - Lavender Bay,4
Goulburn Surrounds,Freshwater - Brookvale,6
Goulburn Surrounds,Frenchs Forest - Oxford Falls,6
Goulburn Surrounds,Camden - Ellis Lane,8
Goulburn Surrounds,Currans Hill,5
Goulburn Surrounds,Elderslie - Narellan,4
Goulburn Surrounds,Campbelltown - Woodbine,16
Goulburn Surrounds,Ingleburn,5
Goulburn Surrounds,Bargo,7
Goulburn Surrounds,Douglas Park - Appin,11
Goulburn Surrounds,Picton - Tahmoor - Buxton,4
Goulburn Surrounds,Penrith,6
Goulburn Surrounds,Lidcombe,4
Goulburn Surrounds,Ermington - Rydalmere,4
Goulburn Surrounds,Guildford West - Merrylands West,3
Goulburn Surrounds,North Rocks,5
Goulburn Surrounds,Northmead,4
Goulburn Surrounds,Parramatta - North,7
Goulburn Surrounds,Epping (NSW) - West,5
Goulburn Surrounds,Macquarie Park - Marsfield,6
Goulburn Surrounds,Austral - Greendale,5
Goulburn Surrounds,Oran Park,6
Goulburn Surrounds,Cabramatta - Lansvale,5
Goulburn Surrounds,Chipping Norton - Moorebank,4
Goulburn Surrounds,Warwick Farm,5
Goulburn Surrounds,Liverpool - East,4
Goulburn Surrounds,Prestons,3
Goulburn Surrounds,Gymea - Grays Point,3
Goulburn Surrounds,Cronulla - Kurnell - Bundeena,4
Goulburn Surrounds,POW No Fixed Address (NSW),383
Yass,Karabar,5
Yass,Queanbeyan,11
Yass,Queanbeyan - East,10
Yass,Queanbeyan West - Jerrabomberra,17
Yass,Queanbeyan Surrounds,3
Yass,Jindabyne - Berridale,3
Yass,Goulburn,24
Yass,Yass,1647
Yass,Yass Surrounds,111
Yass,Young,3
Yass,Young Surrounds,18
Yass,Unanderra - Mount Kembla,4
Yass,Gundagai,3
Yass,Baulkham Hills (West) - Bella Vista,3
Yass,Prospect Reservoir,6
Yass,Sydney (North) - Millers Point,3
Yass,Sydney (South) - Haymarket,5
Yass,Greenwich - Riverview,3
Yass,POW No Fixed Address (NSW),170
Yass Surrounds,Karabar,13
Yass Surrounds,Queanbeyan,39
Yass Surrounds,Queanbeyan - East,52
Yass Surrounds,Queanbeyan West - Jerrabomberra,33
Yass Surrounds,Googong,4
Yass Surrounds,Queanbeyan Surrounds,38
Yass Surrounds,Cooma,4
Yass Surrounds,Goulburn,68
Yass Surrounds,Goulburn Surrounds,17
Yass Surrounds,Yass,487
Yass Surrounds,Yass Surrounds,1822
Yass Surrounds,Young,18
Yass Surrounds,Young Surrounds,64
Yass Surrounds,Bathurst - South,3
Yass Surrounds,Forbes,3
Yass Surrounds,Orange,3
Yass Surrounds,Wollongong - East,5
Yass Surrounds,Albury - South,5
Yass Surrounds,Inverell Surrounds - West,3
Yass Surrounds,Cootamundra,14
Yass Surrounds,Gundagai,21
Yass Surrounds,Bowral,5
Yass Surrounds,Baulkham Hills (West) - Bella Vista,3
Yass Surrounds,Blacktown (East) - Kings Park,5
Yass Surrounds,Prospect Reservoir,3
Yass Surrounds,Sydney (North) - Millers Point,29
Yass Surrounds,Sydney (South) - Haymarket,4
Yass Surrounds,Double Bay - Darling Point,4
Yass Surrounds,Chatswood - East,3
Yass Surrounds,North Sydney - Lavender Bay,4
Yass Surrounds,Macquarie Park - Marsfield,4
Yass Surrounds,POW No Fixed Address (NSW),407
Young,Queanbeyan,3
Young,Queanbeyan West - Jerrabomberra,5
Young,Yass,3
Young,Yass Surrounds,10
Young,Young,3726
Young,Young Surrounds,228
Young,Cowra,29
Young,Cowra Surrounds,4
Young,Forbes,5
Young,Grenfell,28
Young,West Wyalong,9
Young,Mudgee,3
Young,Orange,5
Young,Cobar,3
Young,Narromine,6
Young,Kiama Hinterland - Gerringong,3
Young,Cootamundra,64
Young,Gundagai,4
Young,Junee,3
Young,Temora,8
Young,Wagga Wagga - West,12
Young,Baulkham Hills (West) - Bella Vista,5
Young,Mascot,4
Young,Sydney (North) - Millers Point,7
Young,Sydney (South) - Haymarket,4
Young,Ashfield - South,3
Young,North Sydney - Lavender Bay,3
Young,Wetherill Park Industrial,3
Young,Prestons,3
Young,POW No Fixed Address (NSW),225
Young Surrounds,Braidwood,5
Young Surrounds,Karabar,4
