SA2 - Residence,Method of Travel to Work,Count
Braidwood,Bus,4
Braidwood,"Car, as driver",1107
Braidwood,"Car as driver, car as passenger",9
Braidwood,"Car as driver, truck",4
Braidwood,"Car as driver, motorbike/scooter",4
Braidwood,"Car as driver, other",4
Braidwood,"Car, as passenger",68
Braidwood,Truck,37
Braidwood,Motorbike/scooter,7
Braidwood,"Motorbike/scooter, other",3
Braidwood,Bicycle,7
Braidwood,Walked only,125
Braidwood,Other,11
Braidwood,Worked at home,411
Braidwood,Did not go to work,199
Braidwood,Not stated,22
Braidwood,Not applicable,2328
Karabar,Bus,31
Karabar,"Bus, car as driver",5
Karabar,"Bus, car as passenger",5
Karabar,Taxi/ride-share service,4
Karabar,"Car, as driver",3140
Karabar,"Car as driver, car as passenger",18
Karabar,"Car as driver, truck",4
Karabar,"Car as driver, other",5
Karabar,"Car, as passenger",280
Karabar,Truck,35
Karabar,Motorbike/scooter,36
Karabar,Bicycle,12
Karabar,Walked only,49
Karabar,Other,18
Karabar,Worked at home,288
Karabar,Did not go to work,366
Karabar,Not stated,17
Karabar,Not applicable,4200
Queanbeyan,Bus,140
Queanbeyan,"Bus, car as driver",8
Queanbeyan,"Bus, car as passenger",14
Queanbeyan,"Bus, other",3
Queanbeyan,"Bus, Taxi/ride-share service, car as passenger",5
Queanbeyan,"Bus, car as driver, car as passenger",4
Queanbeyan,Taxi/ride-share service,27
Queanbeyan,"Car, as driver",4219
Queanbeyan,"Car as driver, car as passenger",22
Queanbeyan,"Car as driver, truck",6
Queanbeyan,"Car as driver, motorbike/scooter",9
Queanbeyan,"Car as driver, bicycle",8
Queanbeyan,"Car as driver, other",8
Queanbeyan,"Car, as passenger",354
Queanbeyan,Truck,39
Queanbeyan,"Truck, motorbike/scooter",3
Queanbeyan,Motorbike/scooter,64
Queanbeyan,Bicycle,32
Queanbeyan,Walked only,203
Queanbeyan,Other,27
Queanbeyan,Worked at home,452
Queanbeyan,Did not go to work,568
Queanbeyan,Not stated,23
Queanbeyan,Not applicable,5096
Queanbeyan - East,Bus,32
Queanbeyan - East,"Bus, car as passenger",6
Queanbeyan - East,Taxi/ride-share service,4
Queanbeyan - East,"Car, as driver",2057
Queanbeyan - East,"Car as driver, car as passenger",8
Queanbeyan - East,"Car as driver, bicycle",4
Queanbeyan - East,"Car as driver, other",4
Queanbeyan - East,"Car, as passenger",136
Queanbeyan - East,Truck,20
Queanbeyan - East,Motorbike/scooter,23
Queanbeyan - East,Bicycle,29
Queanbeyan - East,Walked only,85
Queanbeyan - East,Other,13
Queanbeyan - East,Worked at home,233
Queanbeyan - East,Did not go to work,249
Queanbeyan - East,Not stated,7
Queanbeyan - East,Not applicable,2163
Queanbeyan West - Jerrabomberra,Bus,25
Queanbeyan West - Jerrabomberra,"Bus, car as driver",14
Queanbeyan West - Jerrabomberra,"Bus, car as passenger",12
Queanbeyan West - Jerrabomberra,Taxi/ride-share service,16
Queanbeyan West - Jerrabomberra,"Car, as driver",5242
Queanbeyan West - Jerrabomberra,"Car as driver, car as passenger",15
Queanbeyan West - Jerrabomberra,"Car as driver, truck",5
Queanbeyan West - Jerrabomberra,"Car as driver, motorbike/scooter",4
Queanbeyan West - Jerrabomberra,"Car as driver, bicycle",12
Queanbeyan West - Jerrabomberra,"Car as driver, other",5
Queanbeyan West - Jerrabomberra,"Car, as passenger",360
Queanbeyan West - Jerrabomberra,Truck,49
Queanbeyan West - Jerrabomberra,Motorbike/scooter,50
Queanbeyan West - Jerrabomberra,Bicycle,22
Queanbeyan West - Jerrabomberra,Walked only,62
Queanbeyan West - Jerrabomberra,Other,21
Queanbeyan West - Jerrabomberra,Worked at home,710
Queanbeyan West - Jerrabomberra,Did not go to work,751
Queanbeyan West - Jerrabomberra,Not stated,16
Queanbeyan West - Jerrabomberra,Not applicable,5341
Googong,Bus,21
Googong,"Bus, car as driver",5
Googong,"Bus, car as passenger",4
Googong,"Car, as driver",2549
Googong,"Car as driver, car as passenger",4
Googong,"Car as driver, motorbike/scooter",4
Googong,"Car as driver, other",8
Googong,"Car, as passenger",138
Googong,Truck,14
Googong,Motorbike/scooter,21
Googong,Bicycle,5
Googong,Walked only,40
Googong,Other,9
Googong,Worked at home,382
Googong,Did not go to work,396
Googong,Not stated,13
Googong,Not applicable,2600
Queanbeyan Surrounds,Bus,21
Queanbeyan Surrounds,"Bus, car as driver",12
Queanbeyan Surrounds,"Bus, car as passenger",9
Queanbeyan Surrounds,"Tram/light rail, car as driver",17
Queanbeyan Surrounds,"Car, as driver",5991
Queanbeyan Surrounds,"Car as driver, car as passenger",21
Queanbeyan Surrounds,"Car as driver, truck",14
Queanbeyan Surrounds,"Car as driver, motorbike/scooter",4
Queanbeyan Surrounds,"Car as driver, bicycle",13
Queanbeyan Surrounds,"Car as driver, other",3
Queanbeyan Surrounds,"Car, as passenger",346
Queanbeyan Surrounds,"Car as passenger, bicycle",3
Queanbeyan Surrounds,Truck,135
Queanbeyan Surrounds,Motorbike/scooter,45
Queanbeyan Surrounds,Bicycle,13
Queanbeyan Surrounds,Walked only,149
Queanbeyan Surrounds,Other,29
Queanbeyan Surrounds,Worked at home,1238
Queanbeyan Surrounds,Did not go to work,906
Queanbeyan Surrounds,Not stated,37
Queanbeyan Surrounds,Not applicable,7509
Bombala,"Car, as driver",713
Bombala,"Car as driver, car as passenger",6
Bombala,"Car as driver, truck",3
Bombala,"Car, as passenger",31
Bombala,Truck,12
Bombala,Motorbike/scooter,4
Bombala,Bicycle,6
Bombala,Walked only,64
Bombala,Other,4
Bombala,Worked at home,147
Bombala,Did not go to work,93
Bombala,Not stated,8
Bombala,Not applicable,1354
Cooma,Bus,17
Cooma,"Bus, car as driver",4
Cooma,Taxi/ride-share service,12
Cooma,"Car, as driver",1924
Cooma,"Car as driver, car as passenger",9
Cooma,"Car as driver, other",3
Cooma,"Car, as passenger",193
Cooma,Truck,23
Cooma,Motorbike/scooter,17
Cooma,Bicycle,14
Cooma,Walked only,193
Cooma,Other,13
Cooma,Worked at home,275
Cooma,Did not go to work,317
Cooma,Not stated,20
Cooma,Not applicable,3716
Cooma Surrounds,Bus,6
Cooma Surrounds,"Bus, car as passenger",4
Cooma Surrounds,"Car, as driver",1046
Cooma Surrounds,"Car as driver, car as passenger",3
Cooma Surrounds,"Car, as passenger",80
Cooma Surrounds,Truck,20
Cooma Surrounds,Motorbike/scooter,12
Cooma Surrounds,Walked only,63
Cooma Surrounds,Other,13
Cooma Surrounds,Worked at home,293
Cooma Surrounds,Did not go to work,161
Cooma Surrounds,Not stated,11
Cooma Surrounds,Not applicable,1743
Jindabyne - Berridale,Train,13
Jindabyne - Berridale,"Train, bus",3
Jindabyne - Berridale,"Train, car as driver",25
Jindabyne - Berridale,"Train, car as passenger",8
Jindabyne - Berridale,Bus,10
Jindabyne - Berridale,Ferry,3
Jindabyne - Berridale,"Car, as driver",2579
Jindabyne - Berridale,"Car as driver, car as passenger",28
Jindabyne - Berridale,"Car as driver, other",3
Jindabyne - Berridale,"Car, as passenger",223
Jindabyne - Berridale,"Car as passenger, other",4
Jindabyne - Berridale,Truck,35
Jindabyne - Berridale,Motorbike/scooter,13
Jindabyne - Berridale,Bicycle,11
Jindabyne - Berridale,Walked only,382
Jindabyne - Berridale,Other,55
Jindabyne - Berridale,Worked at home,695
Jindabyne - Berridale,Did not go to work,579
Jindabyne - Berridale,Not stated,46
Jindabyne - Berridale,Not applicable,3334
Batemans Bay,Bus,19
Batemans Bay,Taxi/ride-share service,4
Batemans Bay,"Car, as driver",2010
Batemans Bay,"Car as driver, car as passenger",10
Batemans Bay,"Car as driver, truck",5
Batemans Bay,"Car as driver, car as passenger, bicycle",4
Batemans Bay,"Car, as passenger",170
Batemans Bay,Truck,43
Batemans Bay,Motorbike/scooter,15
Batemans Bay,Bicycle,19
Batemans Bay,Walked only,97
Batemans Bay,Other,15
Batemans Bay,Worked at home,262
Batemans Bay,Did not go to work,372
Batemans Bay,Not stated,19
Batemans Bay,Not applicable,5512
Batemans Bay - South,Bus,25
Batemans Bay - South,Taxi/ride-share service,3
Batemans Bay - South,"Car, as driver",2178
Batemans Bay - South,"Car as driver, car as passenger",6
Batemans Bay - South,"Car, as passenger",171
Batemans Bay - South,"Car as passenger, truck",4
Batemans Bay - South,Truck,39
Batemans Bay - South,Motorbike/scooter,3
Batemans Bay - South,Bicycle,11
Batemans Bay - South,Walked only,51
Batemans Bay - South,Other,13
Batemans Bay - South,Worked at home,362
Batemans Bay - South,Did not go to work,362
Batemans Bay - South,Not stated,28
Batemans Bay - South,Not applicable,5663
Bega - Tathra,Bus,9
Bega - Tathra,Ferry,6
Bega - Tathra,Taxi/ride-share service,6
Bega - Tathra,"Car, as driver",2470
Bega - Tathra,"Car as driver, car as passenger",12
Bega - Tathra,"Car as driver, truck",4
Bega - Tathra,"Car as driver, bicycle",3
Bega - Tathra,"Car as driver, other",3
Bega - Tathra,"Car, as passenger",169
Bega - Tathra,Truck,35
Bega - Tathra,Motorbike/scooter,13
Bega - Tathra,Bicycle,31
Bega - Tathra,Walked only,224
Bega - Tathra,Other,11
Bega - Tathra,Worked at home,361
Bega - Tathra,Did not go to work,429
Bega - Tathra,Not stated,36
Bega - Tathra,Not applicable,5039
Bega-Eden Hinterland,Bus,12
Bega-Eden Hinterland,"Bus, car as passenger",5
Bega-Eden Hinterland,"Car, as driver",2584
Bega-Eden Hinterland,"Car as driver, car as passenger",8
Bega-Eden Hinterland,"Car as driver, truck",4
Bega-Eden Hinterland,"Car as driver, motorbike/scooter",4
Bega-Eden Hinterland,"Car as driver, bicycle",5
