SA2 - Residence,Method of Travel to Work,Count
Bega-Eden Hinterland,"Car, as passenger",125
Bega-Eden Hinterland,Truck,81
Bega-Eden Hinterland,Motorbike/scooter,29
Bega-Eden Hinterland,Bicycle,7
Bega-Eden Hinterland,Walked only,144
Bega-Eden Hinterland,Other,36
Bega-Eden Hinterland,Worked at home,689
Bega-Eden Hinterland,Did not go to work,447
Bega-Eden Hinterland,Not stated,46
Bega-Eden Hinterland,Not applicable,5321
Broulee - Tomakin,Bus,3
Broulee - Tomakin,"Car, as driver",961
Broulee - Tomakin,"Car, as passenger",51
Broulee - Tomakin,Truck,18
Broulee - Tomakin,Motorbike/scooter,4
Broulee - Tomakin,Bicycle,26
Broulee - Tomakin,Walked only,49
Broulee - Tomakin,Other,7
Broulee - Tomakin,Worked at home,209
Broulee - Tomakin,Did not go to work,188
Broulee - Tomakin,Not stated,16
Broulee - Tomakin,Not applicable,2248
Deua - Wadbilliga,"Car, as driver",9
Deua - Wadbilliga,Worked at home,5
Deua - Wadbilliga,Not applicable,26
Eden,Bus,4
Eden,"Car, as driver",812
Eden,"Car, as passenger",63
Eden,Truck,21
Eden,Walked only,59
Eden,Other,13
Eden,Worked at home,86
Eden,Did not go to work,117
Eden,Not stated,25
Eden,Not applicable,2218
Eurobodalla Hinterland,Tram/light rail,3
Eurobodalla Hinterland,"Car, as driver",918
Eurobodalla Hinterland,"Car as driver, truck",3
Eurobodalla Hinterland,"Car, as passenger",55
Eurobodalla Hinterland,Truck,26
Eurobodalla Hinterland,Motorbike/scooter,10
Eurobodalla Hinterland,Bicycle,7
Eurobodalla Hinterland,Walked only,59
Eurobodalla Hinterland,Other,8
Eurobodalla Hinterland,Worked at home,216
Eurobodalla Hinterland,Did not go to work,175
Eurobodalla Hinterland,Not stated,8
Eurobodalla Hinterland,Not applicable,2021
Merimbula - Tura Beach,Bus,17
Merimbula - Tura Beach,Taxi/ride-share service,5
Merimbula - Tura Beach,"Car, as driver",3051
Merimbula - Tura Beach,"Car as driver, car as passenger",12
Merimbula - Tura Beach,"Car, as passenger",208
Merimbula - Tura Beach,Truck,51
Merimbula - Tura Beach,Motorbike/scooter,16
Merimbula - Tura Beach,Bicycle,18
Merimbula - Tura Beach,Walked only,205
Merimbula - Tura Beach,Other,31
Merimbula - Tura Beach,Worked at home,602
Merimbula - Tura Beach,Did not go to work,539
Merimbula - Tura Beach,Not stated,34
Merimbula - Tura Beach,Not applicable,6721
Moruya - Tuross Head,Bus,10
Moruya - Tuross Head,"Car, as driver",2188
Moruya - Tuross Head,"Car as driver, truck",3
Moruya - Tuross Head,"Car as driver, motorbike/scooter",3
Moruya - Tuross Head,"Car, as passenger",117
Moruya - Tuross Head,Truck,59
Moruya - Tuross Head,Motorbike/scooter,10
Moruya - Tuross Head,Bicycle,22
Moruya - Tuross Head,Walked only,95
Moruya - Tuross Head,Other,9
Moruya - Tuross Head,Worked at home,373
Moruya - Tuross Head,Did not go to work,350
Moruya - Tuross Head,Not stated,34
Moruya - Tuross Head,Not applicable,5314
Narooma - Bermagui,Bus,8
Narooma - Bermagui,"Car, as driver",2032
Narooma - Bermagui,"Car as driver, car as passenger",4
Narooma - Bermagui,"Car as driver, truck",6
Narooma - Bermagui,"Car as driver, motorbike/scooter",4
Narooma - Bermagui,"Car as driver, other",5
Narooma - Bermagui,"Car, as passenger",145
Narooma - Bermagui,Truck,34
Narooma - Bermagui,Motorbike/scooter,9
Narooma - Bermagui,Bicycle,19
Narooma - Bermagui,Walked only,170
Narooma - Bermagui,Other,29
Narooma - Bermagui,Worked at home,505
Narooma - Bermagui,Did not go to work,373
Narooma - Bermagui,Not stated,59
Narooma - Bermagui,Not applicable,6480
Goulburn,Train,4
Goulburn,"Train, car as driver",4
Goulburn,"Train, bus, car as driver",3
Goulburn,Bus,35
Goulburn,"Bus, car as driver",5
Goulburn,"Tram/light rail, car as driver",6
Goulburn,Taxi/ride-share service,34
Goulburn,"Taxi/ride-share service, car as passenger",4
Goulburn,"Car, as driver",7549
Goulburn,"Car as driver, car as passenger",28
Goulburn,"Car as driver, truck",8
Goulburn,"Car as driver, other",3
Goulburn,"Car, as passenger",666
Goulburn,"Car as passenger, other",4
Goulburn,Truck,95
Goulburn,Motorbike/scooter,29
Goulburn,Bicycle,31
Goulburn,Walked only,356
Goulburn,Other,28
Goulburn,Worked at home,750
Goulburn,Did not go to work,1159
Goulburn,Not stated,59
Goulburn,Not applicable,13692
Goulburn Surrounds,Train,3
Goulburn Surrounds,Bus,13
Goulburn Surrounds,"Bus, car as driver",3
Goulburn Surrounds,"Car, as driver",3817
Goulburn Surrounds,"Car as driver, car as passenger",17
Goulburn Surrounds,"Car as driver, truck",10
Goulburn Surrounds,"Car as driver, motorbike/scooter",8
Goulburn Surrounds,"Car as driver, other",3
Goulburn Surrounds,"Car, as passenger",230
Goulburn Surrounds,Truck,150
Goulburn Surrounds,"Truck, other",3
Goulburn Surrounds,Motorbike/scooter,30
Goulburn Surrounds,Bicycle,3
Goulburn Surrounds,Walked only,237
Goulburn Surrounds,Other,52
Goulburn Surrounds,Worked at home,1182
Goulburn Surrounds,Did not go to work,613
Goulburn Surrounds,Not stated,68
Goulburn Surrounds,Not applicable,7392
Yass,Bus,30
Yass,"Bus, car as driver",4
Yass,"Bus, car as passenger",7
Yass,"Tram/light rail, car as driver",6
Yass,"Car, as driver",2078
Yass,"Car as driver, car as passenger",14
Yass,"Car as driver, truck",6
Yass,"Car as driver, motorbike/scooter",6
Yass,"Car, as passenger",143
Yass,Truck,47
Yass,Motorbike/scooter,3
Yass,Bicycle,7
Yass,Walked only,125
Yass,Other,20
Yass,Worked at home,358
Yass,Did not go to work,351
Yass,Not stated,17
Yass,Not applicable,3541
Yass Surrounds,Bus,22
Yass Surrounds,"Bus, car as driver",6
Yass Surrounds,"Bus, car as passenger",5
Yass Surrounds,"Bus, Tram/light rail, car as passenger",5
Yass Surrounds,Tram/light rail,5
Yass Surrounds,"Tram/light rail, car as driver",6
Yass Surrounds,"Tram/light rail, car as passenger",5
Yass Surrounds,Taxi/ride-share service,3
Yass Surrounds,"Car, as driver",4079
Yass Surrounds,"Car as driver, car as passenger",18
Yass Surrounds,"Car as driver, truck",6
Yass Surrounds,"Car as driver, motorbike/scooter",3
Yass Surrounds,"Car as driver, bicycle",3
Yass Surrounds,"Car as driver, other",11
Yass Surrounds,"Car, as passenger",256
Yass Surrounds,Truck,125
Yass Surrounds,"Truck, motorbike/scooter",5
Yass Surrounds,Motorbike/scooter,36
Yass Surrounds,Bicycle,8
Yass Surrounds,Walked only,195
Yass Surrounds,Other,34
Yass Surrounds,Worked at home,1314
Yass Surrounds,Did not go to work,654
Yass Surrounds,Not stated,32
Yass Surrounds,Not applicable,5885
Young,Bus,6
Young,Ferry,3
Young,Taxi/ride-share service,10
Young,"Car, as driver",3145
Young,"Car as driver, car as passenger",5
Young,"Car as driver, motorbike/scooter",4
Young,"Car, as passenger",287
Young,Truck,63
Young,Motorbike/scooter,14
Young,Bicycle,6
Young,Walked only,176
Young,Other,21
Young,Worked at home,347
Young,Did not go to work,373
Young,Not stated,42
Young,Not applicable,6489
Young Surrounds,Bus,4
Young Surrounds,"Car, as driver",1996
Young Surrounds,"Car as driver, car as passenger",7
Young Surrounds,"Car as driver, truck",6
Young Surrounds,"Car, as passenger",92
Young Surrounds,Truck,61
Young Surrounds,Motorbike/scooter,8
Young Surrounds,Bicycle,3
Young Surrounds,Walked only,199
Young Surrounds,Other,49
Young Surrounds,Worked at home,568
Young Surrounds,Did not go to work,221
Young Surrounds,Not stated,37
Young Surrounds,Not applicable,4423
Avoca Beach - Copacabana,Train,19
Avoca Beach - Copacabana,"Train, bus",4
Avoca Beach - Copacabana,"Train, car as driver",16
Avoca Beach - Copacabana,Bus,11
Avoca Beach - Copacabana,Ferry,4
Avoca Beach - Copacabana,"Car, as driver",1592
Avoca Beach - Copacabana,"Car as driver, car as passenger",4
Avoca Beach - Copacabana,"Car, as passenger",110
Avoca Beach - Copacabana,Truck,29
Avoca Beach - Copacabana,Motorbike/scooter,10
Avoca Beach - Copacabana,Walked only,46
Avoca Beach - Copacabana,Other,11
Avoca Beach - Copacabana,Worked at home,1300
Avoca Beach - Copacabana,Did not go to work,555
Avoca Beach - Copacabana,Not stated,12
Avoca Beach - Copacabana,Not applicable,3783
Box Head - MacMasters Beach,Train,33
Box Head - MacMasters Beach,"Train, bus",4
Box Head - MacMasters Beach,"Train, car as driver",20
Box Head - MacMasters Beach,"Train, car as passenger",3
Box Head - MacMasters Beach,"Train, bus, car as driver",3
Box Head - MacMasters Beach,"Train, car as driver, car as passenger",3
Box Head - MacMasters Beach,"Train, car as passenger, other",4
Box Head - MacMasters Beach,Bus,9
Box Head - MacMasters Beach,"Bus, car as driver",4
Box Head - MacMasters Beach,Ferry,4
Box Head - MacMasters Beach,"Ferry, car as driver",3
Box Head - MacMasters Beach,"Car, as driver",2114
Box Head - MacMasters Beach,"Car as driver, car as passenger",9
Box Head - MacMasters Beach,"Car as driver, other",8
Box Head - MacMasters Beach,"Car, as passenger",101
Box Head - MacMasters Beach,Truck,34
Box Head - MacMasters Beach,Motorbike/scooter,14
Box Head - MacMasters Beach,Bicycle,5
Box Head - MacMasters Beach,Walked only,33
Box Head - MacMasters Beach,Other,15
Box Head - MacMasters Beach,Worked at home,1702
Box Head - MacMasters Beach,Did not go to work,692
Box Head - MacMasters Beach,Not stated,11
Box Head - MacMasters Beach,Not applicable,6198
Calga - Kulnura,Train,7
Calga - Kulnura,"Train, car as driver",8
Calga - Kulnura,Bus,6
Calga - Kulnura,"Ferry, car as driver",6
Calga - Kulnura,"Car, as driver",926
Calga - Kulnura,"Car as driver, other",4
Calga - Kulnura,"Car, as passenger",60
Calga - Kulnura,Truck,48
Calga - Kulnura,Motorbike/scooter,6
Calga - Kulnura,Bicycle,4
Calga - Kulnura,Walked only,127
Calga - Kulnura,Other,31
Calga - Kulnura,Worked at home,721
Calga - Kulnura,Did not go to work,296
Calga - Kulnura,Not stated,31
Calga - Kulnura,Not applicable,2426
Erina - Green Point,Train,27
Erina - Green Point,"Train, bus",10
Erina - Green Point,"Train, car as driver",12
Erina - Green Point,"Train, car as passenger",8
Erina - Green Point,Bus,25
Erina - Green Point,"Bus, car as driver",3
Erina - Green Point,Taxi/ride-share service,3
Erina - Green Point,"Car, as driver",2696
Erina - Green Point,"Car as driver, car as passenger",8
Erina - Green Point,"Car as driver, truck",4
Erina - Green Point,"Car as driver, motorbike/scooter",6
Erina - Green Point,"Car as driver, other",4
Erina - Green Point,"Car, as passenger",169
Erina - Green Point,Truck,33
Erina - Green Point,Motorbike/scooter,12
Erina - Green Point,Bicycle,13
Erina - Green Point,Walked only,79
Erina - Green Point,Other,18
Erina - Green Point,Worked at home,1840
Erina - Green Point,Did not go to work,899
Erina - Green Point,Not stated,23
Erina - Green Point,Not applicable,8864
Gosford - Springfield,Train,175
Gosford - Springfield,"Train, bus",63
Gosford - Springfield,"Train, Tram/light rail",4
Gosford - Springfield,"Train, Taxi/ride-share service",3
Gosford - Springfield,"Train, car as driver",32
Gosford - Springfield,"Train, car as passenger",8
Gosford - Springfield,"Train, other",5
Gosford - Springfield,"Train, bus, Taxi/ride-share service",3
Gosford - Springfield,"Train, bus, car as driver",5
Gosford - Springfield,"Train, bus, car as passenger",7
Gosford - Springfield,"Train, bus, other",3
Gosford - Springfield,Bus,152
Gosford - Springfield,"Bus, car as driver",4
Gosford - Springfield,"Bus, car as passenger",14
Gosford - Springfield,"Bus, bicycle",3
Gosford - Springfield,"Bus, car as driver, car as passenger",4
Gosford - Springfield,Taxi/ride-share service,14
Gosford - Springfield,"Taxi/ride-share service, car as passenger",6
Gosford - Springfield,"Car, as driver",4508
Gosford - Springfield,"Car as driver, car as passenger",11
Gosford - Springfield,"Car as driver, truck",4
Gosford - Springfield,"Car as driver, motorbike/scooter",8
Gosford - Springfield,"Car as driver, other",9
Gosford - Springfield,"Car, as passenger",343
Gosford - Springfield,Truck,44
Gosford - Springfield,Motorbike/scooter,36
Gosford - Springfield,Bicycle,24
Gosford - Springfield,Walked only,274
Gosford - Springfield,Other,42
Gosford - Springfield,Worked at home,2865
Gosford - Springfield,Did not go to work,1537
Gosford - Springfield,Not stated,43
Gosford - Springfield,Not applicable,10954
Kariong,Train,10
Kariong,"Train, bus",3
Kariong,"Train, car as driver",12
Kariong,"Train, car as passenger",3
Kariong,"Train, bus, other",4
Kariong,Bus,19
Kariong,"Bus, car as driver",3
Kariong,Taxi/ride-share service,4
Kariong,"Car, as driver",1695
Kariong,"Car as driver, car as passenger",4
Kariong,"Car, as passenger",121
Kariong,Truck,20
Kariong,Motorbike/scooter,16
Kariong,Walked only,30
Kariong,Other,14
Kariong,Worked at home,850
Kariong,Did not go to work,527
Kariong,Not stated,19
Kariong,Not applicable,3135
Kincumber - Picketts Valley,Train,12
Kincumber - Picketts Valley,"Train, bus",4
Kincumber - Picketts Valley,"Train, car as driver",13
Kincumber - Picketts Valley,Bus,10
Kincumber - Picketts Valley,Taxi/ride-share service,4
Kincumber - Picketts Valley,"Car, as driver",1531
Kincumber - Picketts Valley,"Car as driver, car as passenger",3
Kincumber - Picketts Valley,"Car, as passenger",102
Kincumber - Picketts Valley,Truck,20
Kincumber - Picketts Valley,Motorbike/scooter,7
Kincumber - Picketts Valley,Bicycle,5
Kincumber - Picketts Valley,Walked only,43
Kincumber - Picketts Valley,Other,13
Kincumber - Picketts Valley,Worked at home,788
Kincumber - Picketts Valley,Did not go to work,495
Kincumber - Picketts Valley,Not stated,7
Kincumber - Picketts Valley,Not applicable,4569
Narara,Train,39
Narara,"Train, bus",10
Narara,"Train, car as driver",14
Narara,Bus,7
Narara,"Bus, car as driver",3
Narara,Taxi/ride-share service,5
Narara,"Car, as driver",1693
Narara,"Car as driver, car as passenger",9
Narara,"Car, as passenger",137
Narara,Truck,18
Narara,Motorbike/scooter,27
Narara,Bicycle,7
Narara,Walked only,20
Narara,Other,16
Narara,Worked at home,941
Narara,Did not go to work,565
Narara,Not stated,15
Narara,Not applicable,3630
Niagara Park - Lisarow,Train,38
Niagara Park - Lisarow,"Train, bus",7
Niagara Park - Lisarow,"Train, car as driver",8
Niagara Park - Lisarow,"Train, bicycle",4
Niagara Park - Lisarow,Bus,10
Niagara Park - Lisarow,"Car, as driver",1926
Niagara Park - Lisarow,"Car as driver, car as passenger",10
Niagara Park - Lisarow,"Car as driver, truck",4
Niagara Park - Lisarow,"Car, as passenger",136
Niagara Park - Lisarow,Truck,32
Niagara Park - Lisarow,Motorbike/scooter,13
Niagara Park - Lisarow,Bicycle,7
Niagara Park - Lisarow,Walked only,39
Niagara Park - Lisarow,Other,19
Niagara Park - Lisarow,Worked at home,1128
Niagara Park - Lisarow,Did not go to work,625
Niagara Park - Lisarow,Not stated,6
Niagara Park - Lisarow,Not applicable,4181
Point Clare - Koolewong,Train,65
Point Clare - Koolewong,"Train, bus",15
Point Clare - Koolewong,"Train, car as driver",6
Point Clare - Koolewong,"Train, car as passenger",6
Point Clare - Koolewong,"Train, bicycle",4
Point Clare - Koolewong,Bus,18
Point Clare - Koolewong,"Bus, car as passenger",5
Point Clare - Koolewong,"Ferry, car as driver",10
Point Clare - Koolewong,"Car, as driver",1187
Point Clare - Koolewong,"Car, as passenger",83
Point Clare - Koolewong,Truck,14
Point Clare - Koolewong,Motorbike/scooter,13
Point Clare - Koolewong,Bicycle,7
Point Clare - Koolewong,Walked only,19
Point Clare - Koolewong,Other,10
Point Clare - Koolewong,Worked at home,1049
Point Clare - Koolewong,Did not go to work,451
Point Clare - Koolewong,Not stated,13
Point Clare - Koolewong,Not applicable,3589
Saratoga - Davistown,Train,14
Saratoga - Davistown,"Train, car as driver",10
Saratoga - Davistown,Bus,10
Saratoga - Davistown,"Ferry, car as driver",4
Saratoga - Davistown,"Car, as driver",1621
Saratoga - Davistown,"Car as driver, car as passenger",3
Saratoga - Davistown,"Car as driver, truck",3
Saratoga - Davistown,"Car, as passenger",87
Saratoga - Davistown,Truck,31
Saratoga - Davistown,Motorbike/scooter,9
Saratoga - Davistown,Walked only,18
Saratoga - Davistown,Other,13
Saratoga - Davistown,Worked at home,957
Saratoga - Davistown,Did not go to work,543
Saratoga - Davistown,Not stated,22
Saratoga - Davistown,Not applicable,3802
Terrigal - North Avoca,Train,19
Terrigal - North Avoca,"Train, bus",4
Terrigal - North Avoca,"Train, car as driver",11
Terrigal - North Avoca,"Train, bus, car as driver",4
Terrigal - North Avoca,"Train, bus, car as passenger",6
Terrigal - North Avoca,Bus,18
Terrigal - North Avoca,"Bus, car as passenger",3
Terrigal - North Avoca,"Bus, car as driver, car as passenger",4
Terrigal - North Avoca,"Car, as driver",3170
Terrigal - North Avoca,"Car as driver, car as passenger",13
Terrigal - North Avoca,"Car as driver, other",7
Terrigal - North Avoca,"Car, as passenger",177
Terrigal - North Avoca,Truck,44
Terrigal - North Avoca,Motorbike/scooter,16
Terrigal - North Avoca,Bicycle,13
Terrigal - North Avoca,Walked only,89
Terrigal - North Avoca,Other,25
Terrigal - North Avoca,Worked at home,2431
Terrigal - North Avoca,Did not go to work,1081
Terrigal - North Avoca,Not stated,23
Terrigal - North Avoca,Not applicable,7683
Umina - Booker Bay - Patonga,Train,156
Umina - Booker Bay - Patonga,"Train, bus",83
Umina - Booker Bay - Patonga,"Train, Taxi/ride-share service",4
Umina - Booker Bay - Patonga,"Train, car as driver",51
Umina - Booker Bay - Patonga,"Train, car as passenger",8
Umina - Booker Bay - Patonga,"Train, bicycle",7
Umina - Booker Bay - Patonga,"Train, bus, Taxi/ride-share service",3
Umina - Booker Bay - Patonga,"Train, bus, car as driver",6
Umina - Booker Bay - Patonga,"Train, bus, car as passenger",3
Umina - Booker Bay - Patonga,Bus,62
Umina - Booker Bay - Patonga,"Bus, ferry",5
Umina - Booker Bay - Patonga,"Bus, Taxi/ride-share service",3
Umina - Booker Bay - Patonga,"Bus, car as driver",3
Umina - Booker Bay - Patonga,"Bus, car as passenger",8
Umina - Booker Bay - Patonga,"Bus, ferry, car as driver",5
Umina - Booker Bay - Patonga,Ferry,10
