"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","TOTAL_COMMUTERS_OD","CBD_DEPENDENCY_RATE"
2016,121031408,"Lindfield - Roseville",3313,10484,0.3160053414727203357497138496756962991225
2021,103011061,"Oberon",15,1906,0.007869884575026232948583420776495278069255
2021,109021179,"Wentworth-Balranald Region",0,1194,0
2011,102011035,"Narara",0,2029,0
2016,101041021,"Broulee - Tomakin",0,1103,0
2016,106031125,"Williamtown - Medowie - Karuah",18,5538,0.003250270855904658721560130010834236186349
2016,107041150,"Woonona - Bulli - Russell Vale",605,8547,0.0707850707850707850707850707850707850708
2016,105011095,"Nyngan - Warren",0,1994,0
2021,119011655,"Greenacre - North",579,4144,0.1397200772200772200772200772200772200772
2021,117031331,"Glebe - Forest Lodge",7273,10935,0.6651120256058527663465935070873342478281
2021,116011303,"Blacktown (East) - Kings Park",782,7289,0.1072849499245438331732747976402798737824
2021,123021443,"Minto - St Andrews",963,8268,0.116473149492017416545718432510885341074
2021,127011596,"Hoxton Park - Carnes Hill - Horningsea Park",490,5306,0.0923482849604221635883905013192612137203
2016,109031185,"Tocumwal - Finley - Jerilderie",0,2872,0
2016,119021364,"Kingsgrove (North) - Earlwood",2970,10052,0.2954635893354556307202546756864305610824
2016,115011557,"Castle Hill - West",363,2553,0.14218566392479435957696827262044653349
2021,102011041,"Wamberal - Forresters Beach",268,4808,0.0557404326123128119800332778702163061564
2021,108041620,"Port Macquarie - South",61,6702,0.009101760668457176962100865413309459862728
2021,115011555,"Castle Hill - North",829,5542,0.1495849873691808011548177553229880909419
2021,124031459,"Emu Plains - Leonay",462,6465,0.071461716937354988399071925754060324826
2011,101041021,"Broulee - Tomakin",0,842,0
2016,122031430,"Manly Vale - Allambie Heights",1753,7964,0.2201155198392767453540934203917629331994
2016,107011546,"Port Kembla - Warrawong",78,2818,0.0276792051100070972320794889992902767921
2016,119041377,"Kingsgrove (South) - Bardwell Park",1562,5472,0.285453216374269005847953216374269005848
2016,120011383,"Concord - Mortlake - Cabarita",2479,10370,0.2390549662487945998071359691417550626808
2016,121021579,"Waitara - Wahroonga (West)",1105,4325,0.2554913294797687861271676300578034682081
2021,109031180,"Corowa",4,1791,0.002233389168062534896705750977107761027359
2021,121011687,"Willoughby",1999,6041,0.3309054792252938255255752358880979970204
2021,126021498,"Gladesville - Huntleys Point",2260,7819,0.2890395191200920833866223302212559150787
2011,102011037,"Point Clare - Koolewong",0,1502,0
2016,120021388,"Leichhardt - Annandale",6406,13952,0.4591456422018348623853211009174311926606
2016,119011572,"Bankstown - South",763,5317,0.1435019747978183186007146887342486364491
2021,106021116,"Maitland - North",22,4257,0.005167958656330749354005167958656330749354
2021,114011281,"Tomerong - Wandandian - Woollamia",15,1541,0.009733939000648929266709928617780661907852
2021,114011282,"Ulladulla",65,5825,0.011158798283261802575107296137339055794
2021,119021362,"Belmore - Belfield",1575,7321,0.2151345444611391886354323179893457177981
2021,117031330,"Erskineville - Alexandria",8326,12835,0.6486949746786131671211530970003895597974
2021,127011505,"Austral - Greendale",452,4957,0.0911841839822473270123058301391970950171
2021,125011586,"Lidcombe",1867,9011,0.2071912107424259238708245477749417378759
2011,101041019,"Bega - Tathra",0,3048,0
2016,101041018,"Batemans Bay - South",9,2577,0.003492433061699650756693830034924330616997
2016,107041147,"Helensburgh",643,4309,0.1492225574379206312369459271292643304711
2016,120011384,"Concord West - North Strathfield",3865,12080,0.319950331125827814569536423841059602649
2016,103031072,"Mudgee",11,4753,0.002314327792972859246791500105196717862403
2021,103031072,"Mudgee",31,5696,0.005442415730337078651685393258426966292135
2021,106011111,"Kurri Kurri - Abermain",13,8504,0.001528692380056444026340545625587958607714
2021,104011081,"Grafton Surrounds",0,5604,0
2021,114021285,"Hill Top - Colo Vale",73,2959,0.0246704967894558972625887124028387968908
2021,121031410,"St Ives",2157,9394,0.229614647647434532680434319778582073664
2011,102011029,"Box Head - MacMasters Beach",0,2821,0
2016,106031120,"Lemon Tree Passage - Tanilba Bay",3,2064,0.001453488372093023255813953488372093023256
