"CENSUS_YEAR","PT_COMMUTERS","PRIVATE_COMMUTERS","WFH_COMMUTERS","ACTIVE_COMMUTERS","MIXED_COMMUTERS","OTHER_COMMUTERS","TOTAL_COMMUTERS","PT_SHARE","PRIVATE_SHARE","WFH_SHARE","ACTIVE_SHARE","MIXED_SHARE","OTHER_SHARE"
2011,8713,177577,13005,8531,3788,1352,212966,0.0409126339415681376369936985246471267714,0.8338279349755360010518110872157997051172,0.0610660856662565855582581257102072631312,0.0400580374332053003765859339049425729929,0.0177868767784528985847506174694552182038,0.006348431204981076791600537174948113783421
2016,469562,2174692,162937,154232,66104,18772,3046299,0.1541417963239983993692017756628617217154,0.7138800229393109474808612023967443773576,0.0534868704615009885766301994649901404951,0.0506293046086415023607334670693848502724,0.0216997740536959766588900170337842739665,0.006162231612852185553683338372234636192967
2021,126586,1762267,1140995,106693,16570,17175,3170286,0.0399288896963870136637514722646474166684,0.555870038223680765710096817763444686063,0.3599028604990212239526654692983535239407,0.0336540614947673490656678924235857585089,0.005226657784187294143178249533322861092028,0.005417492301956353464640098716645753726951
