"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","CBD_DEPENDENCY_RATE","PT_SHARE","WFH_SHARE","MIXED_SHARE","TOTAL_COMMUTERS","CBD_GROWTH_RATE_16_21","BUS_CANDIDATE_SCORE"
2021,117031330,"Erskineville - Alexandria",8326,0.6486949746786131671211530970003895597974,0.0662328033610676332482082543866875360409,0.6778976851470467089546091111294175797018,0.001565203064502842079248702529038635801961,12139,0.2369633041152874758579705838656960332789,0.6347651195177252926690179521678285795089
2021,117031333,"Potts Point - Woolloomooloo",7603,0.7154417991907405664816034628775759856968,0.0894101481990381784277161644911178722151,0.6137991952105211502600844047502208263814,0.002748061635096672882520365099617234272254,10189,-0.1085707585883456442724821198264743815219,0.5937612003305738493728331335335855970369
2021,117031331,"Glebe - Forest Lodge",7273,0.6651120256058527663465935070873342478281,0.0686602400157387369663584497344088136927,0.6306315168207751327955931536494196340744,0.002459177650993507771001377139484556364352,10166,0.0739810986414648552864737152982870643828,0.5860780508197056960590723642107047756603
2021,117031645,"Sydney (South) - Haymarket",6737,0.6540141733812251237743908358411804679157,0.2562692476902771667399912010558732952046,0.3815442146942366915970083589969203695557,0.007039155301363836339639243290805103387593,9092,0,0.5647183580331931033564255246665502756802
2021,117031336,"Surry Hills",6584,0.6836257917142560481777593188661613539612,0.0976172175249807840122982321291314373559,0.6319314812781376962775886680575381574613,0.00164708466015153178873394092456352256506,9107,-0.0260355029585798816568047337278106508876,0.5397305955485201537859355916037208732217
2021,117031647,"Waterloo",5553,0.6418169209431345353675450762829403606103,0.0915283626455288580629180084220956155561,0.5865741887540252662868466683180579638345,0.004706465196928412187267773098835769135497,8074,0,0.5101854848649418713103066625453625807918
2021,117031640,"Newtown (NSW)",5575,0.6206167204720026717132361126572414560837,0.0790324512034486887797868518740270626272,0.6235181415399353370853789965273619925757,0.002873907316489043228355885522691893186445,8351,0,0.5021158020736446389951820446518639473203
2021,117011635,"Mascot",4908,0.4182716891085733765126981421510141469235,0.1567542213883677298311444652908067542214,0.4298311444652908067542213883677298311445,0.008818011257035647279549718574108818011257,10660,0,0.4996223206600731446033741560050994328174
2021,117021327,"Petersham - Stanmore",5377,0.4729943701618578465869106263194933145672,0.0777830864787386526516961299569995222169,0.6155757286192068800764452938365981844243,0.003535594839942666029622551361681796464405,10465,-0.0410201533797039415016943106830747280185,0.494948688793523918166994827304037842542
2021,108041164,"Port Macquarie - West",50,0.006368615462998344159979620430518405298688,0.005772586924419385152369445563162840649752,0.1169284467713787085514834205933682373473,0.000939723452812458048060142300979997315076,7449,5.25,0.4936219207421159737589205609174534146221
