"SA2_RES_CODE","SA2_RES_NAME_STD","WFH_RATE_2011","WFH_RATE_2016","WFH_RATE_2021","WFH_PP_CHANGE_11_16","WFH_PP_CHANGE_16_21"
104011082,"Maclean - Yamba - Iluka",,0.0765217391304347826086956521739130434783,0.1353061604317885724920900800297785222408,,0.0587844213013537898833944278558654787625
109031184,"Moama",,0.0532767562470532767562470532767562470533,0.1038712150249137600613261786124952088923,,0.050594458777860483305079125335738961839
116011560,"Blacktown (South)",,0.0189401571630062462220431190812008865605,,,
120021387,"Balmain",,0.0871661237785016286644951140065146579805,0.6796347757046447002778880508138150059547,,0.5924686519261430716133929368073003479742
122031432,"Terrey Hills - Duffys Forest",,0.110701107011070110701107011070110701107,0.4704370179948586118251928020565552699229,,0.3597359109837885011240857909864445688159
124031459,"Emu Plains - Leonay",,0.04128,0.380944206008583690987124463519313304721,,0.339664206008583690987124463519313304721
101041019,"Bega - Tathra",0.0581317204301075268817204301075268817204,0.0593333333333333333333333333333333333333,0.1075364909145070002978850163836759011022,0.0012016129032258064516129032258064516129,0.0482031575811736669645516830503425677689
103011061,"Oberon",0.1035856573705179282868525896414342629482,0.0992990654205607476635514018691588785047,0.1318082788671023965141612200435729847495,-0.0042865919499571806233011877722753844435,0.0325092134465416488506098181744141062448
106031123,"Seaham - Woodville",,0.0754400670578373847443419949706621961442,0.2366746221161495624502784407319013524264,,0.1612345550583121777059364457612391562822
111021221,"West Wallsend - Barnsley - Killingworth",,0.0260707635009310986964618249534450651769,0.1577741407528641571194762684124386252046,,0.1317033772519330584230144434589935600277
114011275,"Ettrema - Sassafras - Budawang",,0.2142857142857142857142857142857142857143,0.3333333333333333333333333333333333333333,,0.119047619047619047619047619047619047619
124051581,"St Marys - North St Marys",,0.0173182441700960219478737997256515775034,0.2315333212931190175185118295105652880621,,0.2142150771230229955706380297849137105587
123021706,"Macquarie Fields",,,0.2698683568990736226231106777181862506095,,
125041491,"Northmead",,0.0298721340388007054673721340388007054674,0.4998857665067397761023532099611606122915,,0.4700136324679390706349810759223599068241
128011604,"Cronulla - Kurnell - Bundeena",,0.0522349717417365987326597020037677684535,0.4227584364704834832160982993500133558899,,0.3705234647287468844834385973462455874364
101061543,"Young",,0.0519869352204681545998911268372346216658,0.0849033520919990212870075850256912160509,,0.0329164168715308666871164581884565943851
102011036,"Niagara Park - Lisarow",0.0546382467727409186430501350945661963374,0.0525087514585764294049008168028004667445,0.3336291038154392191659272404614019520852,-0.0021294953141644892381493182917657295929,0.2811203523568627897610264236586014853407
102021055,"Tuggerah - Kangy Angy",0.0443756449948400412796697626418988648091,0.0583603520148216767021769337656322371468,0.2793005671077504725897920604914933837429,0.0139847070199816354225071711237333723377,0.2209402150929287958876151267258611465961
113031271,"Wagga Wagga Region",,0.1332583185982960938755827037453785565022,,,
120031575,"Strathfield",,0.0392408309823031546550397537830212875096,,,
123011435,"Mount Annan - Currans Hill",,0.0312386750742915126476770312386750742915,,,
123031447,"Picton - Tahmoor - Buxton",,0.0496939667735354124162051879918391139609,0.2547582304526748971193415637860082304527,,0.2050642636791394847031363757941691164918
124031464,"Penrith",,0.0248124639353721869590305828043854587421,0.3326201683069462273570104122093852517473,,0.3078077043715740403979798294049997930052
127011597,"West Hoxton - Middleton Grange",,0.0343632253202712886209495101733232856066,0.3702742171020606847314619503488560765861,,0.3359109917817893961105124401755327909795
102021051,"Ourimbah - Fountaindale",0.0713938805245264691597863040310830500243,0.057076566125290023201856148491879350348,0.31833254381809568924680246328754144955,-0.0143173143992364459579301555392036996763,0.261255977692805666044946314795662099202
108011153,"Forster-Tuncurry Surrounds",,,0.2033438770899231812019882512426570266606,,
107031139,"Kiama Downs - Minnamurra",,0.0585756426464391066160977665402444163506,0.3229078613693998309382924767540152155537,,0.2643322187229607243221947102137707992031
112011239,"Brunswick Heads - Ocean Shores",,0.1192970598175059141601892531260561000338,0.2665336374002280501710376282782212086659,,0.1472365775827221360108483751521651086321
114011278,"Nowra",,0.0367483296213808463251670378619153674833,0.0811654526534859521331945889698231009365,,0.0444171230321051058080275511079077334532
117011634,"Eastlakes",,,0.315552891818999100988912196583757866347,,
119011656,"Greenacre - South",,,0.3430749682337992376111817026683608640407,,
120031396,"Homebush",,0.02037012381839968046864598588736519771,0.4154434566880297705189166838949762249328,,0.3950733328696300900502706980076110272228
125031716,"South Wentworthville",,,0.3839164016356201726487960018173557473876,,
102021045,"Blue Haven - San Remo",0.0288620120945574491478834524463991203958,0.0273836196166293253671894448593477719691,0.1703310588829921657821582006570634318928,-0.0014783924779281237806940075870513484267,0.1429474392663628404149687557977156599237
103031070,"Lithgow",,0.0323319755600814663951120162932790224033,0.1135162345834382079033475962748552730934,,0.0811842590233567415082355799815762506901
111031226,"Maryland - Fletcher - Minmi",,0.0253229095853161114887831407205982324949,0.2225810981603707344474090717595843280438,,0.1972581885750546229586259310389860955489
118011346,"Rose Bay - Vaucluse - Watsons Bay",,0.1091093117408906882591093117408906882591,0.5797396257119609438567941415785191212368,,0.4706303139710702555976848298376284329777
119011356,"Condell Park",,0.0297079556898288016112789526686807653575,0.3247889022919179734620024125452352231604,,0.2950809466020891718507234598765544578029
119011359,"Panania - Milperra - Picnic Point",,0.036473342939481268011527377521613832853,,,
127011594,"Green Valley",,0.0230452674897119341563786008230452674897,0.2989397465735712438582880786139125937419,,0.2758944790838593097019094777908673262522
