"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","TOTAL_COMMUTERS_OD","INTERNAL_COMMUTERS","OUTFLOW_COMMUTERS","SELF_CONTAINMENT_RATE"
2021,119031373,"Riverwood",3953,416,3537,0.1052365292183152036428029344801416645586
2021,119041668,"Arncliffe - Bardwell Valley",7154,821,6333,0.1147609728823036063740564719038300251607
2021,120021675,"Leichhardt",9268,1571,7697,0.169507984462667242123435476909797151489
2021,121021403,"Asquith - Mount Colah",10960,1849,9111,0.1687043795620437956204379562043795620438
2021,127021510,"Bossley Park - Abbotsbury",6578,857,5721,0.1302827607175433262389784128914563697172
2021,127011592,"Badgerys Creek",4,0,4,0
2021,127011726,"Cobbitty - Bringelly",2189,349,1840,0.1594335312928277752398355413430790315212
2021,124031460,"Glenmore Park - Regentville",10863,1394,9469,0.1283255086071987480438184663536776212833
2021,124031708,"Jordan Springs - Llandilo",6482,738,5744,0.1138537488429497068805924097500771366862
2011,101041019,"Bega - Tathra",3048,2582,466,0.8471128608923884514435695538057742782152
2011,102011029,"Box Head - MacMasters Beach",2821,742,2079,0.2630272952853598014888337468982630272953
2011,101041021,"Broulee - Tomakin",842,287,555,0.340855106888361045130641330166270783848
2011,102011035,"Narara",2029,236,1793,0.1163134549038935436175455889600788565796
2011,102011037,"Point Clare - Koolewong",1502,284,1218,0.1890812250332889480692410119840213049268
2016,101041018,"Batemans Bay - South",2577,695,1882,0.2696934419868063639891346526969344198681
2016,119021363,"Canterbury (South) - Campsie",12942,1646,11296,0.1271828156390047906042342760006181424818
2016,101041021,"Broulee - Tomakin",1103,367,736,0.3327289211242067089755213055303717135086
2016,102021046,"Budgewoi - Buff Point - Halekulani",3227,476,2751,0.1475054229934924078091106290672451193059
2016,106031120,"Lemon Tree Passage - Tanilba Bay",2064,531,1533,0.2572674418604651162790697674418604651163
2016,106031125,"Williamtown - Medowie - Karuah",5538,1961,3577,0.3540989526905019862766341639581076200795
2016,107041147,"Helensburgh",4309,1021,3288,0.2369459271292643304711069853794383847761
2016,107041150,"Woonona - Bulli - Russell Vale",8547,1512,7035,0.1769041769041769041769041769041769041769
2016,111011206,"Belmont - Bennetts Green",7122,1596,5526,0.2240943555181128896377422072451558550969
2016,122031430,"Manly Vale - Allambie Heights",7964,1231,6733,0.1545705675539929683576092415871421396283
2016,128011529,"Gymea - Grays Point",8733,1124,7609,0.1287072025649833963128363678002977212871
2016,107011546,"Port Kembla - Warrawong",2818,703,2115,0.2494677075940383250532292405961674946771
2016,109031185,"Tocumwal - Finley - Jerilderie",2872,2716,156,0.9456824512534818941504178272980501392758
2016,119041377,"Kingsgrove (South) - Bardwell Park",5472,542,4930,0.0990497076023391812865497076023391812865
2016,120011383,"Concord - Mortlake - Cabarita",10370,1418,8952,0.1367405978784956605593056894889103182257
2016,120021388,"Leichhardt - Annandale",13952,2021,11931,0.1448537844036697247706422018348623853211
2016,125021478,"Oatlands - Dundas Valley",7520,803,6717,0.1067819148936170212765957446808510638298
2016,103021064,"Cowra Region",2112,1229,883,0.5819128787878787878787878787878787878788
2016,120011384,"Concord West - North Strathfield",12080,1775,10305,0.1469370860927152317880794701986754966887
2016,121021579,"Waitara - Wahroonga (West)",4325,357,3968,0.0825433526011560693641618497109826589595
2016,119011572,"Bankstown - South",5317,789,4528,0.148391950347940567989467744968967462855
2016,127021510,"Bossley Park - Abbotsbury",7618,773,6845,0.1014702021527960094512995536886321869257
2016,125021477,"Ermington - Rydalmere",9162,1277,7885,0.1393800480244488103034271993014625627592
2016,118021564,"Kensington (NSW)",6215,1001,5214,0.161061946902654867256637168141592920354
2016,105011095,"Nyngan - Warren",1994,1864,130,0.9348044132397191574724172517552657973922
2016,103031072,"Mudgee",4753,3591,1162,0.7555228276877761413843888070692194403535
2016,104021088,"Korora - Emerald Beach",3742,725,3017,0.1937466595403527525387493319080705505077
2016,111031223,"Beresfield - Hexham",2968,704,2264,0.237196765498652291105121293800539083558
2016,119021364,"Kingsgrove (North) - Earlwood",10052,1180,8872,0.1173895742140867489056904098686828491842
2016,119011358,"Padstow",7186,761,6425,0.105900361814639576955190648483161703312
2016,115011557,"Castle Hill - West",2553,256,2297,0.1002741872307089698394046220133176654916
2016,118011346,"Rose Bay - Vaucluse - Watsons Bay",5145,1152,3993,0.2239067055393586005830903790087463556851
2021,101041017,"Batemans Bay",2757,1921,836,0.6967718534639100471527022125498730504171
2021,102011041,"Wamberal - Forresters Beach",4808,924,3884,0.192179700499168053244592346089850249584
2021,103011059,"Bathurst - East",5475,1571,3904,0.2869406392694063926940639269406392694064
2021,103021062,"Condobolin",2514,2297,217,0.9136833731105807478122513922036595067621
2021,103031072,"Mudgee",5696,4164,1532,0.7310393258426966292134831460674157303371
2021,106011111,"Kurri Kurri - Abermain",8504,1655,6849,0.1946142991533396048918156161806208842897
2021,106021116,"Maitland - North",4257,570,3687,0.133897110641296687808315715292459478506
2021,104011081,"Grafton Surrounds",5604,1700,3904,0.3033547466095645967166309778729478943612
2021,105011093,"Cobar",1770,1704,66,0.9627118644067796610169491525423728813559
2021,107031136,"Albion Park - Macquarie Pass",9247,1375,7872,0.1486968746620525575862441873039904834
2021,107031139,"Kiama Downs - Minnamurra",2595,426,2169,0.1641618497109826589595375722543352601156
2021,107031140,"Kiama Hinterland - Gerringong",3455,1179,2276,0.3412445730824891461649782923299565846599
2021,109031180,"Corowa",1791,1500,291,0.8375209380234505862646566164154103852596
2021,108041620,"Port Macquarie - South",6702,1644,5058,0.2452999104744852282900626678603401969561
2021,111011210,"Mount Hutton - Windale",3328,412,2916,0.1237980769230769230769230769230769230769
2021,113031263,"Cootamundra",2628,2179,449,0.8291476407914764079147640791476407914764
2021,113031264,"Gundagai",1528,1200,328,0.7853403141361256544502617801047120418848
2021,112011237,"Ballina Surrounds",7959,2821,5138,0.354441512752858399296394019349164467898
2021,114011281,"Tomerong - Wandandian - Woollamia",1541,302,1239,0.1959766385463984425697598961713173264114
2021,114011282,"Ulladulla",5825,4690,1135,0.8051502145922746781115879828326180257511
2021,114021285,"Hill Top - Colo Vale",2959,410,2549,0.1385603244339303818857722203447110510308
2021,115011291,"Baulkham Hills (West) - Bella Vista",10426,2300,8126,0.2206023403030884327642432380586994053328
2021,119021362,"Belmore - Belfield",7321,983,6338,0.1342712744160633793197650594181122797432
2021,118021567,"Maroubra - South",4779,663,4116,0.1387319522912743251726302573760200878845
2021,118021568,"Maroubra - West",4832,660,4172,0.1365894039735099337748344370860927152318
2021,119011655,"Greenacre - North",4144,798,3346,0.1925675675675675675675675675675675675676
2021,118021570,"Randwick - South",6801,1436,5365,0.2111454197912071754153800911630642552566
2021,117031331,"Glebe - Forest Lodge",10935,1617,9318,0.147873799725651577503429355281207133059
2021,115011555,"Castle Hill - North",5542,997,4545,0.1798989534464092385420425839047275351859
2021,116011303,"Blacktown (East) - Kings Park",7289,1223,6066,0.1677870764165180408835231170256550967211
2021,117031330,"Erskineville - Alexandria",12835,1745,11090,0.1359563693026879626022594468250876509544
2021,123021443,"Minto - St Andrews",8268,1381,6887,0.1670295113691340106434446057087566521529
2021,122021421,"Bayview - Elanora Heights",4836,1291,3545,0.2669561621174524400330851943755169561621
2021,121031410,"St Ives",9394,2138,7256,0.2275920800510964445390674898871620183096
2021,122031424,"Beacon Hill - Narraweena",6659,1067,5592,0.1602342694098212944886619612554437603244
2021,119031664,"Hurstville - Central",5636,704,4932,0.1249112845990063875088715400993612491128
2021,119041377,"Kingsgrove (South) - Bardwell Park",5463,658,4805,0.1204466410397217645982061138568552077613
2021,121011687,"Willoughby",6041,1012,5029,0.1675219334547260387353087237212382055951
2021,119041381,"Rockdale - Banksia",9322,1081,8241,0.1159622398626904097833083029392834155761
2021,127021520,"St Johns Park - Wakeley",3420,354,3066,0.1035087719298245614035087719298245614035
2021,127011505,"Austral - Greendale",4957,1130,3827,0.2279604599556183175307645753479927375429
2021,126021498,"Gladesville - Huntleys Point",7819,1365,6454,0.1745747538048343777976723366159355416294
2021,127011596,"Hoxton Park - Carnes Hill - Horningsea Park",5306,620,4686,0.1168488503580851865812287975876366377686
2021,124031459,"Emu Plains - Leonay",6465,1181,5284,0.1826759474091260634184068058778035576179
2021,125041493,"Toongabbie - Constitution Hill",9652,1054,8598,0.1092001657687525901367592208868628263572
2021,125011586,"Lidcombe",9011,1437,7574,0.1594717567417600710243036288980135390079
2011,102011032,"Gosford - Springfield",5110,2459,2651,0.4812133072407045009784735812133072407045
2016,101021011,"Queanbeyan Region",2713,1534,1179,0.5654257279764098783634353114633247327682
2016,101041017,"Batemans Bay",2295,1670,625,0.7276688453159041394335511982570806100218
2016,113031263,"Cootamundra",2625,2293,332,0.8735238095238095238095238095238095238095
2016,102011028,"Avoca Beach - Copacabana",3313,695,2618,0.2097796559009960760639903410805916088138
2016,108011152,"Forster",4228,2572,1656,0.6083254493850520340586565752128666035951
2016,113031271,"Wagga Wagga Region",6604,2940,3664,0.4451847365233192004845548152634766807995
2016,119031369,"Mortdale - Penshurst",11550,1087,10463,0.0941125541125541125541125541125541125541
2016,119041382,"Sans Souci - Ramsgate",7077,865,6212,0.1222269323159530874664405821675851349442
2016,127011506,"Cobbitty - Leppington",8326,1226,7100,0.1472495796300744655296661061734326207062
2016,121011400,"Lane Cove - Greenwich",13333,2218,11115,0.166354158853971349283732093302332558314
2016,101041022,"Deua - Wadbilliga",3,0,3,0
2016,107041549,"Wollongong - West",6873,1086,5787,0.1580096027935399388913138367525098210388
2016,110041203,"Tamworth - North",6386,3360,3026,0.5261509552145317882868775446288756655183
2016,116021310,"Parklea - Kellyville Ridge",15464,1566,13898,0.1012674599068804966373512674599068804966
2016,116031317,"Mount Druitt - Whalan",7608,997,6611,0.1310462670872765509989484752891692954784
2016,120011386,"Five Dock - Abbotsford",9894,1329,8565,0.1343238326258338386901152213462704669497
2016,125011473,"Homebush Bay - Silverwater",8642,1325,7317,0.1533209905114556815551955565841240453599
2016,103011061,"Oberon",1790,1485,305,0.8296089385474860335195530726256983240223
2016,125011583,"Auburn - North",4523,325,4198,0.0718549635197877514923723192571302233031
2016,127021520,"St Johns Park - Wakeley",4051,307,3744,0.0757837570970130831893359664280424586522
2016,111011211,"Redhead",1390,217,1173,0.1561151079136690647482014388489208633094
2016,111021217,"Edgeworth - Cameron Park",6289,680,5609,0.1081252981396088408332008268405151852441
2016,126011496,"Pennant Hills - Cheltenham",9703,1481,8222,0.1526332062248789034319282696073379367206
2016,121011398,"Chatswood (East) - Artarmon",13214,2840,10374,0.2149235659149387013773270773422128046012
2016,119031371,"Oatley - Hurstville Grove",5963,653,5310,0.1095086365923193023645815864497736038907
2016,121011401,"St Leonards - Naremburn",6186,1044,5142,0.1687681862269641125121241513094083414161
2016,122031432,"Terrey Hills - Duffys Forest",1653,452,1201,0.2734422262552934059286146400483968542045
2016,127011505,"Austral - Greendale",3509,1108,2401,0.3157594756340837845540039897406668566543
2016,126021498,"Gladesville - Huntleys Point",7015,1018,5997,0.1451176051318602993585174625801853171775
2016,124011455,"Wentworth Falls",2270,543,1727,0.2392070484581497797356828193832599118943
2016,103021068,"Parkes Region",1262,782,480,0.6196513470681458003169572107765451664025
2016,105031105,"Narromine",2473,1821,652,0.7363526081682167408006469874646178730287
2016,109011176,"Lavington",4305,1360,2945,0.3159117305458768873403019744483159117305
2016,114011276,"Huskisson - Vincentia",1459,595,864,0.4078135709389993145990404386566141192598
2016,112031552,"Tweed Heads South",1539,704,835,0.4574398960363872644574398960363872644574
2016,119021362,"Belmore - Belfield",7415,836,6579,0.1127444369521240728253540121375590020229
2016,118011340,"Bondi Beach - North Bondi",11331,1801,9530,0.1589444885711764186744329714941311446474
2016,128021537,"Royal National Park",9,6,3,0.6666666666666666666666666666666666666667
2021,101031016,"Jindabyne - Berridale",4233,3591,642,0.8483345145287030474840538625088589652729
2021,102011042,"Woy Woy - Blackwall",5163,1342,3821,0.2599263993802053069920588804958357544064
2021,106011113,"Singleton Surrounds",2401,971,1430,0.4044148271553519366930445647646813827572
2021,104021091,"Woolgoolga - Arrawarra",5718,2594,3124,0.4536551241692899615250087443161944735922
2021,106041127,"Muswellbrook Surrounds",1949,927,1022,0.4756285274499743458183683940482298614674
2021,108021157,"Macksville - Scotts Head",1594,935,659,0.586574654956085319949811794228356336261
2021,108031161,"Lord Howe Island",216,216,0,1
2021,110041199,"Gunnedah",4044,3008,1036,0.7438180019782393669634025717111770524233
2021,111011213,"Valentine - Eleebana",5773,729,5044,0.126277498700848778797852069980945782089
2021,111031223,"Beresfield - Hexham",3309,761,2548,0.2299788455726805681474765790268963433061
2021,111031227,"Mayfield - Warabrook",7326,1376,5950,0.1878241878241878241878241878241878241878
2021,112011241,"Evans Head",1967,906,1061,0.4605998983223182511438739196746314184037
2021,112011242,"Lennox Head - Skennars Head",4268,1340,2928,0.3139643861293345829428303655107778819119
2021,111031231,"Shortland - Jesmond",5171,790,4381,0.1527750918584413072906594469154902339973
2021,119011355,"Chullora",595,61,534,0.1025210084033613445378151260504201680672
2021,119011571,"Bankstown - North",5410,694,4716,0.1282809611829944547134935304990757855823
2021,118021652,"Malabar - La Perouse",4074,755,3319,0.1853215513009327442317133038782523318606
2021,118011340,"Bondi Beach - North Bondi",11470,2449,9021,0.2135135135135135135135135135135135135135
2021,115021298,"Galston - Laughtondale",2333,791,1542,0.339048435490784397771110158594084869267
2021,115041301,"Pitt Town - McGraths Hill",5419,1729,3690,0.3190625576674663221996678353939841299133
2021,116031315,"Hassall Grove - Plumpton",9328,954,8374,0.1022727272727272727272727272727272727273
2021,115041624,"North Kellyville",8467,1038,7429,0.1225935986772174323845517892996338726822
2021,123011698,"Currans Hill",3095,512,2583,0.1654281098546042003231017770597738287561
2021,121041416,"Neutral Bay - Kirribilli",9596,1573,8023,0.1639224676948728636932055022926219258024
2021,123021438,"Claymore - Eagle Vale - Raby",8237,941,7296,0.1142406215855287119096758528590506252276
2021,120011672,"Concord West - North Strathfield",6121,876,5245,0.1431138702826335566083973206992321516092
2021,127021517,"Greenfield Park - Prairiewood",2576,388,2188,0.1506211180124223602484472049689440993789
2021,127021511,"Cabramatta - Lansvale",7193,1218,5975,0.1693312943139163075212011678020297511469
2021,125031714,"Merrylands - Holroyd",7519,1000,6519,0.1329964090969543822316797446468945338476
2021,125031716,"South Wentworthville",2539,280,2259,0.1102796376526191413942497046081134304844
2011,101041017,"Batemans Bay",2081,1614,467,0.7755886592984142239308024987986544930322
2011,102011034,"Kincumber - Picketts Valley",1968,534,1434,0.2713414634146341463414634146341463414634
2016,101021010,"Queanbeyan - East",852,295,557,0.3462441314553990610328638497652582159624
2016,101041027,"Narooma - Bermagui",2509,2059,450,0.8206456755679553607014746911119968114787
2016,101041023,"Eden",1054,789,265,0.7485768500948766603415559772296015180266
2016,102021044,"Bateau Bay - Killarney Vale",8536,1740,6796,0.2038425492033739456419868791002811621368
2016,106021115,"Maitland - East",11375,2718,8657,0.2389450549450549450549450549450549450549
2016,122021422,"Newport - Bilgola",6478,1490,4988,0.2300092621179376350725532571781414016672
2016,122031431,"Narrabeen - Collaroy",11976,2110,9866,0.1761857047428189712758851035404141616566
2016,124041466,"Richmond - Clarendon",5926,1973,3953,0.3329395882551468106648666891663854201822
2016,121011402,"Willoughby - Castle Cove - Northbridge",11517,2079,9438,0.1805157593123209169054441260744985673352
2016,110031197,"Narrabri",2996,2497,499,0.8334445927903871829105473965287049399199
2016,111021219,"Toronto - Awaba",4903,1376,3527,0.2806445033652865592494391189067917601468
2016,107041548,"Wollongong - East",5961,2142,3819,0.3593356819325616507297433316557624559638
2016,116021312,"Riverstone - Marsden Park",7909,1298,6611,0.1641168289290681502086230876216968011127
2016,123021438,"Claymore - Eagle Vale - Raby",8956,835,8121,0.0932335864225100491290754801250558284949
2016,101061543,"Young",3887,3442,445,0.8855158219706714689992281965526112683303
2016,102021051,"Ourimbah - Fountaindale",2280,309,1971,0.1355263157894736842105263157894736842105
2016,112031254,"Tweed Heads",3866,2004,1862,0.5183652353854112778065183652353854112778
2016,117031337,"Sydney - Haymarket - The Rocks",14503,7807,6696,0.5383024201889264290146866165620906019444
2016,118011343,"Double Bay - Bellevue Hill",12370,2393,9977,0.1934518997574777687954729183508488278092
2016,121031407,"Gordon - Killara",9422,1437,7985,0.1525153895139036298025896837189556357461
2016,120031390,"Ashfield",12043,1278,10765,0.1061197376069085775969442829859669517562
2016,113031270,"Wagga Wagga - West",5307,3370,1937,0.6350103636706237045411720369323534953835
2016,102011035,"Narara",3073,243,2830,0.0790758216726326065733810608525870484868
2016,103011058,"Bathurst",10010,7256,2754,0.7248751248751248751248751248751248751249
2016,124031458,"Castlereagh - Cranebrook",11524,1300,10224,0.1128080527594585213467545990975355779243
2016,119041380,"Monterey - Brighton-le-Sands - Kyeemagh",6103,689,5414,0.112895297394723906275602162870719318368
2016,108041165,"Port Macquarie Region",2089,690,1399,0.3303015797032072762087123025370990904739
2016,125031482,"Greystanes - Pemulwuy",11370,1291,10079,0.113544415127528583992963940193491644679
2016,127031598,"Liverpool",8158,1661,6497,0.2036038244667810737925962245648443245894
2016,119011360,"Revesby",6892,784,6108,0.1137550783517121300058038305281485780615
2016,119041375,"Arncliffe - Bardwell Valley",10519,926,9593,0.0880311816712615267610989637798269797509
2016,125041489,"North Parramatta",10145,1049,9096,0.103400689995071463775258748151798915722
2016,127031522,"Casula",6217,700,5517,0.1125944989544796525655460833199292263149
2016,110021190,"Glen Innes",3007,2811,196,0.9348187562354506152311273694712337878284
2016,127011595,"Hinchinbrook",5293,348,4945,0.0657472133005856791989419988664273568865
2016,107011547,"Windang - Primbee",1426,125,1301,0.0876577840112201963534361851332398316971
2016,107031137,"Albion Park Rail",2655,357,2298,0.134463276836158192090395480225988700565
2016,128021538,"Sutherland - Kirrawee",10234,1585,8649,0.1548759038499120578463943717021692397889
2016,118021348,"Coogee - Clovelly",13529,1679,11850,0.1241037770714760884026905166678985882179
2016,117011320,"Banksmeadow",9,6,3,0.6666666666666666666666666666666666666667
2021,101041024,"Eurobodalla Hinterland",1315,403,912,0.3064638783269961977186311787072243346008
2021,101061544,"Young Surrounds",2896,1846,1050,0.6374309392265193370165745856353591160221
2021,104021086,"Coramba - Nana Glen - Bucca",1652,436,1216,0.263922518159806295399515738498789346247
2021,107011546,"Port Kembla - Warrawong",3083,715,2368,0.2319169639961076873175478430100551410963
2021,107011547,"Windang - Primbee",1433,160,1273,0.1116538729937194696441032798325191905094
2021,107041144,"Balgownie - Fairy Meadow",9191,1810,7381,0.1969317810901969317810901969317810901969
2021,107031142,"Shellharbour - Oak Flats",4336,1099,3237,0.2534594095940959409594095940959409594096
2021,108021158,"Nambucca Heads",1925,1034,891,0.5371428571428571428571428571428571428571
2021,109031183,"Deniliquin Surrounds",2407,1937,470,0.8047361861238055670959700872455338595762
2021,110041201,"Quirindi",2852,2192,660,0.7685834502103786816269284712482468443198
2021,108041165,"Port Macquarie Surrounds",2099,753,1346,0.3587422582181991424487851357789423535017
2021,109021177,"Hay",1196,1133,63,0.9473244147157190635451505016722408026756
2021,111011214,"Warners Bay - Boolaroo",6621,1357,5264,0.2049539344509892765443286512611388007854
2021,111021219,"Toronto - Awaba",5254,1520,3734,0.2893033878949371907118385991625428245147
2021,112011243,"Mullumbimby",3223,1884,1339,0.5845485572448029785913744958113558796153
2021,113011259,"Narrandera",2282,1727,555,0.7567922874671340929009640666082383873795
2021,111031233,"Wallsend - Elermore Vale",9008,1287,7721,0.1428730017761989342806394316163410301954
2021,119021367,"Roselands",5334,746,4588,0.1398575178102737157855268091488563929509
2021,118021564,"Kensington (NSW)",5653,945,4708,0.1671678754643552096232089156200247656112
2021,115041625,"Rouse Hill - Beaumont Hills",9129,1623,7506,0.1777850805126519881695695037791652974039
2021,116031318,"Prospect Reservoir",8,3,5,0.375
2021,115011557,"Castle Hill - West",2606,371,2235,0.142363775901765157329240214888718342287
2021,117021328,"Sydenham - Tempe - St Peters",4669,600,4069,0.1285071749839366031270079246091240094239
2021,115041623,"Box Hill - Nelson",5199,559,4640,0.107520677053279476822465858819003654549
2021,121021579,"Wahroonga (West) - Waitara",5323,562,4761,0.1055795603982716513244411046402404659027
2021,123011701,"Mount Annan",9515,1202,8313,0.1263268523384130320546505517603783499737
2021,121041414,"Crows Nest - Waverton",10602,1533,9069,0.1445953593661573288058856819468024900962
2021,127011594,"Green Valley",4481,453,4028,0.1010935059138585137246150412854273599643
2021,127031733,"Prestons",6428,1035,5393,0.1610143123833229620410703173615432482887
2021,127011597,"West Hoxton - Middleton Grange",7122,804,6318,0.112889637742207245155855096882898062342
2021,126021722,"Denistone",3112,372,2740,0.119537275064267352185089974293059125964
2021,125031715,"Pemulwuy - Greystanes (North)",4583,580,4003,0.1265546585206196814313768274056295003273
